"Var1","Freq"
"3' UTR",2110
"5' UTR",299
"Distal Intergenic",21249
"Downstream (<=300bp)",92
"Exon (ENST00000014930.9/50865, exon 4 of 4)",1
"Exon (ENST00000025301.4/11215, exon 10 of 13)",1
"Exon (ENST00000027335.8/1015, exon 8 of 18)",1
"Exon (ENST00000040877.2/6894, exon 13 of 30)",1
"Exon (ENST00000046794.10/3937, exon 2 of 21)",1
"Exon (ENST00000046794.10/3937, exon 6 of 21)",1
"Exon (ENST00000056217.10/7984, exon 13 of 15)",1
"Exon (ENST00000159060.3/50508, exon 11 of 14)",1
"Exon (ENST00000161863.9/64848, exon 3 of 30)",1
"Exon (ENST00000164024.5/1951, exon 2 of 35)",1
"Exon (ENST00000192788.6/54887, exon 8 of 21)",1
"Exon (ENST00000197268.13/57613, exon 12 of 13)",1
"Exon (ENST00000202028.9/2036, exon 16 of 20)",1
"Exon (ENST00000202028.9/2036, exon 17 of 20)",1
"Exon (ENST00000202677.12/57186, exon 4 of 40)",1
"Exon (ENST00000204726.9/2802, exon 7 of 24)",1
"Exon (ENST00000205386.8/22798, exon 12 of 34)",1
"Exon (ENST00000206423.8/151887, exon 3 of 8)",1
"Exon (ENST00000206423.8/151887, exon 5 of 8)",1
"Exon (ENST00000209668.3/124, exon 4 of 9)",1
"Exon (ENST00000209884.5/27252, exon 9 of 12)",1
"Exon (ENST00000216181.11/4627, exon 3 of 41)",1
"Exon (ENST00000216286.10/22795, exon 12 of 22)",1
"Exon (ENST00000216733.8/10278, exon 2 of 6)",1
"Exon (ENST00000217173.7/22888, exon 4 of 5)",1
"Exon (ENST00000217407.3/3929, exon 5 of 15)",1
"Exon (ENST00000220062.9/51285, exon 4 of 5)",1
"Exon (ENST00000221957.9/10226, exon 5 of 8)",1
"Exon (ENST00000222345.11/23094, exon 12 of 22)",1
"Exon (ENST00000222481.9/1358, exon 8 of 11)",1
"Exon (ENST00000224721.12/64072, exon 21 of 70)",1
"Exon (ENST00000227638.8/24145, exon 2 of 5)",1
"Exon (ENST00000230449.9/55770, exon 6 of 28)",1
"Exon (ENST00000231512.5/56951, exon 2 of 3)",1
"Exon (ENST00000231706.6/57709, exon 5 of 8)",1
"Exon (ENST00000232217.6/5948, exon 2 of 4)",1
"Exon (ENST00000232603.10/27136, exon 24 of 28)",1
"Exon (ENST00000233099.6/54497, exon 30 of 36)",1
"Exon (ENST00000233948.4/7475, exon 2 of 4)",1
"Exon (ENST00000234040.9/23178, exon 11 of 18)",1
"Exon (ENST00000240100.7/1846, exon 2 of 4)",1
"Exon (ENST00000240423.9/23397, exon 10 of 18)",1
"Exon (ENST00000240423.9/23397, exon 16 of 18)",1
"Exon (ENST00000241051.8/91614, exon 4 of 9)",1
"Exon (ENST00000242827.11/84650, exon 2 of 4)",1
"Exon (ENST00000243077.8/4035, exon 23 of 89)",1
"Exon (ENST00000243077.8/4035, exon 35 of 89)",1
"Exon (ENST00000243077.8/4035, exon 78 of 89)",1
"Exon (ENST00000243167.9/2166, exon 2 of 15)",1
"Exon (ENST00000244364.10/667, exon 41 of 84)",1
