gene	log2FC	pvalue	adj_pvalue	significant
LINC01483	-9.40477281909686	2.91019518578708e-112	1.07939139440843e-108	TRUE
ENSG00000254587	-10.3119089612089	1.10680746924772e-111	4.10514890343981e-108	TRUE
WDR64	-2.223404155861	1.81917879057765e-110	6.74733413425252e-107	TRUE
CLDN5	-9.29625772652719	6.8428170645482e-109	2.53800084924093e-105	TRUE
ENSG00000257522	-8.45867068278838	1.87907428754553e-108	6.96948653250638e-105	TRUE
LINC02975	-9.59704472930648	1.26763573017801e-106	4.70166092323022e-103	TRUE
APOC1	-6.95580521567731	1.61635947439355e-104	5.99507729052567e-101	TRUE
ENSG00000287523	-11.2877983809891	9.4304641678577e-103	3.49775915985842e-99	TRUE
LINC01807	-7.16971608099129	3.68066499645393e-102	1.36515864718476e-98	TRUE
ATP10A	-3.55153905984706	1.33905867228353e-101	4.96656861549962e-98	TRUE
SLC14A2	-9.02910300873386	1.13178609717798e-100	4.19779463443314e-97	TRUE
ENSG00000287226	-8.44241291032475	5.80336796190637e-100	2.15246917707107e-96	TRUE
ENSG00000287474	-9.46294422682491	2.7054883890658e-99	1.0034656435045e-95	TRUE
LINC01320	-6.43208955565882	6.46407413825172e-97	2.39752509787756e-93	TRUE
TMEM176B	-6.97676153679808	1.33871992789755e-94	4.96531221257203e-91	TRUE
MFSD4A	-5.24617720055628	3.52638455134144e-93	1.30793603009254e-89	TRUE
DEPDC4	4.24380394513516	6.31164150742848e-93	2.34098783510522e-89	TRUE
ENSG00000286980	-4.44650715488948	1.39632442143093e-92	5.17896727908731e-89	TRUE
LINC02955	-5.13197895958431	6.03262954050379e-92	2.23750229657286e-88	TRUE
OTOGL	-6.45867353573231	5.41140636749307e-91	2.00709062170318e-87	TRUE
LINC01344	-8.91942957078214	7.44468281214264e-91	2.76123285502371e-87	TRUE
TGIF2	-4.49932370048267	1.24947778082936e-90	4.63431308909609e-87	TRUE
ENSG00000267284	-10.8912985911611	6.22698076343521e-90	2.30958716515812e-86	TRUE
ENSG00000286540	-2.65641816765903	1.0967462788537e-89	4.06783194826838e-86	TRUE
ENSG00000223786	-4.49311921249672	2.88191078333159e-89	1.06890070953769e-85	TRUE
ENSG00000288723	-2.07079481870311	1.15868792016115e-88	4.2975734958777e-85	TRUE
ENSG00000260850	-7.23557944178222	4.21559645880277e-87	1.56356472656995e-83	TRUE
ENSG00000286577	-8.24970754199791	1.50735187082113e-86	5.59076808887556e-83	TRUE
ABCG2	-11.6518399628203	2.74143842913721e-84	1.01679951336699e-80	TRUE
LINC01591	-10.5536451507002	3.30283225849527e-84	1.2250204846759e-80	TRUE
TRIM14	-2.43086550828602	3.6705307809902e-83	1.36139986666927e-79	TRUE
ENSG00000222042	-7.10833995517896	7.94442563929877e-83	2.94658746961591e-79	TRUE
ZNF267	-2.87400800086838	1.22654640918433e-82	4.54926063166466e-79	TRUE
SPI1	-2.34984580053244	3.3968986143648e-82	1.25990969606791e-78	TRUE
ARRDC3-AS1	-3.74689190855548	1.18948171520827e-81	4.41178768170749e-78	TRUE
CLIC2	-3.26663672990686	1.24189777445318e-81	4.60619884544684e-78	TRUE
ENSG00000229618	-1.87001680086883	1.76292791155753e-81	6.53869962396688e-78	TRUE
RND3	-5.68669021696055	4.47158394130578e-81	1.65851048383032e-77	TRUE
PRDM6	-4.36072929460052	9.4805178856613e-81	3.51632408379178e-77	TRUE
PKIB	-5.50138559150242	1.34315377042915e-80	4.98175733452172e-77	TRUE
HLA-C	-1.5905807157449	1.83239399815174e-80	6.79634933914482e-77	TRUE
LINC02822	-1.6487306484639	5.0054465227174e-80	1.85652011527589e-76	TRUE
ESR1	-7.4530733836439	1.46899185065621e-79	5.44849077408387e-76	TRUE
ENSG00000258077	-9.34459663554278	2.79533655368871e-79	1.03679032776314e-75	TRUE
MRC2	-4.65867270089084	1.03575112256715e-78	3.84160091360157e-75	TRUE
ENSG00000262198	-1.37954950071362	1.26643005372866e-78	4.69718906927961e-75	TRUE
ADAMTS16	-5.34002239383876	1.41518429509252e-78	5.24891855049814e-75	TRUE
THSD4	-9.51319844036251	1.13589886658658e-77	4.21304889616961e-74	TRUE
LINC01151	-6.8357115223512	1.30223865350783e-77	4.83000316586055e-74	TRUE
CTSV	-3.93403501675596	1.64086738939429e-77	6.08597714726341e-74	TRUE
GPRIN3	-11.6283702765002	1.71128784719495e-77	6.34716662524606e-74	TRUE
LINC02315	-5.08306542388368	2.38191912907579e-77	8.83453804974211e-74	TRUE
ENSG00000243620	-2.05188624812716	8.15707153581014e-76	3.02545783263198e-72	TRUE
LINC01239	-2.17734247355145	2.2277199431187e-74	8.26261326902726e-71	TRUE
ENSG00000283415	-2.29635933154617	8.50339191065587e-74	3.15390805966226e-70	TRUE
ZFPM2-AS1	-1.99516040545182	6.32614442302783e-73	2.34636696650102e-69	TRUE
RAB20	-5.51741904503419	4.33148597332152e-72	1.60654814750495e-68	TRUE
ENSG00000203279	-6.50528573439477	6.17174156156675e-72	2.28909894518511e-68	TRUE
HK2	-6.69960843672372	3.13059337632832e-71	1.16113708328018e-67	TRUE
LINC02899	-9.11892934346076	4.51867759652799e-71	1.67597752055223e-67	TRUE
ENSG00000250723	-2.95609890135169	6.13841303479945e-71	2.27673739460712e-67	TRUE
CCDC141	-6.52600256856535	3.52209253039891e-70	1.30634411952495e-66	TRUE
ENSG00000289127	-8.73443767233283	2.90400509858875e-69	1.07709549106657e-65	TRUE
ID3	-3.14551491229317	6.70604749376664e-69	2.48727301543805e-65	TRUE
ENSG00000287918	-10.9689059546894	1.39305799587554e-68	5.16685210670237e-65	TRUE
ENSG00000285534	-9.11262546677678	1.91001032115583e-68	7.08422828116698e-65	TRUE
CPS1	-6.91000784787634	2.4435515832154e-68	9.06313282214591e-65	TRUE
ENSG00000283692	-1.56624880254692	3.09490612931215e-68	1.14790068336188e-64	TRUE
KCNG2	-6.33520425390292	1.85547935991898e-67	6.88197294593948e-64	TRUE
ENSG00000249061	-4.66387466217538	3.73203001909209e-67	1.38420993408126e-63	TRUE
LINC03069	-11.8454712499872	7.9066298191214e-67	2.93256899991213e-63	TRUE
COL25A1	-7.74345706087428	1.82474517614083e-66	6.76797985830634e-63	TRUE
MEF2C-AS2	-6.75272030556192	2.83761659777457e-66	1.05247199611459e-62	TRUE
ADAMTSL2	-2.72062675378462	2.94983317145488e-66	1.09409312329262e-62	TRUE
ENSG00000288560	-8.54864106762742	3.49338964284137e-65	1.29569821852986e-61	TRUE
ENSG00000288002	2.14583561742637	1.65953898344834e-64	6.15523008960988e-61	TRUE
PLAGL1	-8.39448428680919	4.13065104506125e-64	1.53205847261322e-60	TRUE
SPOPL-DT	1.44950601729103	1.12737760045775e-63	4.18144352009781e-60	TRUE
TSPAN18	-2.50633285005311	1.36320611377506e-63	5.0561314759917e-60	TRUE
ENSG00000226149	-6.35750437506601	1.9001643824284e-63	7.04770969442692e-60	TRUE
CHRNA7	-6.79706126571723	2.95223922749149e-63	1.09498552947659e-59	TRUE
ENSG00000240086	-3.12830916644156	7.42047091511515e-63	2.75225266241621e-59	TRUE
CCK	3.79859294011721	7.42047091511515e-63	2.75225266241621e-59	TRUE
NRGN	2.68001136371447	5.87291047411663e-62	2.17826249484986e-58	TRUE
LINC01036	-7.07072809819108	5.80230526125236e-61	2.1520750213985e-57	TRUE
LINC01340	-2.36669968049153	6.42656515388417e-61	2.38361301557564e-57	TRUE
ENSG00000285572	-8.21855515607479	1.00330207566041e-60	3.72124739862444e-57	TRUE
LMO2	-4.75290870670452	1.4136595739229e-60	5.24326335968002e-57	TRUE
LINC02224	-7.97954550548854	3.17503790443211e-60	1.17762155875387e-56	TRUE
ARSG	-7.32419820306479	1.04690354978431e-59	3.88296526614999e-56	TRUE
ENSG00000285095	-4.25157109895326	1.05657169804177e-59	3.91882442803691e-56	TRUE
ENSG00000232053	-1.48068076070372	4.25730289161953e-59	1.57903364250168e-55	TRUE
SP140	-9.82289706761485	7.20534925695542e-58	2.67246403940477e-54	TRUE
MAP3K8	-6.00428461339149	8.21505753850554e-58	3.0469648410317e-54	TRUE
ENSG00000270792	-2.80876100608123	1.90208015105937e-57	7.05481528027922e-54	TRUE
