gene	log2FC	pvalue	adj_pvalue	significant
ENSG00000287949	-8.97331414202807	0	0	TRUE
LINC00351	-4.31391830886052	0	0	TRUE
ENSG00000243944	-5.47584022673952	0	0	TRUE
ENSG00000229491	-9.61747371216604	0	0	TRUE
LINC01098	-9.00584776039927	0	0	TRUE
HSD11B1-AS1	-3.99483887608303	0	0	TRUE
NECTIN3-AS1	-6.55660896153323	0	0	TRUE
SAMD12-AS1	-2.15110520245194	0	0	TRUE
ENSG00000287291	-3.16242860443889	1.80578886805587e-296	6.69767091161924e-293	TRUE
BDKRB2	-2.69139846568332	3.40972394591622e-296	1.26466661154033e-292	TRUE
VSTM2B-DT	-5.26339763373888	8.48622660548171e-283	3.14754144797317e-279	TRUE
ENSG00000259995	-3.59913805263912	6.35261424074325e-278	2.35618462189167e-274	TRUE
ENSG00000249061	-2.72315433012624	1.10252120720859e-271	4.08925115753667e-268	TRUE
ZNF277-AS1	-7.39999893273774	1.76809550172192e-271	6.5578662158866e-268	TRUE
ENSG00000282564	-3.98899992949168	9.94014976804611e-260	3.6868015489683e-256	TRUE
ENSG00000287918	-10.632882734843	1.81068208898973e-259	6.71581986806291e-256	TRUE
LINC02814	-10.1483357935559	5.75377171330840e-256	2.13407392846608e-252	TRUE
CALCRL-AS1	-3.7785580481848	1.06960954101791e-254	3.96718178763541e-251	TRUE
TRPM1	-3.15531224977146	4.91324240031435e-253	1.82232160627659e-249	TRUE
PLB1	-3.85070791802373	1.36432078925049e-249	5.06026580733007e-246	TRUE
LINC01416	-2.60010963455786	2.00739636795473e-249	7.4454331287441e-246	TRUE
SST	1.79763800519295	4.77694865624998e-247	1.77177025660312e-243	TRUE
LINC01695	-2.09140427036239	5.98711011517318e-244	2.22061914171773e-240	TRUE
LINC01483	-1.16012812648649	1.27843991501117e-236	4.74173364477645e-233	TRUE
ENSG00000286751	-3.92676706338322	2.22267504567006e-235	8.24390174439026e-232	TRUE
ENSG00000233862	-3.847925086805	4.35854679294022e-229	1.61658500550153e-225	TRUE
MYO3B	-1.00955451849708	1.05866463265618e-227	3.92658712252178e-224	TRUE
ENSG00000288723	-2.80550604453201	1.27750223196176e-227	4.73825577834616e-224	TRUE
GACAT3	-4.1931800987849	5.99099162168949e-227	2.22205879248463e-223	TRUE
TMIGD3	-6.99120615516804	8.56599700358294e-227	3.17712828862891e-223	TRUE
LINC01099	-11.0810363895317	1.06301904074021e-222	3.94273762210546e-219	TRUE
ENSG00000291293	-1.60192571243119	2.20050156889887e-218	8.16166031904591e-215	TRUE
ENSG00000253766	-1.98349776238599	3.9609036344053e-217	1.46909915800093e-213	TRUE
CLVS1	-1.23841652825647	6.4696825185071e-217	2.39960524611428e-213	TRUE
ENSG00000230773	-1.14331917854575	1.66027320160085e-215	6.15795330473755e-212	TRUE
ENSG00000287083	-3.67166077943141	6.7251213276871e-213	2.49434750043915e-209	TRUE
SP140	-3.34320047360276	8.82456068149046e-210	3.27302955676481e-206	TRUE
PLXNC1	3.89570515569737	3.10470100206527e-206	1.15153360166601e-202	TRUE
ENSG00000257869	-2.68946396880828	1.81412579052666e-203	6.72859255706338e-200	TRUE
ENSG00000285095	-1.68276472498602	2.17385718944728e-201	8.06283631565995e-198	TRUE
LINC00276	-3.44903012963804	1.59996479488736e-200	5.93426942423721e-197	TRUE
FOS	-1.872689805986	7.13063062900427e-199	2.64475090029769e-195	TRUE
RAP2C-AS1	-1.23087125868228	2.64565507764192e-198	9.81273468297388e-195	TRUE
ENSG00000285939	3.3222668424566	3.27560742447885e-198	1.21492279373921e-194	TRUE
PAX8-AS1	-4.44949914843787	3.07733825563537e-197	1.14138475901516e-193	TRUE
SAMMSON	-3.29140759007123	2.74342930449089e-196	1.01753792903567e-192	TRUE
ENSG00000225689	4.76374679715956	3.59830366387643e-193	1.33461082893177e-189	TRUE
LINC02649	4.64453084639764	2.7525719408668e-191	1.0209289328675e-187	TRUE
SPC25	-1.78134730172337	3.50244963840456e-191	1.29905857088425e-187	TRUE
CDH23	-4.02810406477466	6.02787693169655e-188	2.23573955396625e-184	TRUE
LINC01697	-2.03901310972222	4.37880410289088e-187	1.62409844176223e-183	TRUE
SCN11A	-3.55726627621362	3.8286345625154e-186	1.42004055923696e-182	TRUE
VSIR	-6.99579691657369	1.91369651776468e-185	7.09790038438919e-182	TRUE
MAMDC2-AS1	-1.78407092767498	6.35415976850167e-185	2.35675785813727e-181	TRUE
LINC02899	-3.19070597209783	8.15512071621003e-185	3.0247342736423e-181	TRUE
LINC02283	-1.58517991929031	1.09899735101495e-183	4.07618117491445e-180	TRUE
KCNQ3	-2.9963127090101	7.98609591954998e-182	2.96204297656109e-178	TRUE
JPH1	-2.83424736927085	1.39333762137832e-181	5.16788923769218e-178	TRUE
CNBD1	-4.15855607319091	1.6407860267513e-180	6.08567537322059e-177	TRUE
PRDM6	-4.84416098475188	1.06438637319898e-178	3.94780905819503e-175	TRUE
SH3RF3	-4.24043859750005	1.27669414271586e-178	4.73525857533311e-175	TRUE
LINC02853	-2.47137318537378	7.00795241173333e-174	2.59924954951189e-170	TRUE
POU2AF1	2.38677195487091	8.33346754537747e-174	3.0908831125805e-170	TRUE
LINC01358	-3.884566223284	3.31126227347127e-172	1.2281471772305e-168	TRUE
ARRDC3-AS1	-4.17449686939208	2.47686858323454e-171	9.18670557521689e-168	TRUE
ENSG00000264151	-2.38945123775089	1.14299005007401e-169	4.23935009572449e-166	TRUE
STS	-2.62290835985094	1.3145853935404e-168	4.87579722464135e-165	TRUE
ENSG00000223725	-2.13848207098676	2.36472292566586e-165	8.77075733129466e-162	TRUE
GAP43	1.31497952663064	3.29172409176825e-165	1.22090046563684e-161	TRUE
APCDD1L-DT	-4.53318791217995	1.10911113686815e-163	4.11369320664398e-160	TRUE
