gene	log2FC	pvalue	adj_pvalue	significant
IFNLR1	-4.83514949841221	1.28780347407618e-37	4.77646308534854e-34	TRUE
ADGRF5	-2.29834194171548	1.10202941577454e-36	4.08742710310778e-33	TRUE
LINC01950	-2.28032216593004	2.46337718506236e-35	9.13666597939631e-32	TRUE
SLC14A2	-7.14618328101881	6.64742823883908e-34	2.46553113378542e-30	TRUE
ARRDC3-AS1	-3.01568405791105	2.0084353211771e-30	7.44928660624587e-27	TRUE
ENSG00000286163	-6.72157751572225	1.43664878284056e-29	5.32853033555565e-26	TRUE
XKR9	1.37312401514379	2.40992439364555e-29	8.93840957603133e-26	TRUE
LINC01208	-2.52780829409183	2.30257157557581e-28	8.54023797381067e-25	TRUE
ETS2	-3.55296556888735	1.60378348294098e-27	5.9484329382281e-24	TRUE
ARPC1B	-2.54469007031909	1.73771816584098e-27	6.4451966771042e-24	TRUE
GMPR	-1.86610503332651	4.99328722576742e-27	1.85201023203714e-23	TRUE
CFAP61	-1.25513346739163	5.03757600330389e-27	1.86843693962541e-23	TRUE
PLSCR1	-1.17402101562288	8.54680776289542e-27	3.17001099925791e-23	TRUE
LINC02664	-1.18576141812453	5.76866066890731e-26	2.13959624209772e-22	TRUE
ENSG00000287291	-2.56735101594266	9.84836671536654e-26	3.65275921472945e-22	TRUE
ENSG00000225339	-2.85170525121747	1.70607517914842e-25	6.32783283946148e-22	TRUE
PKN2-AS1	-1.05518564219535	6.06803986266928e-25	2.25063598506403e-21	TRUE
ARID3A	-3.67547815660762	6.43844817798708e-25	2.38802042921541e-21	TRUE
EMB	1.0136769554415	1.0958430259097e-24	4.06448178309907e-21	TRUE
EGR1	-1.00845225279664	2.84981262263101e-24	1.05699550173384e-20	TRUE
TBC1D16	-5.99820501273436	7.53286180123499e-24	2.79393844207806e-20	TRUE
B4GALT1	-3.16900651110322	1.63416304064496e-23	6.06111071775215e-20	TRUE
TFPI	-2.38816606128813	1.71663600092639e-23	6.36700292743598e-20	TRUE
SERPINB9	3.80723925081686	5.00015007499794e-23	1.85455566281674e-19	TRUE
DUSP1	-2.77815205094502	7.02765349764329e-23	2.6065566822759e-19	TRUE
C11orf96	-2.91638192236338	1.42861857961505e-22	5.2987463117922e-19	TRUE
ENSG00000258077	-7.63807204294509	1.90688565054668e-22	7.07263887787765e-19	TRUE
FMNL1	-2.3885764427241	4.13423911811072e-22	1.53338928890727e-18	TRUE
PLB1	-2.6269809771857	1.79198703444284e-21	6.6464799107485e-18	TRUE
CCDC178	6.9474958753609	2.28315268281914e-21	8.46821330057619e-18	TRUE
ENSG00000253452	-6.57013172197328	3.61409546517927e-21	1.34046800803499e-17	TRUE
TMCO4	-6.32890276889269	6.02499755233795e-21	2.23467159216215e-17	TRUE
THSD4	-2.30301927258	6.60966883635639e-21	2.45152617140459e-17	TRUE
PDK1-AS1	-3.7240903757771	7.65212628112019e-21	2.83817363766748e-17	TRUE
LINC01482	-1.46776652525431	1.69864953848219e-20	6.30029113823045e-17	TRUE
LINC01807	-8.84758148682136	1.86151340095318e-20	6.90435320413536e-17	TRUE
ENSG00000257398	-3.10274221421366	4.32243337758515e-20	1.60319053974633e-16	TRUE
FOSL2	-1.52832769524189	4.55704526493008e-20	1.69020808876257e-16	TRUE
