gene	log2FC	pvalue	adj_pvalue	significant
ITIH5	-3.58607059362553	3.15537844237794e-55	1.17032986427798e-51	TRUE
ETS1	-4.67464875147879	8.22852243720469e-52	3.05195897195922e-48	TRUE
ENSG00000290888	-5.53800423458931	4.35769642394513e-51	1.61626960364125e-47	TRUE
DACH1	-3.95592946868991	6.24578900076181e-50	2.31656314038256e-46	TRUE
SLC6A17	-8.83853739063818	1.30573985630002e-49	4.84298912701679e-46	TRUE
IQCM	-4.46706535004353	1.88622775538814e-49	6.9960187447346e-46	TRUE
ENSG00000289986	-3.00367633636672	2.43412165625641e-48	9.02815722305502e-45	TRUE
PTH2R	-1.15448793793115	4.27969956259815e-48	1.58734056776765e-44	TRUE
LHCGR	-10.7408987127887	1.22798943137034e-47	4.55461280095257e-44	TRUE
LINC02008	-9.80039616825114	8.66355215525269e-47	3.21331149438322e-43	TRUE
KANK2	-7.85552871312992	8.92524517564066e-47	3.31037343564512e-43	TRUE
RAB37	-1.97632866124679	6.55781225443386e-46	2.43229256516952e-42	TRUE
SLC17A7	-1.28597328935377	8.54867011896328e-46	3.17070174712348e-42	TRUE
ENSG00000257526	-1.57375355277365	1.26532481205539e-45	4.69308972791344e-42	TRUE
LINC01088	-1.19566111347513	3.89048906107036e-45	1.442982392751e-41	TRUE
NMNAT3	-5.85575276270067	1.21204308675902e-44	4.49546780878921e-41	TRUE
CFAP20DC-DT	3.13524540944402	1.32240617493908e-44	4.90480450284906e-41	TRUE
LINC01500	-1.33951301888683	1.52899521118582e-44	5.67104323828821e-41	TRUE
SLIT1	-3.49068708042373	1.12120052608701e-43	4.15853275125673e-40	TRUE
ENSG00000251680	-2.84852844262073	1.00193708920277e-42	3.71618466385306e-39	TRUE
ENPP1	-1.78798116595399	1.40845024592251e-42	5.22394196212657e-39	TRUE
ENSG00000236230	6.85298698434105	2.48113382397116e-42	9.20252535310905e-39	TRUE
ENSG00000289130	-7.53728843085742	2.83089373293596e-42	1.04997848554595e-38	TRUE
GAP43	-10.3964334393239	4.93005949038587e-42	1.82855906498412e-38	TRUE
CYP1B1-AS1	6.91862265614637	1.25770160286998e-41	4.66481524504476e-38	TRUE
NET1	-7.85281572244265	1.10494875950356e-40	4.09825494899872e-37	TRUE
NRGN	-6.31950726707948	1.56872967556814e-40	5.81841836668223e-37	TRUE
ENSG00000285280	-4.22595894348881	5.41873754330445e-40	2.00980975481162e-36	TRUE
LINC02240	-10.8794406890303	1.23233450253443e-39	4.5707286699002e-36	TRUE
JAG1	-1.08659107280992	2.01388404815731e-39	7.46949593461547e-36	TRUE
LINC01320	-9.49325119871236	3.22758465440679e-39	1.19711114831948e-35	TRUE
CD96	7.60263143874019	3.25695325708982e-39	1.20800396305461e-35	TRUE
LINC02997	-11.0723527518194	6.02333283635651e-39	2.23405414900463e-35	TRUE
CPNE4	7.85635874964452	8.25863997964151e-39	3.06312956844904e-35	TRUE
RGS2	1.86783379604145	3.17341743922113e-38	1.17702052820712e-34	TRUE
ENSG00000287923	-3.96501410131347	1.08472969124261e-37	4.02326242481884e-34	TRUE
ENSG00000288563	7.88892667935874	1.25014201799492e-37	4.63677674474316e-34	TRUE
EGFL7	-1.83294009495344	1.50584312921524e-37	5.58517216625932e-34	TRUE
LINC00326	-6.60178948036135	2.51495663734225e-37	9.32797416790242e-34	TRUE
SERPINE1	-1.04360042046458	2.5371633316968e-37	9.41033879726345e-34	TRUE
ADAM32	2.05696987124039	1.39444520100921e-36	5.17199725054315e-33	TRUE
LY86-AS1	-3.20273656966129	9.02767380117204e-36	3.34836421285471e-32	TRUE
ENSG00000223725	-2.53646656433341	9.34497478775158e-36	3.46605114877706e-32	TRUE
TNFRSF21	-1.19900433713164	1.0364906308388e-35	3.84434374978111e-32	TRUE
LINC01821	-4.7437624917168	3.57372796045689e-35	1.32549570053346e-31	TRUE
ENSG00000275119	-4.68464562536484	4.69898526165872e-35	1.74285363354922e-31	TRUE
TRHDE	3.78517874276592	4.77999355374093e-35	1.77289960908251e-31	TRUE
ANTXR2	-6.10105432272868	7.20012539506128e-35	2.67052650902823e-31	TRUE
