gene	log2FC	pvalue	adj_pvalue	significant
LINC01098	-14.2535305522104	4.09196841307249e-153	1.51771108440859e-149	TRUE
GAB3	2.04517364995141	7.80360997781522e-151	2.89435894077166e-147	TRUE
NFATC2	5.46949320562139	3.02806236542666e-145	1.12310833133675e-141	TRUE
LINC02391	-1.1187011356951	4.86282940985036e-145	1.8036234281135e-141	TRUE
ENSG00000261218	2.5374891895935	8.20262954799802e-140	3.04235529935247e-136	TRUE
MSR1	-5.76142529402963	9.81643211127304e-137	3.64091467007117e-133	TRUE
ENSG00000226571	-1.27348933076847	1.22176854052544e-136	4.53153951680885e-133	TRUE
IQGAP2	4.52075586600127	3.32939629074331e-136	1.23487308423669e-132	TRUE
TRIM38	-5.00564541961935	1.05409448955759e-132	3.90963646176909e-129	TRUE
GYPC	-2.74702095630399	5.73849854690165e-132	2.12840911104582e-128	TRUE
SMIM35	-9.37268717384076	5.18389209506279e-131	1.92270557805879e-127	TRUE
LINC02057	-6.48550192191132	7.9304416709982e-131	2.94140081577323e-127	TRUE
ALOX5	-1.8812863004021	5.4596660046482e-128	2.02499012112402e-124	TRUE
RYR1	4.39202482787355	2.07465196219759e-127	7.69488412779085e-124	TRUE
RIN3	-4.27412440842599	5.20286061718207e-127	1.92974100291283e-123	TRUE
A2M	-2.87968996075227	6.21455456237088e-127	2.30497828718336e-123	TRUE
ENG	-3.13823037712016	2.9302905649993e-125	1.08684477055824e-121	TRUE
APCDD1L-DT	-7.13612189685494	4.62992359630423e-125	1.71723866186924e-121	TRUE
ARHGAP4	-5.52859770271074	9.94533538407556e-125	3.68872489395362e-121	TRUE
AXL	1.83862172107846	4.29756652582446e-124	1.59396742442829e-120	TRUE
DENND3	3.04174614007163	6.71538429752109e-124	2.49073603595057e-120	TRUE
IL13RA1	-4.86939823225988	1.78528578684654e-123	6.62162498341382e-120	TRUE
RNASET2	2.45071790020589	2.33899711375342e-123	8.67534029491143e-120	TRUE
CSF2RA	3.29541096374103	2.44194600161949e-122	9.05717772000669e-119	TRUE
ADGRD1	-3.26628037767885	2.83077123835105e-122	1.0499330523044e-118	TRUE
LPAR6	3.39900773381399	3.82609803910715e-122	1.41909976270484e-118	TRUE
CX3CR1	5.27806024447313	2.44402001821492e-121	9.06487024755912e-118	TRUE
NLRP1	2.03341979520003	2.74933749746292e-121	1.019729277809e-117	TRUE
LINC01141	-4.68197486878365	2.80655469585401e-121	1.04095113669225e-117	TRUE
ACER2	-1.63562461525745	3.70054932983703e-121	1.37253374643655e-117	TRUE
LINC02712	-7.70958991673801	1.28968686323555e-120	4.78344857574066e-117	TRUE
PRAM1	-3.3280124255451	6.14821656026385e-120	2.28037352220186e-116	TRUE
IL4R	1.33149678888435	8.81041715536122e-120	3.26778372292348e-116	TRUE
P2RY12	-1.71882534232889	9.09839525939898e-120	3.37459480171108e-116	TRUE
TGFBR2	-7.17139663737306	1.57144841765595e-119	5.82850218108592e-116	TRUE
IRAG2	-8.19062592139764	1.28197036033683e-118	4.7548280664893e-115	TRUE
PALD1	13.1791206253305	1.77051005594649e-118	6.56682179750552e-115	TRUE
FAM149A	7.12202764800048	1.81745613636508e-118	6.74094480977807e-115	TRUE
LAPTM5	-6.21558945095885	3.99424271140279e-118	1.48146462165929e-114	TRUE
SLC2A5	3.44783209786566	7.32530949235048e-118	2.71695729071279e-114	TRUE
SYTL3	-4.67110487961066	2.19443347419172e-116	8.13915375577707e-113	TRUE
ENSG00000227531	-10.2443258148418	3.70668220001137e-116	1.37480842798422e-112	TRUE
ENSG00000287616	-4.23516320177416	7.33007703056333e-116	2.71872557063594e-112	TRUE
IKZF1	-1.93616160970168	1.20510328299105e-115	4.46972807661381e-112	TRUE
TRAF3IP3	-7.26350325826744	2.77812413424363e-115	1.03040624139096e-111	TRUE
CTSS	2.08351088739919	9.68587330912866e-115	3.59249041035582e-111	TRUE
TMEM156	-5.99270798599178	4.47868359407468e-114	1.6611437450423e-110	TRUE
ARHGAP25	6.68459742688501	9.34438741919063e-114	3.4658332937778e-110	TRUE
C3	10.1085428198483	1.05618529862452e-113	3.91739127259833e-110	TRUE
ST6GAL1	2.47700460958962	1.76727554000082e-112	6.55482497786304e-109	TRUE
DIRAS2	-1.5511376740874	2.84352039458522e-112	1.05466171435166e-108	TRUE
