p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	cell_type	direction
2.91019518578708e-112	-9.40477281909686	0.797	0.096	1.07939139440843e-108	LINC01483	Astrocytes	Down
1.10680746924772e-111	-10.3119089612089	0.994	0.163	4.10514890343981e-108	ENSG00000254587	Astrocytes	Down
1.81917879057765e-110	-2.223404155861	0.933	0.026	6.74733413425252e-107	WDR64	Astrocytes	Down
6.8428170645482e-109	-9.29625772652719	0.885	0.127	2.53800084924093e-105	CLDN5	Astrocytes	Down
1.87907428754553e-108	-8.45867068278838	0.974	0.044	6.96948653250638e-105	ENSG00000257522	Astrocytes	Down
1.26763573017801e-106	-9.59704472930648	0.872	0.057	4.70166092323022e-103	LINC02975	Astrocytes	Down
1.61635947439355e-104	-6.95580521567731	0.942	0.054	5.99507729052567e-101	APOC1	Astrocytes	Down
9.4304641678577e-103	-11.2877983809891	0.853	0.152	3.49775915985842e-99	ENSG00000287523	Astrocytes	Down
3.68066499645393e-102	-7.16971608099129	0.74	0.103	1.36515864718476e-98	LINC01807	Astrocytes	Down
1.33905867228353e-101	-3.55153905984706	0.816	0.028	4.96656861549962e-98	ATP10A	Astrocytes	Down
1.13178609717798e-100	-9.02910300873386	0.946	0.191	4.19779463443314e-97	SLC14A2	Astrocytes	Down
5.80336796190637e-100	-8.44241291032475	0.97	0.072	2.15246917707107e-96	ENSG00000287226	Astrocytes	Down
2.7054883890658e-99	-9.46294422682491	0.773	0.124	1.0034656435045e-95	ENSG00000287474	Astrocytes	Down
6.46407413825172e-97	-6.43208955565882	0.617	0.049	2.39752509787756e-93	LINC01320	Astrocytes	Down
1.33871992789755e-94	-6.97676153679808	0.933	0.08	4.96531221257203e-91	TMEM176B	Astrocytes	Down
3.52638455134144e-93	-5.24617720055628	0.442	0.036	1.30793603009254e-89	MFSD4A	Astrocytes	Down
6.31164150742848e-93	4.24380394513516	0.53	0.078	2.34098783510522e-89	DEPDC4	Astrocytes	Up
1.39632442143093e-92	-4.44650715488948	0.703	0.008	5.17896727908731e-89	ENSG00000286980	Astrocytes	Down
6.03262954050379e-92	-5.13197895958431	0.45	0.005	2.23750229657286e-88	LINC02955	Astrocytes	Down
5.41140636749307e-91	-6.45867353573231	0.961	0.093	2.00709062170318e-87	OTOGL	Astrocytes	Down
7.44468281214264e-91	-8.91942957078214	0.587	0.075	2.76123285502371e-87	LINC01344	Astrocytes	Down
1.24947778082936e-90	-4.49932370048267	0.905	0.085	4.63431308909609e-87	TGIF2	Astrocytes	Down
6.22698076343521e-90	-10.8912985911611	0.807	0.121	2.30958716515812e-86	ENSG00000267284	Astrocytes	Down
1.0967462788537e-89	-2.65641816765903	0.922	0.183	4.06783194826838e-86	ENSG00000286540	Astrocytes	Down
2.88191078333159e-89	-4.49311921249672	0.879	0.191	1.06890070953769e-85	ENSG00000223786	Astrocytes	Down
1.15868792016115e-88	-2.07079481870311	0.61	0.078	4.2975734958777e-85	ENSG00000288723	Astrocytes	Down
4.21559645880277e-87	-7.23557944178222	0.563	0.057	1.56356472656995e-83	ENSG00000260850	Astrocytes	Down
1.50735187082113e-86	-8.24970754199791	0.846	0.194	5.59076808887556e-83	ENSG00000286577	Astrocytes	Down
2.74143842913721e-84	-11.6518399628203	0.522	0.021	1.01679951336699e-80	ABCG2	Astrocytes	Down
3.30283225849527e-84	-10.5536451507002	0.654	0.005	1.2250204846759e-80	LINC01591	Astrocytes	Down
3.6705307809902e-83	-2.43086550828602	0.788	0.114	1.36139986666927e-79	TRIM14	Astrocytes	Down
7.94442563929877e-83	-7.10833995517896	0.768	0.052	2.94658746961591e-79	ENSG00000222042	Astrocytes	Down
1.22654640918433e-82	-2.87400800086838	0.262	0.028	4.54926063166466e-79	ZNF267	Astrocytes	Down
3.3968986143648e-82	-2.34984580053244	0.885	0.096	1.25990969606791e-78	SPI1	Astrocytes	Down
1.18948171520827e-81	-3.74689190855548	0.58	0.072	4.41178768170749e-78	ARRDC3-AS1	Astrocytes	Down
1.24189777445318e-81	-3.26663672990686	0.606	0.028	4.60619884544684e-78	CLIC2	Astrocytes	Down
1.76292791155753e-81	-1.87001680086883	0.582	0.106	6.53869962396688e-78	ENSG00000229618	Astrocytes	Down
4.47158394130578e-81	-5.68669021696055	0.846	0.178	1.65851048383032e-77	RND3	Astrocytes	Down
9.4805178856613e-81	-4.36072929460052	0.639	0.124	3.51632408379178e-77	PRDM6	Astrocytes	Down
1.34315377042915e-80	-5.50138559150242	0.784	0.093	4.98175733452172e-77	PKIB	Astrocytes	Down
1.83239399815174e-80	-1.5905807157449	0.701	0.111	6.79634933914482e-77	HLA-C	Astrocytes	Down
5.0054465227174e-80	-1.6487306484639	0.874	0.209	1.85652011527589e-76	LINC02822	Astrocytes	Down
1.46899185065621e-79	-7.4530733836439	0.701	0.078	5.44849077408387e-76	ESR1	Astrocytes	Down
2.79533655368871e-79	-9.34459663554278	0.197	0.023	1.03679032776314e-75	ENSG00000258077	Astrocytes	Down
1.03575112256715e-78	-4.65867270089084	0.732	0.096	3.84160091360157e-75	MRC2	Astrocytes	Down
1.26643005372866e-78	-1.37954950071362	0.892	0.23	4.69718906927961e-75	ENSG00000262198	Astrocytes	Down
1.41518429509252e-78	-5.34002239383876	0.615	0.036	5.24891855049814e-75	ADAMTS16	Astrocytes	Down
1.13589886658658e-77	-9.51319844036251	0.587	0.106	4.21304889616961e-74	THSD4	Astrocytes	Down
1.30223865350783e-77	-6.8357115223512	0.522	0.109	4.83000316586055e-74	LINC01151	Astrocytes	Down
1.64086738939429e-77	-3.93403501675596	0.558	0.083	6.08597714726341e-74	CTSV	Astrocytes	Down
1.71128784719495e-77	-11.6283702765002	0.472	0.044	6.34716662524606e-74	GPRIN3	Astrocytes	Down
2.38191912907579e-77	-5.08306542388368	0.764	0.186	8.83453804974211e-74	LINC02315	Astrocytes	Down
8.15707153581014e-76	-2.05188624812716	0.825	0.018	3.02545783263198e-72	ENSG00000243620	Astrocytes	Down
2.2277199431187e-74	-2.17734247355145	0.985	0.258	8.26261326902726e-71	LINC01239	Astrocytes	Down
8.50339191065587e-74	-2.29635933154617	0.582	0.165	3.15390805966226e-70	ENSG00000283415	Astrocytes	Down
6.32614442302783e-73	-1.99516040545182	0.766	0.098	2.34636696650102e-69	ZFPM2-AS1	Astrocytes	Down
4.33148597332152e-72	-5.51741904503419	0.736	0.152	1.60654814750495e-68	RAB20	Astrocytes	Down
6.17174156156675e-72	-6.50528573439477	0.827	0.142	2.28909894518511e-68	ENSG00000203279	Astrocytes	Down
3.13059337632832e-71	-6.69960843672372	0.818	0.109	1.16113708328018e-67	HK2	Astrocytes	Down
4.51867759652799e-71	-9.11892934346076	0.658	0.119	1.67597752055223e-67	LINC02899	Astrocytes	Down
6.13841303479945e-71	-2.95609890135169	0.556	0.134	2.27673739460712e-67	ENSG00000250723	Astrocytes	Down
3.52209253039891e-70	-6.52600256856535	0.608	0.085	1.30634411952495e-66	CCDC141	Astrocytes	Down
2.90400509858875e-69	-8.73443767233283	0.996	0.258	1.07709549106657e-65	ENSG00000289127	Astrocytes	Down
6.70604749376664e-69	-3.14551491229317	0.584	0.116	2.48727301543805e-65	ID3	Astrocytes	Down
1.39305799587554e-68	-10.9689059546894	0.784	0.196	5.16685210670237e-65	ENSG00000287918	Astrocytes	Down
1.91001032115583e-68	-9.11262546677678	0.9	0.106	7.08422828116698e-65	ENSG00000285534	Astrocytes	Down
2.4435515832154e-68	-6.91000784787634	0.353	0.039	9.06313282214591e-65	CPS1	Astrocytes	Down
3.09490612931215e-68	-1.56624880254692	0.667	0.023	1.14790068336188e-64	ENSG00000283692	Astrocytes	Down
1.85547935991898e-67	-6.33520425390292	0.392	0.059	6.88197294593948e-64	KCNG2	Astrocytes	Down
3.73203001909209e-67	-4.66387466217538	0.619	0.14	1.38420993408126e-63	ENSG00000249061	Astrocytes	Down
7.9066298191214e-67	-11.8454712499872	0.74	0.034	2.93256899991213e-63	LINC03069	Astrocytes	Down
1.82474517614083e-66	-7.74345706087428	0.372	0.116	6.76797985830634e-63	COL25A1	Astrocytes	Down
2.83761659777457e-66	-6.75272030556192	0.82	0.207	1.05247199611459e-62	MEF2C-AS2	Astrocytes	Down
2.94983317145488e-66	-2.72062675378462	0.604	0.096	1.09409312329262e-62	ADAMTSL2	Astrocytes	Down
3.49338964284137e-65	-8.54864106762742	0.684	0.137	1.29569821852986e-61	ENSG00000288560	Astrocytes	Down
1.65953898344834e-64	2.14583561742637	0.416	0.127	6.15523008960988e-61	ENSG00000288002	Astrocytes	Up
4.13065104506125e-64	-8.39448428680919	0.926	0.165	1.53205847261322e-60	PLAGL1	Astrocytes	Down
1.12737760045775e-63	1.44950601729103	0.485	0.116	4.18144352009781e-60	SPOPL-DT	Astrocytes	Up
1.36320611377506e-63	-2.50633285005311	0.944	0.165	5.0561314759917e-60	TSPAN18	Astrocytes	Down
1.9001643824284e-63	-6.35750437506601	0.26	0.016	7.04770969442692e-60	ENSG00000226149	Astrocytes	Down
2.95223922749149e-63	-6.79706126571723	0.561	0.163	1.09498552947659e-59	CHRNA7	Astrocytes	Down
