p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	cell_type	direction
0	-8.97331414202807	0.543	0.013	0	ENSG00000287949	Excitatory_Neurons	Down
0	-4.31391830886052	0.527	0.039	0	LINC00351	Excitatory_Neurons	Down
0	-5.47584022673952	0.532	0.062	0	ENSG00000243944	Excitatory_Neurons	Down
0	-9.61747371216604	0.505	0.041	0	ENSG00000229491	Excitatory_Neurons	Down
0	-9.00584776039927	0.497	0.063	0	LINC01098	Excitatory_Neurons	Down
0	-3.99483887608303	0.477	0.062	0	HSD11B1-AS1	Excitatory_Neurons	Down
0	-6.55660896153323	0.454	0.075	0	NECTIN3-AS1	Excitatory_Neurons	Down
0	-2.15110520245194	0.4	0.031	0	SAMD12-AS1	Excitatory_Neurons	Down
1.80578886805587e-296	-3.16242860443889	0.284	0.044	6.69767091161924e-293	ENSG00000287291	Excitatory_Neurons	Down
3.40972394591622e-296	-2.69139846568332	0.414	0.079	1.26466661154033e-292	BDKRB2	Excitatory_Neurons	Down
8.48622660548171e-283	-5.26339763373888	0.276	0.069	3.14754144797317e-279	VSTM2B-DT	Excitatory_Neurons	Down
6.35261424074325e-278	-3.59913805263912	0.378	0.036	2.35618462189167e-274	ENSG00000259995	Excitatory_Neurons	Down
1.10252120720859e-271	-2.72315433012624	0.284	0.043	4.08925115753667e-268	ENSG00000249061	Excitatory_Neurons	Down
1.76809550172192e-271	-7.39999893273774	0.339	0.061	6.5578662158866e-268	ZNF277-AS1	Excitatory_Neurons	Down
9.94014976804611e-260	-3.98899992949168	0.366	0.042	3.6868015489683e-256	ENSG00000282564	Excitatory_Neurons	Down
1.81068208898973e-259	-10.632882734843	0.228	0.042	6.71581986806291e-256	ENSG00000287918	Excitatory_Neurons	Down
5.75377171330840e-256	-10.1483357935559	0.629	0.142	2.13407392846608e-252	LINC02814	Excitatory_Neurons	Down
1.06960954101791e-254	-3.7785580481848	0.326	0.048	3.96718178763541e-251	CALCRL-AS1	Excitatory_Neurons	Down
4.91324240031435e-253	-3.15531224977146	0.433	0.118	1.82232160627659e-249	TRPM1	Excitatory_Neurons	Down
1.36432078925049e-249	-3.85070791802373	0.23	0.014	5.06026580733007e-246	PLB1	Excitatory_Neurons	Down
2.00739636795473e-249	-2.60010963455786	0.429	0.063	7.4454331287441e-246	LINC01416	Excitatory_Neurons	Down
4.77694865624998e-247	1.79763800519295	0.151	0.018	1.77177025660312e-243	SST	Excitatory_Neurons	Up
5.98711011517318e-244	-2.09140427036239	0.324	0.076	2.22061914171773e-240	LINC01695	Excitatory_Neurons	Down
1.27843991501117e-236	-1.16012812648649	0.474	0.022	4.74173364477645e-233	LINC01483	Excitatory_Neurons	Down
2.22267504567006e-235	-3.92676706338322	0.409	0.029	8.24390174439026e-232	ENSG00000286751	Excitatory_Neurons	Down
4.35854679294022e-229	-3.847925086805	0.219	0.062	1.61658500550153e-225	ENSG00000233862	Excitatory_Neurons	Down
1.05866463265618e-227	-1.00955451849708	0.45	0.017	3.92658712252178e-224	MYO3B	Excitatory_Neurons	Down
1.27750223196176e-227	-2.80550604453201	0.312	0.031	4.73825577834616e-224	ENSG00000288723	Excitatory_Neurons	Down
5.99099162168949e-227	-4.1931800987849	0.597	0.12	2.22205879248463e-223	GACAT3	Excitatory_Neurons	Down
8.56599700358294e-227	-6.99120615516804	0.405	0.103	3.17712828862891e-223	TMIGD3	Excitatory_Neurons	Down
1.06301904074021e-222	-11.0810363895317	0.513	0.131	3.94273762210546e-219	LINC01099	Excitatory_Neurons	Down
2.20050156889887e-218	-1.60192571243119	0.359	0.079	8.16166031904591e-215	ENSG00000291293	Excitatory_Neurons	Down
3.9609036344053e-217	-1.98349776238599	0.266	0.038	1.46909915800093e-213	ENSG00000253766	Excitatory_Neurons	Down
6.4696825185071e-217	-1.23841652825647	0.355	0.128	2.39960524611428e-213	CLVS1	Excitatory_Neurons	Down
1.66027320160085e-215	-1.14331917854575	0.416	0.138	6.15795330473755e-212	ENSG00000230773	Excitatory_Neurons	Down
6.7251213276871e-213	-3.67166077943141	0.231	0.02	2.49434750043915e-209	ENSG00000287083	Excitatory_Neurons	Down
8.82456068149046e-210	-3.34320047360276	0.2	0.026	3.27302955676481e-206	SP140	Excitatory_Neurons	Down
3.10470100206527e-206	3.89570515569737	0.246	0.085	1.15153360166601e-202	PLXNC1	Excitatory_Neurons	Up
1.81412579052666e-203	-2.68946396880828	0.406	0.017	6.72859255706338e-200	ENSG00000257869	Excitatory_Neurons	Down
2.17385718944728e-201	-1.68276472498602	0.294	0.039	8.06283631565995e-198	ENSG00000285095	Excitatory_Neurons	Down
1.59996479488736e-200	-3.44903012963804	0.229	0.027	5.93426942423721e-197	LINC00276	Excitatory_Neurons	Down
7.13063062900427e-199	-1.872689805986	0.129	0.006	2.64475090029769e-195	FOS	Excitatory_Neurons	Down
2.64565507764192e-198	-1.23087125868228	0.329	0.114	9.81273468297388e-195	RAP2C-AS1	Excitatory_Neurons	Down
3.27560742447885e-198	3.3222668424566	0.32	0.028	1.21492279373921e-194	ENSG00000285939	Excitatory_Neurons	Up
3.07733825563537e-197	-4.44949914843787	0.238	0.034	1.14138475901516e-193	PAX8-AS1	Excitatory_Neurons	Down
2.74342930449089e-196	-3.29140759007123	0.307	0.14	1.01753792903567e-192	SAMMSON	Excitatory_Neurons	Down
3.59830366387643e-193	4.76374679715956	0.203	0.095	1.33461082893177e-189	ENSG00000225689	Excitatory_Neurons	Up
2.7525719408668e-191	4.64453084639764	0.03	0.131	1.0209289328675e-187	LINC02649	Excitatory_Neurons	Up
3.50244963840456e-191	-1.78134730172337	0.14	0.034	1.29905857088425e-187	SPC25	Excitatory_Neurons	Down
6.02787693169655e-188	-4.02810406477466	0.327	0.123	2.23573955396625e-184	CDH23	Excitatory_Neurons	Down
4.37880410289088e-187	-2.03901310972222	0.444	0.015	1.62409844176223e-183	LINC01697	Excitatory_Neurons	Down
