p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	cell_type	direction
1.28780347407618e-37	-4.83514949841221	0.839	0.067	4.77646308534854e-34	IFNLR1	Inhibitory_Neurons	Down
1.10202941577454e-36	-2.29834194171548	0.612	0.034	4.08742710310778e-33	ADGRF5	Inhibitory_Neurons	Down
2.46337718506236e-35	-2.28032216593004	0.851	0.244	9.13666597939631e-32	LINC01950	Inhibitory_Neurons	Down
6.64742823883908e-34	-7.14618328101881	0.869	0.261	2.46553113378542e-30	SLC14A2	Inhibitory_Neurons	Down
2.0084353211771e-30	-3.01568405791105	0.618	0.084	7.44928660624587e-27	ARRDC3-AS1	Inhibitory_Neurons	Down
1.43664878284056e-29	-6.72157751572225	0.725	0.05	5.32853033555565e-26	ENSG00000286163	Inhibitory_Neurons	Down
2.40992439364555e-29	1.37312401514379	0.146	0.042	8.93840957603133e-26	XKR9	Inhibitory_Neurons	Up
2.30257157557581e-28	-2.52780829409183	0.824	0.168	8.54023797381067e-25	LINC01208	Inhibitory_Neurons	Down
1.60378348294098e-27	-3.55296556888735	0.743	0.151	5.9484329382281e-24	ETS2	Inhibitory_Neurons	Down
1.73771816584098e-27	-2.54469007031909	0.484	0.05	6.4451966771042e-24	ARPC1B	Inhibitory_Neurons	Down
4.99328722576742e-27	-1.86610503332651	0.627	0.059	1.85201023203714e-23	GMPR	Inhibitory_Neurons	Down
5.03757600330389e-27	-1.25513346739163	0.922	0.168	1.86843693962541e-23	CFAP61	Inhibitory_Neurons	Down
8.54680776289542e-27	-1.17402101562288	0.588	0.118	3.17001099925791e-23	PLSCR1	Inhibitory_Neurons	Down
5.76866066890731e-26	-1.18576141812453	0.988	0.185	2.13959624209772e-22	LINC02664	Inhibitory_Neurons	Down
9.84836671536654e-26	-2.56735101594266	0.818	0.109	3.65275921472945e-22	ENSG00000287291	Inhibitory_Neurons	Down
1.70607517914842e-25	-2.85170525121747	0.893	0.176	6.32783283946148e-22	ENSG00000225339	Inhibitory_Neurons	Down
6.06803986266928e-25	-1.05518564219535	0.606	0.109	2.25063598506403e-21	PKN2-AS1	Inhibitory_Neurons	Down
6.43844817798708e-25	-3.67547815660762	0.525	0.101	2.38802042921541e-21	ARID3A	Inhibitory_Neurons	Down
1.0958430259097e-24	1.0136769554415	0.928	0.361	4.06448178309907e-21	EMB	Inhibitory_Neurons	Up
2.84981262263101e-24	-1.00845225279664	0.707	0.034	1.05699550173384e-20	EGR1	Inhibitory_Neurons	Down
7.53286180123499e-24	-5.99820501273436	0.499	0.143	2.79393844207806e-20	TBC1D16	Inhibitory_Neurons	Down
1.63416304064496e-23	-3.16900651110322	0.66	0.252	6.06111071775215e-20	B4GALT1	Inhibitory_Neurons	Down
1.71663600092639e-23	-2.38816606128813	0.642	0.025	6.36700292743598e-20	TFPI	Inhibitory_Neurons	Down
5.00015007499794e-23	3.80723925081686	0.394	0.134	1.85455566281674e-19	SERPINB9	Inhibitory_Neurons	Up
7.02765349764329e-23	-2.77815205094502	0.564	0.034	2.6065566822759e-19	DUSP1	Inhibitory_Neurons	Down
1.42861857961505e-22	-2.91638192236338	0.552	0.034	5.2987463117922e-19	C11orf96	Inhibitory_Neurons	Down
1.90688565054668e-22	-7.63807204294509	0.722	0.059	7.07263887787765e-19	ENSG00000258077	Inhibitory_Neurons	Down
4.13423911811072e-22	-2.3885764427241	0.71	0.109	1.53338928890727e-18	FMNL1	Inhibitory_Neurons	Down
1.79198703444284e-21	-2.6269809771857	0.693	0.076	6.6464799107485e-18	PLB1	Inhibitory_Neurons	Down
2.28315268281914e-21	6.9474958753609	0.185	0.017	8.46821330057619e-18	CCDC178	Inhibitory_Neurons	Up
3.61409546517927e-21	-6.57013172197328	0.758	0.025	1.34046800803499e-17	ENSG00000253452	Inhibitory_Neurons	Down
6.02499755233795e-21	-6.32890276889269	0.558	0.05	2.23467159216215e-17	TMCO4	Inhibitory_Neurons	Down
6.60966883635639e-21	-2.30301927258	0.693	0.151	2.45152617140459e-17	THSD4	Inhibitory_Neurons	Down
7.65212628112019e-21	-3.7240903757771	0.773	0.042	2.83817363766748e-17	PDK1-AS1	Inhibitory_Neurons	Down
1.69864953848219e-20	-1.46776652525431	0.734	0.076	6.30029113823045e-17	LINC01482	Inhibitory_Neurons	Down
1.86151340095318e-20	-8.84758148682136	0.666	0.134	6.90435320413536e-17	LINC01807	Inhibitory_Neurons	Down
4.32243337758515e-20	-3.10274221421366	0.54	0.042	1.60319053974633e-16	ENSG00000257398	Inhibitory_Neurons	Down
4.55704526493008e-20	-1.52832769524189	0.71	0.059	1.69020808876257e-16	FOSL2	Inhibitory_Neurons	Down
6.20661324336244e-20	-3.96042784178068	0.758	0.101	2.30203285196313e-16	SEC24D	Inhibitory_Neurons	Down
8.31836320386175e-20	-1.16174998761465	0.499	0.034	3.08528091231232e-16	EDN1	Inhibitory_Neurons	Down
8.50752637325218e-20	-6.53190762862316	0.636	0.151	3.15544153183923e-16	JAG1	Inhibitory_Neurons	Down
9.10089783290678e-20	-1.01898692877991	0.812	0.134	3.37552300622513e-16	LINC03000	Inhibitory_Neurons	Down
1.32232161725005e-19	-1.93614589199056	0.716	0.059	4.90449087838043e-16	XACT	Inhibitory_Neurons	Down
2.69694462808757e-19	-2.75842640545395	0.549	0.218	1.00029676255768e-15	SLC6A6	Inhibitory_Neurons	Down
5.15600277895304e-19	-1.98153887560584	0.678	0.235	1.91236143071368e-15	PRSS23	Inhibitory_Neurons	Down
5.27070810431863e-19	-3.35746404522826	0.767	0.151	1.95490563589178e-15	ENSG00000285095	Inhibitory_Neurons	Down
8.11485620736143e-19	-4.87360714048697	0.525	0.05	3.00980016731036e-15	LINC02955	Inhibitory_Neurons	Down
1.8560904544624e-18	-1.39739076937396	0.254	0.101	6.88423949560104e-15	BTG1	Inhibitory_Neurons	Down
4.45704065593262e-18	2.60438233749187	0.2	0.092	1.65311637928541e-14	SCUBE2	Inhibitory_Neurons	Up
5.03181272081963e-18	-2.01086495182063	0.743	0.227	1.866299338152e-14	LINC00534	Inhibitory_Neurons	Down
6.18582256185245e-18	-2.1049935921674	0.701	0.101	2.29432158819107e-14	SLIT3	Inhibitory_Neurons	Down
6.36425275644167e-18	-2.35858672022563	0.731	0.109	2.36050134736422e-14	SMCO4	Inhibitory_Neurons	Down
8.33384911376057e-18	-10.0469532653436	0.215	0.034	3.0910246362938e-14	ATP8B1	Inhibitory_Neurons	Down
1.14547269082185e-17	-5.1504128693148	0.487	0.059	4.24855821025825e-14	PYGL	Inhibitory_Neurons	Down
2.91007912815562e-17	-3.93168887344165	0.254	0.067	1.07934834863292e-13	MFSD4A	Inhibitory_Neurons	Down
2.93042294945895e-17	-2.20031370613239	0.621	0.176	1.08689387195432e-13	COTL1	Inhibitory_Neurons	Down
1.11056781997588e-16	-2.105470541447	0.842	0.218	4.11909604429055e-13	ALDH1A2	Inhibitory_Neurons	Down
1.27321369049899e-16	-6.90221284165879	0.409	0.084	4.72234957806076e-13	MIR34AHG	Inhibitory_Neurons	Down
1.57282124331021e-16	-1.3754780557448	0.83	0.261	5.83359399143758e-13	INSYN2A	Inhibitory_Neurons	Down
1.62725933297263e-16	-4.3880356484052	0.681	0.185	6.03550486599549e-13	CFAP20DC-DT	Inhibitory_Neurons	Down
2.05000639792658e-16	-1.3866318360219	0.242	0.126	7.60347372990968e-13	SAMHD1	Inhibitory_Neurons	Down
3.15982888470426e-16	-3.03935629888571	0.624	0.042	1.17198053333681e-12	PPP1R1C	Inhibitory_Neurons	Down
3.5670045481217e-16	-5.09512228757174	0.49	0.025	1.32300198689834e-12	LINC02975	Inhibitory_Neurons	Down
4.82505513516319e-16	-1.4040094159028	0.463	0.092	1.78961294963203e-12	KLF6	Inhibitory_Neurons	Down
4.82505513516319e-16	-7.62945639314092	0.525	0.16	1.78961294963203e-12	REL	Inhibitory_Neurons	Down
5.85798837043455e-16	1.70489075701712	0.946	0.328	2.17272788659417e-12	ENSG00000227579	Inhibitory_Neurons	Up
6.38905630654277e-16	-9.19049496059905	0.531	0.109	2.36970098409671e-12	ENSG00000254587	Inhibitory_Neurons	Down
1.03796175037533e-15	-6.84358487046761	0.385	0.151	3.8498001321421e-12	NID1	Inhibitory_Neurons	Down
1.36107752785619e-15	-8.4594336411337	0.472	0.076	5.04823655081861e-12	LINC01924	Inhibitory_Neurons	Down
1.52246148214134e-15	-1.17640780336215	0.884	0.294	5.64680963726222e-12	ENSG00000290955	Inhibitory_Neurons	Down
1.7945747130998e-15	-2.02459651786064	0.328	0.076	6.65607761088715e-12	CLCN5	Inhibitory_Neurons	Down
1.91636434710841e-15	-3.12933404841779	0.499	0.21	7.1077953634251e-12	TPTE2	Inhibitory_Neurons	Down
3.38358660814583e-15	2.9830735355337	0.385	0.042	1.25497227296129e-11	DCDC1	Inhibitory_Neurons	Up
3.82835968166204e-15	-2.54419925674944	0.86	0.277	1.41993860592845e-11	ENSG00000270792	Inhibitory_Neurons	Down
4.59058647972356e-15	-6.87048678511021	0.612	0.277	1.70264852532947e-11	NIBAN1	Inhibitory_Neurons	Down
6.59041087959832e-15	-1.16760988185343	0.654	0.076	2.44438339524302e-11	PHLDB2	Inhibitory_Neurons	Down
