p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	cell_type	direction
3.15537844237794e-55	-3.58607059362553	0.894	0.037	1.17032986427798e-51	ITIH5	Microglia	Down
8.22852243720469e-52	-4.67464875147879	0.542	0.059	3.05195897195922e-48	ETS1	Microglia	Down
4.35769642394513e-51	-5.53800423458931	0.894	0.059	1.61626960364125e-47	ENSG00000290888	Microglia	Down
6.24578900076181e-50	-3.95592946868991	0.981	0.397	2.31656314038256e-46	DACH1	Microglia	Down
1.30573985630002e-49	-8.83853739063818	0.924	0.294	4.84298912701679e-46	SLC6A17	Microglia	Down
1.88622775538814e-49	-4.46706535004353	0.913	0.007	6.9960187447346e-46	IQCM	Microglia	Down
2.43412165625641e-48	-3.00367633636672	0.32	0.037	9.02815722305502e-45	ENSG00000289986	Microglia	Down
4.27969956259815e-48	-1.15448793793115	0.992	0.294	1.58734056776765e-44	PTH2R	Microglia	Down
1.22798943137034e-47	-10.7408987127887	0.856	0.044	4.55461280095257e-44	LHCGR	Microglia	Down
8.66355215525269e-47	-9.80039616825114	0.921	0.066	3.21331149438322e-43	LINC02008	Microglia	Down
8.92524517564066e-47	-7.85552871312992	0.772	0.051	3.31037343564512e-43	KANK2	Microglia	Down
6.55781225443386e-46	-1.97632866124679	0.938	0.36	2.43229256516952e-42	RAB37	Microglia	Down
8.54867011896328e-46	-1.28597328935377	0.856	0.037	3.17070174712348e-42	SLC17A7	Microglia	Down
1.26532481205539e-45	-1.57375355277365	0.832	0.081	4.69308972791344e-42	ENSG00000257526	Microglia	Down
3.89048906107036e-45	-1.19566111347513	0.266	0.059	1.442982392751e-41	LINC01088	Microglia	Down
1.21204308675902e-44	-5.85575276270067	0.301	0.044	4.49546780878921e-41	NMNAT3	Microglia	Down
1.32240617493908e-44	3.13524540944402	0.068	0.36	4.90480450284906e-41	CFAP20DC-DT	Microglia	Up
1.52899521118582e-44	-1.33951301888683	0.753	0.066	5.67104323828821e-41	LINC01500	Microglia	Down
1.12120052608701e-43	-3.49068708042373	0.073	0.309	4.15853275125673e-40	SLIT1	Microglia	Down
1.00193708920277e-42	-2.84852844262073	0.995	0.103	3.71618466385306e-39	ENSG00000251680	Microglia	Down
1.40845024592251e-42	-1.78798116595399	0.973	0.257	5.22394196212657e-39	ENPP1	Microglia	Down
2.48113382397116e-42	6.85298698434105	0.095	0.206	9.20252535310905e-39	ENSG00000236230	Microglia	Up
2.83089373293596e-42	-7.53728843085742	0.894	0.037	1.04997848554595e-38	ENSG00000289130	Microglia	Down
4.93005949038587e-42	-10.3964334393239	0.602	0.044	1.82855906498412e-38	GAP43	Microglia	Down
1.25770160286998e-41	6.91862265614637	0.098	0.301	4.66481524504476e-38	CYP1B1-AS1	Microglia	Up
1.10494875950356e-40	-7.85281572244265	0.789	0.029	4.09825494899872e-37	NET1	Microglia	Down
1.56872967556814e-40	-6.31950726707948	0.447	0.066	5.81841836668223e-37	NRGN	Microglia	Down
5.41873754330445e-40	-4.22595894348881	0.797	0.088	2.00980975481162e-36	ENSG00000285280	Microglia	Down
1.23233450253443e-39	-10.8794406890303	0.64	0.096	4.5707286699002e-36	LINC02240	Microglia	Down
2.01388404815731e-39	-1.08659107280992	0.946	0.36	7.46949593461547e-36	JAG1	Microglia	Down
3.22758465440679e-39	-9.49325119871236	0.705	0.015	1.19711114831948e-35	LINC01320	Microglia	Down
3.25695325708982e-39	7.60263143874019	0.821	0.279	1.20800396305461e-35	CD96	Microglia	Up
6.02333283635651e-39	-11.0723527518194	0.314	0.015	2.23405414900463e-35	LINC02997	Microglia	Down
8.25863997964151e-39	7.85635874964452	0.103	0.221	3.06312956844904e-35	CPNE4	Microglia	Up
3.17341743922113e-38	1.86783379604145	0.81	0.029	1.17702052820712e-34	RGS2	Microglia	Up
1.08472969124261e-37	-3.96501410131347	0.753	0.007	4.02326242481884e-34	ENSG00000287923	Microglia	Down
1.25014201799492e-37	7.88892667935874	0.122	0.015	4.63677674474316e-34	ENSG00000288563	Microglia	Up
1.50584312921524e-37	-1.83294009495344	0.791	0.022	5.58517216625932e-34	EGFL7	Microglia	Down
2.51495663734225e-37	-6.60178948036135	0.721	0.007	9.32797416790242e-34	LINC00326	Microglia	Down
2.5371633316968e-37	-1.04360042046458	1	0.147	9.41033879726345e-34	SERPINE1	Microglia	Down
1.39444520100921e-36	2.05696987124039	0.667	0.037	5.17199725054315e-33	ADAM32	Microglia	Up
9.02767380117204e-36	-3.20273656966129	0.111	0.331	3.34836421285471e-32	LY86-AS1	Microglia	Down
9.34497478775158e-36	-2.53646656433341	1	0.14	3.46605114877706e-32	ENSG00000223725	Microglia	Down
1.0364906308388e-35	-1.19900433713164	0.997	0.404	3.84434374978111e-32	TNFRSF21	Microglia	Down
3.57372796045689e-35	-4.7437624917168	0.702	0.015	1.32549570053346e-31	LINC01821	Microglia	Down
4.69898526165872e-35	-4.68464562536484	0.36	0.074	1.74285363354922e-31	ENSG00000275119	Microglia	Down
4.77999355374093e-35	3.78517874276592	0.255	0.029	1.77289960908251e-31	TRHDE	Microglia	Up
7.20012539506128e-35	-6.10105432272868	0.593	0.059	2.67052650902823e-31	ANTXR2	Microglia	Down
3.09743678936424e-34	-2.9163118553213	0.94	0.103	1.1488393051752e-30	ABCG2	Microglia	Down
4.45119853620543e-34	-9.97125802084538	0.263	0.074	1.6509495370786e-30	CDKN1C	Microglia	Down
5.72950457738315e-34	-10.7276658319716	0.824	0.007	2.12507324775141e-30	ENSG00000286523	Microglia	Down
2.18661940785106e-33	-4.29543289200313	0.688	0.169	8.11017138371959e-30	ENSG00000288087	Microglia	Down
2.90203555422395e-33	-1.98549019403368	0.71	0.132	1.07636498706166e-29	LINC00504	Microglia	Down
7.2243920276012e-33	5.38472212233498	0.927	0.096	2.67952700303728e-29	GPR183	Microglia	Up
3.30677451007288e-32	-2.45070923386195	0.84	0.316	1.22648266578603e-28	HERC6	Microglia	Down
5.80771894917759e-32	-3.53678142011522	0.995	0.375	2.15408295824997e-28	TMEM220-AS1	Microglia	Down
6.66991991806607e-32	1.22188460915935	0.873	0.169	2.4738732976107e-28	KIF20B	Microglia	Up
1.27709763450071e-31	-3.30325739322551	0.943	0.243	4.73675512636315e-28	HOMER1	Microglia	Down
1.4420266789515e-31	6.42206842801658	0.014	0.221	5.34847695223112e-28	PRDM6	Microglia	Up
1.75096163945146e-31	3.43724410459066	0.981	0.691	6.49431672072545e-28	COL15A1	Microglia	Up
3.28436796159208e-31	-2.83568503293112	0.423	0.022	1.2181720769545e-27	DISC1FP1	Microglia	Down
3.73537748721905e-31	7.14503871554715	0.111	0.39	1.38545151000955e-27	SNHG31	Microglia	Up
6.19249266615e-31	-7.58613884949668	0.976	0.368	2.29679552987503e-27	ELAVL4	Microglia	Down
6.34306534181279e-31	-9.20856019807031	0.425	0.015	2.35264293527836e-27	VWF	Microglia	Down
1.66569646168409e-30	-1.2657502460928	0.734	0.007	6.1780681763863e-27	ANKRD30B	Microglia	Down
1.87658528430622e-30	1.50469891049807	0.729	0.11	6.96025481949176e-27	SIGLEC1	Microglia	Up
6.00202657705068e-30	-2.26050322966562	0.661	0.096	2.2261516574281e-26	ENSG00000248431	Microglia	Down
6.59663439640877e-30	-1.11171733884393	0.469	0.029	2.44669169762801e-26	CCK	Microglia	Down
9.1047521214341e-30	4.88374747737636	0.672	0.074	3.37695256183991e-26	LINC03069	Microglia	Up
9.17650189658846e-30	-2.05829653818578	0.453	0.022	3.40356455344466e-26	ENSG00000285987	Microglia	Down
1.8855440639884e-29	-7.04726362668735	0.417	0.074	6.99348293333296e-26	UCHL1	Microglia	Down
3.94989565349034e-29	-5.47036729378476	0.783	0.162	1.46501629787957e-25	NOS1AP	Microglia	Down
6.58595516720048e-29	1.03803260171294	1	0.184	2.44273077151466e-25	MX1	Microglia	Up
1.44548215525401e-28	-3.36285543359415	0.797	0.287	5.36129331383714e-25	IL1RAPL2	Microglia	Down
1.99513101868166e-28	-7.52707398401364	0.68	0.029	7.39994094829028e-25	ABI3BP	Microglia	Down
2.29004360615391e-28	-2.54544136487899	0.583	0.169	8.49377173522484e-25	COL25A1	Microglia	Down
4.44935059813907e-28	3.73359666839964	0.55	0.14	1.65026413684978e-24	RORA-AS1	Microglia	Up
5.10251294815373e-28	-16.0939577893953	0.458	0.029	1.89252205247022e-24	ENSG00000259995	Microglia	Down
5.71882264098587e-28	-1.02352880662723	0.97	0.412	2.12111131754166e-24	CC2D2B	Microglia	Down
1.75175333487223e-27	3.28464516662013	0.022	0.25	6.49725311904111e-24	H2AZ1-DT	Microglia	Up
5.1165709629237e-27	-5.37024983018846	0.997	0.191	1.8977361701484e-23	PLXDC1	Microglia	Down
6.16500892595542e-27	-1.4118247528276	0.743	0.11	2.28660181063687e-23	ENSG00000258216	Microglia	Down
8.4894240799512e-27	-4.28294124426992	0.694	0.125	3.1487273912539e-23	UBTD1	Microglia	Down
1.55883538431724e-26	-1.31339380588156	0.995	0.199	5.78172044043266e-23	ARSG	Microglia	Down
1.61751220131061e-26	-8.96492295683999	0.672	0.088	5.99935275466106e-23	SLC24A4	Microglia	Down
1.72870938266067e-26	12.8118305187	0.127	0.412	6.41178310028842e-23	LUCAT1	Microglia	Up
2.18903700302492e-26	5.69834755919071	0.179	0.037	8.11913824421944e-23	SERPINH1	Microglia	Up
5.98216814035587e-26	-5.71826799104482	0.477	0.14	2.21878616325799e-22	CDON	Microglia	Down
7.1277279873064e-26	5.3434487943336	0.201	0.044	2.64367431049194e-22	HSPA6	Microglia	Up
8.24654451612388e-26	-12.0388484126399	0.493	0.059	3.05864336103035e-22	STMN2	Microglia	Down
1.43255110033859e-25	-1.59831671421162	0.816	0.088	5.31333203115584e-22	LINC02542	Microglia	Down
2.11774690664742e-25	-2.1019891629925	0.222	0.007	7.85472327675528e-22	ENSG00000228541	Microglia	Down
2.292846161404e-25	-4.05137034375585	0.244	0.11	8.50416641264744e-22	ERI1	Microglia	Down
2.3430414419971e-25	-1.52748089546738	0.878	0.478	8.69034070836726e-22	LINC00923	Microglia	Down
2.68721732411672e-25	7.93310321856657	0.079	0.265	9.96688905514892e-22	LINC02609	Microglia	Up
2.7262399564449e-25	3.90291843001938	0.065	0.404	1.01116239984541e-21	ENSG00000249328	Microglia	Up
6.05047945840482e-25	10.6732279714603	0.125	0.603	2.24412283112235e-21	PPP1R3C	Microglia	Up
7.82602053278592e-25	-2.09134219972551	0.564	0.081	2.9026710156103e-21	LINC01266	Microglia	Down
1.11767019343092e-24	1.51920882145081	0.211	0.081	4.14543874743528e-21	CLEC2B	Microglia	Up
1.73566963022679e-24	-1.1896882928819	0.87	0.103	6.43759865851115e-21	LINC01605	Microglia	Down
3.72166825453781e-24	-4.99373499198156	0.518	0.022	1.38036675560807e-20	NREP	Microglia	Down
3.82788796428751e-24	-2.49835006113347	0.957	0.221	1.41976364595424e-20	HLA-C	Microglia	Down
5.1415044538156e-24	-6.3430897445494	0.664	0.206	1.90698400192021e-20	ENSG00000257735	Microglia	Down
7.66314700316949e-24	-1.81046640837043	0.995	0.221	2.84226122347556e-20	RELL1	Microglia	Down
1.54842197979063e-23	-3.60102704174397	0.84	0.397	5.74309712304346e-20	ENSG00000283982	Microglia	Down
2.23544374931831e-23	4.45461187350356	0.285	0.029	8.29126086622161e-20	C16orf95	Microglia	Up
2.53159140376816e-23	-4.03670061142226	0.463	0.037	9.38967251657612e-20	MYO5B	Microglia	Down
3.45288942272297e-23	-6.91966041918617	0.547	0.029	1.28067668688795e-19	S100A6	Microglia	Down
3.47674875405953e-23	1.24173753743313	0.864	0.221	1.28952611288068e-19	MAP2K6	Microglia	Up
3.69897077022851e-23	1.58025537894423	0.986	0.228	1.37194825867775e-19	XACT	Microglia	Up
4.80290479226698e-23	-1.82943598233761	0.87	0.147	1.78139738745182e-19	ENSG00000226149	Microglia	Down
8.19223362665394e-23	-1.46437679412772	0.93	0.515	3.03849945212595e-19	ENSG00000285679	Microglia	Down
1.00522842079813e-22	-9.42278867178564	0.599	0.279	3.72839221274028e-19	LINC01807	Microglia	Down
2.30014077419549e-22	-1.2609960167478	0.656	0.007	8.53122213149106e-19	IKZF3	Microglia	Down
2.41151033021246e-22	7.82313308925193	0.136	0.007	8.94429181475801e-19	SPATA9	Microglia	Up
4.6325134293294e-22	6.84950612782942	0.089	0.221	1.71819923093828e-18	B3GAT2	Microglia	Up
4.69507465262449e-22	-1.76051388013915	0.507	0.096	1.74140318865842e-18	LINC01619	Microglia	Down
5.70197750502001e-22	1.4187752655702	0.648	0.051	2.11486345661192e-18	SOX4	Microglia	Up
1.33792998690954e-21	5.76070059750732	0.133	0.029	4.96238232144747e-18	GNLY	Microglia	Up
3.57618279460877e-21	3.42834013586342	0.537	0.044	1.32640619852039e-17	RUNX3	Microglia	Up
3.9459821026073e-21	-3.66102942915597	0.729	0.081	1.46356476185705e-17	EXPH5	Microglia	Down
5.29769772695628e-21	-1.07741144493074	0.688	0.022	1.96491608692808e-17	NPY1R	Microglia	Down
8.75063170979679e-21	-8.01187924683522	0.084	0.485	3.24560930116363e-17	DOCK7-DT	Microglia	Down
1.70491917780572e-20	6.8128769714864	0.089	0.199	6.32354523048143e-17	LINC02608	Microglia	Up
4.13449210490025e-20	7.01054589449065	0.214	0.022	1.5334831217075e-16	MGAM	Microglia	Up
4.21446722670555e-20	2.51732104091943	0.233	0.537	1.56314589438509e-16	RTN4RL1	Microglia	Up
4.46368216498021e-20	-1.04403639097446	0.61	0.199	1.65557971499116e-16	ENSG00000250842	Microglia	Down
5.8332683064987e-20	-1.33610012681819	0.71	0.029	2.16355921488037e-16	HMGA1	Microglia	Down
8.06405299166634e-20	-1.58275671428988	0.328	0.015	2.99095725460905e-16	DSEL-AS1	Microglia	Down
1.08566729719158e-19	-1.8885382622983	0.268	0.588	4.02674000528357e-16	CGNL1	Microglia	Down
1.17111230924622e-19	-1.76815471962311	0.851	0.287	4.34365555499423e-16	STOM	Microglia	Down
1.24736536448956e-19	-4.97576642135919	0.737	0.088	4.62647813689178e-16	ENSG00000225339	Microglia	Down
1.25525291140439e-19	7.02616753617002	0.236	0.029	4.65573304839889e-16	PLAC8	Microglia	Up
1.46934993018962e-19	-3.03893393557013	0.707	0.243	5.44981889107329e-16	CDR2	Microglia	Down
1.98648938982567e-19	-3.12566377964449	0.986	0.257	7.36788914686341e-16	CDH23	Microglia	Down
2.20981635400644e-19	-3.97458410683607	0.537	0.169	8.1962088570099e-16	MT-ND3	Microglia	Down
6.6060340723724e-19	2.66227579986616	0.16	0.051	2.45017803744292e-15	HMGCS1	Microglia	Up
