p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	cell_type	direction
4.09196841307249e-153	-14.2535305522104	0.366	0.059	1.51771108440859e-149	LINC01098	Oligodendrocyte_precursor	Down
7.80360997781522e-151	2.04517364995141	0.638	0.053	2.89435894077166e-147	GAB3	Oligodendrocyte_precursor	Up
3.02806236542666e-145	5.46949320562139	0.509	0.028	1.12310833133675e-141	NFATC2	Oligodendrocyte_precursor	Up
4.86282940985036e-145	-1.1187011356951	0.638	0.067	1.8036234281135e-141	LINC02391	Oligodendrocyte_precursor	Down
8.20262954799802e-140	2.5374891895935	0.233	0.061	3.04235529935247e-136	ENSG00000261218	Oligodendrocyte_precursor	Up
9.81643211127304e-137	-5.76142529402963	0.433	0.055	3.64091467007117e-133	MSR1	Oligodendrocyte_precursor	Down
1.22176854052544e-136	-1.27348933076847	0.424	0.06	4.53153951680885e-133	ENSG00000226571	Oligodendrocyte_precursor	Down
3.32939629074331e-136	4.52075586600127	0.555	0.054	1.23487308423669e-132	IQGAP2	Oligodendrocyte_precursor	Up
1.05409448955759e-132	-5.00564541961935	0.343	0.069	3.90963646176909e-129	TRIM38	Oligodendrocyte_precursor	Down
5.73849854690165e-132	-2.74702095630399	0.618	0.05	2.12840911104582e-128	GYPC	Oligodendrocyte_precursor	Down
5.18389209506279e-131	-9.37268717384076	0.565	0.078	1.92270557805879e-127	SMIM35	Oligodendrocyte_precursor	Down
7.9304416709982e-131	-6.48550192191132	0.385	0.07	2.94140081577323e-127	LINC02057	Oligodendrocyte_precursor	Down
5.4596660046482e-128	-1.8812863004021	0.537	0.073	2.02499012112402e-124	ALOX5	Oligodendrocyte_precursor	Down
2.07465196219759e-127	4.39202482787355	0.152	0.038	7.69488412779085e-124	RYR1	Oligodendrocyte_precursor	Up
5.20286061718207e-127	-4.27412440842599	0.507	0.067	1.92974100291283e-123	RIN3	Oligodendrocyte_precursor	Down
6.21455456237088e-127	-2.87968996075227	0.41	0.071	2.30497828718336e-123	A2M	Oligodendrocyte_precursor	Down
2.9302905649993e-125	-3.13823037712016	0.242	0.022	1.08684477055824e-121	ENG	Oligodendrocyte_precursor	Down
4.62992359630423e-125	-7.13612189685494	0.781	0.067	1.71723866186924e-121	APCDD1L-DT	Oligodendrocyte_precursor	Down
9.94533538407556e-125	-5.52859770271074	0.567	0.063	3.68872489395362e-121	ARHGAP4	Oligodendrocyte_precursor	Down
4.29756652582446e-124	1.83862172107846	0.205	0.035	1.59396742442829e-120	AXL	Oligodendrocyte_precursor	Up
6.71538429752109e-124	3.04174614007163	0.406	0.056	2.49073603595057e-120	DENND3	Oligodendrocyte_precursor	Up
1.78528578684654e-123	-4.86939823225988	0.184	0.066	6.62162498341382e-120	IL13RA1	Oligodendrocyte_precursor	Down
2.33899711375342e-123	2.45071790020589	0.396	0.053	8.67534029491143e-120	RNASET2	Oligodendrocyte_precursor	Up
2.44194600161949e-122	3.29541096374103	0.449	0.076	9.05717772000669e-119	CSF2RA	Oligodendrocyte_precursor	Up
2.83077123835105e-122	-3.26628037767885	0.3	0.045	1.0499330523044e-118	ADGRD1	Oligodendrocyte_precursor	Down
3.82609803910715e-122	3.39900773381399	0.3	0.067	1.41909976270484e-118	LPAR6	Oligodendrocyte_precursor	Up
2.44402001821492e-121	5.27806024447313	0.276	0.078	9.06487024755912e-118	CX3CR1	Oligodendrocyte_precursor	Up
2.74933749746292e-121	2.03341979520003	0.366	0.077	1.019729277809e-117	NLRP1	Oligodendrocyte_precursor	Up
2.80655469585401e-121	-4.68197486878365	0.205	0.067	1.04095113669225e-117	LINC01141	Oligodendrocyte_precursor	Down
3.70054932983703e-121	-1.63562461525745	0.507	0.032	1.37253374643655e-117	ACER2	Oligodendrocyte_precursor	Down
1.28968686323555e-120	-7.70958991673801	0.394	0.077	4.78344857574066e-117	LINC02712	Oligodendrocyte_precursor	Down
6.14821656026385e-120	-3.3280124255451	0.274	0.077	2.28037352220186e-116	PRAM1	Oligodendrocyte_precursor	Down
8.81041715536122e-120	1.33149678888435	0.189	0.052	3.26778372292348e-116	IL4R	Oligodendrocyte_precursor	Up
9.09839525939898e-120	-1.71882534232889	0.537	0.084	3.37459480171108e-116	P2RY12	Oligodendrocyte_precursor	Down
1.57144841765595e-119	-7.17139663737306	0.41	0.09	5.82850218108592e-116	TGFBR2	Oligodendrocyte_precursor	Down
1.28197036033683e-118	-8.19062592139764	0.495	0.065	4.7548280664893e-115	IRAG2	Oligodendrocyte_precursor	Down
1.77051005594649e-118	13.1791206253305	0.537	0.077	6.56682179750552e-115	PALD1	Oligodendrocyte_precursor	Up
1.81745613636508e-118	7.12202764800048	0.316	0.044	6.74094480977807e-115	FAM149A	Oligodendrocyte_precursor	Up
3.99424271140279e-118	-6.21558945095885	0.431	0.07	1.48146462165929e-114	LAPTM5	Oligodendrocyte_precursor	Down
7.32530949235048e-118	3.44783209786566	0.488	0.065	2.71695729071279e-114	SLC2A5	Oligodendrocyte_precursor	Up
2.19443347419172e-116	-4.67110487961066	0.551	0.073	8.13915375577707e-113	SYTL3	Oligodendrocyte_precursor	Down
3.70668220001137e-116	-10.2443258148418	0.23	0.048	1.37480842798422e-112	ENSG00000227531	Oligodendrocyte_precursor	Down
7.33007703056333e-116	-4.23516320177416	0.353	0.077	2.71872557063594e-112	ENSG00000287616	Oligodendrocyte_precursor	Down
1.20510328299105e-115	-1.93616160970168	0.396	0.077	4.46972807661381e-112	IKZF1	Oligodendrocyte_precursor	Down
2.77812413424363e-115	-7.26350325826744	0.346	0.07	1.03040624139096e-111	TRAF3IP3	Oligodendrocyte_precursor	Down
9.68587330912866e-115	2.08351088739919	0.175	0.02	3.59249041035582e-111	CTSS	Oligodendrocyte_precursor	Up
4.47868359407468e-114	-5.99270798599178	0.438	0.072	1.6611437450423e-110	TMEM156	Oligodendrocyte_precursor	Down
9.34438741919063e-114	6.68459742688501	0.362	0.072	3.4658332937778e-110	ARHGAP25	Oligodendrocyte_precursor	Up
1.05618529862452e-113	10.1085428198483	0.396	0.083	3.91739127259833e-110	C3	Oligodendrocyte_precursor	Up
1.76727554000082e-112	2.47700460958962	0.611	0.106	6.55482497786304e-109	ST6GAL1	Oligodendrocyte_precursor	Up
2.84352039458522e-112	-1.5511376740874	0.521	0.036	1.05466171435166e-108	DIRAS2	Oligodendrocyte_precursor	Down
4.99198238857722e-112	-3.37709596617098	0.394	0.078	1.85152626792329e-108	INPP5D	Oligodendrocyte_precursor	Down
1.50989921946561e-111	-1.85670789873333	0.783	0.075	5.60021620499795e-108	LINC01619	Oligodendrocyte_precursor	Down
2.55787831005814e-111	2.38967330573345	0.219	0.052	9.48717065200564e-108	GPR34	Oligodendrocyte_precursor	Up
2.77562882353665e-111	3.20237370718412	0.373	0.078	1.02948073064974e-107	PIK3R5	Oligodendrocyte_precursor	Up
3.89153543854923e-111	-3.02423393082902	0.27	0.081	1.44337049415791e-107	ENSG00000225889	Oligodendrocyte_precursor	Down
7.51654536584261e-111	-2.94325290328155	0.329	0.079	2.78788667619102e-107	NCKAP1L	Oligodendrocyte_precursor	Down
1.48838671838323e-108	-3.53385173683915	0.242	0.071	5.52042633848339e-105	ENSG00000277855	Oligodendrocyte_precursor	Down
1.78827791833665e-108	-6.48149592013768	0.426	0.08	6.63272279911062e-105	RHBDF2	Oligodendrocyte_precursor	Down
9.45789674161153e-108	-3.00122687243088	0.544	0.083	3.50793390146372e-104	TMED3	Oligodendrocyte_precursor	Down
1.31149445636698e-107	-1.30105379123302	0.237	0.064	4.86433293866511e-104	ALPK1	Oligodendrocyte_precursor	Down
3.22329533265284e-107	-4.66136656026745	0.38	0.069	1.19552023888094e-103	MIS18BP1	Oligodendrocyte_precursor	Down
3.82577926941975e-107	-2.39269185441538	0.56	0.034	1.41898153102778e-103	TBC1D9	Oligodendrocyte_precursor	Down
4.09940396109314e-107	1.33614658038643	0.016	0.227	1.52046892916944e-103	RND3	Oligodendrocyte_precursor	Up
4.91928254694695e-107	5.20861200961709	0.403	0.079	1.82456189666262e-103	SYK	Oligodendrocyte_precursor	Up
1.17271047698877e-105	1.51895565122601	0.247	0.068	4.34958315915136e-102	SP100	Oligodendrocyte_precursor	Up
1.30157209854713e-105	-1.57386440607519	0.588	0.171	4.8275309135113e-102	DIAPH2	Oligodendrocyte_precursor	Down
2.85833141488108e-105	-4.67330419999787	0.364	0.065	1.06015512177939e-101	ABCC4	Oligodendrocyte_precursor	Down
1.24121925880443e-104	4.89239752581212	0.461	0.077	4.60368223090563e-101	KCNQ1	Oligodendrocyte_precursor	Up
1.27557430210022e-104	2.63860686997672	0.302	0.067	4.7311050864897e-101	KYNU	Oligodendrocyte_precursor	Up
3.52772265601489e-104	7.17650051980111	0.47	0.048	1.30843233311592e-100	PIK3CD	Oligodendrocyte_precursor	Up
2.49124397067902e-103	-3.65534418970454	0.226	0.036	9.24002388724848e-100	TACR3	Oligodendrocyte_precursor	Down
2.22529169882876e-102	5.95485439863092	0.014	0.363	8.25360691095586e-99	ENSG00000262198	Oligodendrocyte_precursor	Up
9.54263134745391e-102	7.00998161672039	0.044	0.391	3.53936196677066e-98	LINC02006	Oligodendrocyte_precursor	Up
2.16144650490062e-101	2.75557477646597	0.758	0.163	8.01680508667641e-98	LINC02283	Oligodendrocyte_precursor	Up
8.26763730199178e-101	4.82985267958127	0.574	0.16	3.06646667530875e-97	AKNA	Oligodendrocyte_precursor	Up
3.72717566801275e-100	1.18182566108196	0.56	0.082	1.38240945526593e-96	PLXNC1	Oligodendrocyte_precursor	Up
4.4812171295476e-100	3.23887300026448	0.346	0.075	1.66208343334921e-96	CYBA	Oligodendrocyte_precursor	Up
5.28758354998993e-100	-4.39580273556362	0.279	0.108	1.96116473869127e-96	CYFIP1	Oligodendrocyte_precursor	Down
4.75312761160218e-99	-6.42999832094786	0.311	0.122	1.76293503114325e-95	ZNF618	Oligodendrocyte_precursor	Down
1.18380931081521e-98	2.86483306510578	0.406	0.085	4.3907487338136e-95	APBB1IP	Oligodendrocyte_precursor	Up
1.47105977835546e-98	3.55022304316455	0.224	0.069	5.4561607179204e-95	FOXP2	Oligodendrocyte_precursor	Up
2.1595019459273e-98	-2.01702835524297	0.32	0.051	8.00959271744435e-95	B3GNT5	Oligodendrocyte_precursor	Down
7.75938519398525e-98	-2.73391493073404	0.59	0.045	2.87795596844913e-94	MIR34AHG	Oligodendrocyte_precursor	Down
8.99485326869068e-98	7.82920134217926	0.516	0.073	3.33619107735737e-94	P2RY8	Oligodendrocyte_precursor	Up
1.44576930304653e-97	-4.75437898361631	0.297	0.072	5.36235834499957e-94	HCK	Oligodendrocyte_precursor	Down
4.47121592129753e-97	-7.61122092702327	0.046	0.521	1.65837398520925e-93	ENSG00000232633	Oligodendrocyte_precursor	Down
5.03252349243728e-97	-3.93616718726944	0.302	0.095	1.86656296334499e-93	TBXAS1	Oligodendrocyte_precursor	Down
6.3413815302585e-97	-10.5296909715346	0.242	0.073	2.35201840957288e-93	RTL4	Oligodendrocyte_precursor	Down
1.07192445039467e-96	6.75714634814508	0.353	0.089	3.97576778651383e-93	MYO1F	Oligodendrocyte_precursor	Up
3.48436099673975e-96	-1.21506733383751	0.5	0.097	1.29234949369077e-92	RUNX1	Oligodendrocyte_precursor	Down
7.5137652282192e-96	2.29985798585885	0.41	0.083	2.7868555231465e-92	FYB1	Oligodendrocyte_precursor	Up
