ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0045766	positive regulation of angiogenesis	15/387	185/18870	6.69411532090825e-06	0.00899191926742704	0.0074376048501888	HK2/CHRNA7/FLT1/IL1B/PTK2B/WARS2/CXCR4/ITGA5/EMP2/AQP1/ADAM12/ANGPT2/BMPER/CYSLTR1/HIF1A	15
GO:1904018	positive regulation of vasculature development	15/387	185/18870	6.69411532090825e-06	0.00899191926742704	0.0074376048501888	HK2/CHRNA7/FLT1/IL1B/PTK2B/WARS2/CXCR4/ITGA5/EMP2/AQP1/ADAM12/ANGPT2/BMPER/CYSLTR1/HIF1A	15
GO:0045637	regulation of myeloid cell differentiation	16/387	213/18870	8.80250048857636e-06	0.00899191926742704	0.0074376048501888	SPI1/ROR2/PTK2B/CEBPB/TGFB1/CD4/LYN/CASP8/KITLG/STAT1/MEF2C/CAMK4/ZFP36L1/ZBTB46/UBASH3B/HIF1A	16
GO:0031098	stress-activated protein kinase signaling cascade	17/387	238/18870	9.03256581358819e-06	0.00899191926742704	0.0074376048501888	SPI1/PTPN22/IL1B/PTK2B/NOD1/CCDC88C/LYN/MAP2K6/MDFIC/GADD45B/RELL1/ARHGEF6/PLCB1/SH3RF3/HGF/ZFP36L1/ANKRD6	17
GO:0043410	positive regulation of MAPK cascade	25/387	474/18870	1.72699874633127e-05	0.009952160418975	0.00823186178618858	SPI1/CHRNA7/PTPN22/NPNT/FLT1/IL1B/PTK2B/HTR2A/NOD1/TGFB1/CD4/MAP2K6/GADD45B/BMPER/APOE/TMEM106A/RELL1/CD44/MEF2C/EDN1/PLCB1/SH3RF3/HGF/ANKRD6/SLC30A10	25
GO:0001933	negative regulation of protein phosphorylation	19/387	304/18870	1.8241832408136e-05	0.009952160418975	0.00823186178618858	PKIB/CHRNA7/PTPN22/RGS2/IL1B/TGFB1/PRKCD/LATS2/LYN/PARP14/NCK2/PRKAR2B/SH3GL2/APOE/WWTR1/PRKAG2/HGF/PKIA/UBASH3B	19
GO:0042113	B cell activation	18/387	278/18870	1.88906383760075e-05	0.009952160418975	0.00823186178618858	SPI1/CHRNA7/BST2/PTK2B/NFATC2/TGFB1/TFRC/PRKCD/PRLR/SLC39A10/PIK3R3/LYN/CASP8/ZFP36L2/ST3GAL1/MEF2C/ZFP36L1/TNFSF13B	18
GO:0038066	p38MAPK cascade	8/387	57/18870	1.99942951661979e-05	0.009952160418975	0.00823186178618858	SPI1/PTPN22/IL1B/MAP2K6/GADD45B/RELL1/HGF/ZFP36L1	8
GO:0045765	regulation of angiogenesis	20/387	349/18870	3.82374383444709e-05	0.0102661988596862	0.008491616546025	CLDN5/HK2/TSPAN18/CHRNA7/SULF1/FLT1/IL1B/PTK2B/WARS2/CXCR4/ITGA5/EMP2/AQP1/ADAM12/ANGPT2/BMPER/PDE3B/STAT1/CYSLTR1/HIF1A	20
GO:0030198	extracellular matrix organization	19/387	321/18870	3.85363760490036e-05	0.0102661988596862	0.008491616546025	ADAMTS16/THSD4/CTSV/ADAMTSL2/NPNT/CTSS/COL5A2/SULF1/COL24A1/LOXL3/TGFB1/GAS2/B4GALT1/ADAMTS18/SERPINH1/SLC39A8/COL11A1/SPOCK2/ADAMTS17	19
