ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0050804	modulation of chemical synaptic transmission	53/545	489/18870	9.41401243214098e-17	2.12436266135105e-13	1.85743426246213e-13	KCNQ3/PLCL2/CAMK2A/GPR158/PRKAR1B/EDN1/CAMK2B/CPLX2/GRIN1/DCC/HTR2A/SYT7/CELF4/DLGAP2/LRP8/CNTN4/SLC4A10/RGS4/CNR1/UNC13A/LRRK2/CACNG8/KCNB1/EPHB2/NETO1/PLCL1/SHISA9/MCTP1/LRFN2/JPH4/GRID2/CACNA1B/TMEM108/ARRB2/CBLN2/DLGAP1/SORCS3/SLC1A1/GRIN2B/PLCB1/KIT/SLC38A1/NRG3/MME/CHRM2/CNTNAP4/GRM3/GRIA1/MAP1A/PTPRD/SLC8A3/SLC24A2/PRKAR2B	53
GO:0099177	regulation of trans-synaptic signaling	53/545	490/18870	1.02800032003438e-16	2.12436266135105e-13	1.85743426246213e-13	KCNQ3/PLCL2/CAMK2A/GPR158/PRKAR1B/EDN1/CAMK2B/CPLX2/GRIN1/DCC/HTR2A/SYT7/CELF4/DLGAP2/LRP8/CNTN4/SLC4A10/RGS4/CNR1/UNC13A/LRRK2/CACNG8/KCNB1/EPHB2/NETO1/PLCL1/SHISA9/MCTP1/LRFN2/JPH4/GRID2/CACNA1B/TMEM108/ARRB2/CBLN2/DLGAP1/SORCS3/SLC1A1/GRIN2B/PLCB1/KIT/SLC38A1/NRG3/MME/CHRM2/CNTNAP4/GRM3/GRIA1/MAP1A/PTPRD/SLC8A3/SLC24A2/PRKAR2B	53
GO:0050808	synapse organization	47/545	483/18870	3.18529910745241e-13	4.38828040370028e-10	3.83688836346812e-10	PLXNC1/GAP43/SDK2/GPR158/LINGO2/IL1RAPL2/ACTN1/SDCBP/CAMK2B/ADD2/GABRB2/FGF13/NPTX1/PAK3/LRP8/CNKSR2/UNC13A/LRRK2/COL4A5/EPHB2/FARP1/SEZ6L/LRFN2/GRID2/TMEM108/DSCAM/C5AR1/CBLN2/SLC1A1/LRFN5/ASIC2/GPM6A/GABRA2/GRIN2B/CDH10/CACNB2/CNTN5/GABRB3/NRG3/PTPRO/SDK1/CDH6/GRIA1/NRP2/PTPRD/SLC8A3/PLXNA4	47
GO:0042391	regulation of membrane potential	43/545	440/18870	2.94866840247432e-12	3.04671162685659e-09	2.66388911202483e-09	SCN11A/KCNQ3/KCNAB2/ATP1A3/KCNK6/PRKAR1B/EDN1/GRIN1/GABRB2/FGF13/CELF4/PKP2/GABRG3/SCN1B/RGS4/CNR1/LRRK2/SCN8A/KCNB1/NETO1/KCNMA1/GRID2/TMEM108/ARRB2/GABRB1/ASIC2/RGS7BP/GABRA2/GRIN2B/KCNC2/CACNB2/GABRB3/KCND2/HCN1/KCND3/CTNNA3/GABRA4/TRPC5/KCNH8/KCNH7/GRIA1/SLC8A3/GLRA3	43
GO:0034765	regulation of monoatomic ion transmembrane transport	40/545	454/18870	4.05781378662167e-10	3.35418887602147e-07	2.93273152199415e-07	SCN11A/KCNQ3/JPH1/CLIC2/KCNAB2/NOS1/KCNK6/EDN1/KCNB2/CABP1/GRIN1/FGF13/WNK2/SCN1B/RGS7/RGS4/SCN8A/CACNG8/PRKD1/KCNB1/EPHB2/HECW1/NETO1/KCNMA1/KCNS3/JPH4/CACNA1B/KCNJ6/ASIC2/GRIN2B/CACNA2D3/KCNC2/CACNB2/KCND2/PLP1/HCN1/KCND3/KCNH8/DIAPH1/KCNH7	40
GO:0048167	regulation of synaptic plasticity	26/545	214/18870	6.63551301504212e-10	4.57076254852818e-07	3.99644143519993e-07	KCNQ3/CAMK2A/PRKAR1B/CAMK2B/CPLX2/GRIN1/SYT7/CNTN4/SLC4A10/KCNB1/EPHB2/NETO1/SHISA9/MCTP1/JPH4/GRID2/SORCS3/SLC1A1/GRIN2B/KIT/SLC38A1/MME/GRIA1/MAP1A/SLC8A3/SLC24A2	26
GO:0010975	regulation of neuron projection development	39/545	453/18870	1.31487355827478e-09	7.76338916621382e-07	6.78791116625162e-07	PLXNC1/EPHA3/STMN2/CSMD3/CAMK2B/MARK1/FSTL4/DCC/FGF13/SKIL/PTPN9/PAK3/PRAG1/LRP8/SCN1B/CNR1/LRRK2/PLPPR5/NTRK3/KNDC1/PRKD1/PLXNA2/MAP2/EPHB2/HECW1/CNTN1/RTN4RL1/GRID2/DSCAM/KIAA0319/PTPRG/SPOCK1/SEMA6A/TRPC5/LPAR1/PTPRO/PTPRD/PLXNA4/PAQR3	39
GO:0060078	regulation of postsynaptic membrane potential	21/545	148/18870	1.76414667844162e-09	9.11402277749904e-07	7.96883624617118e-07	PRKAR1B/GRIN1/GABRB2/CELF4/GABRG3/RGS4/LRRK2/NETO1/GRID2/TMEM108/ARRB2/GABRB1/RGS7BP/GABRA2/GRIN2B/KCND2/HCN1/GABRA4/GRIA1/SLC8A3/GLRA3	21
GO:0007416	synapse assembly	24/545	200/18870	3.88814879409446e-09	1.78552432955471e-06	1.56117132282179e-06	GAP43/SDK2/LINGO2/IL1RAPL2/SDCBP/ADD2/GABRB2/FGF13/NPTX1/EPHB2/FARP1/GRID2/DSCAM/CBLN2/LRFN5/ASIC2/GPM6A/GABRA2/CNTN5/GABRB3/NRG3/SDK1/GRIA1/PTPRD	24
GO:0007214	gamma-aminobutyric acid signaling pathway	9/545	29/18870	7.82893071177668e-08	3.2356970631773e-05	2.82912832984519e-05	PLCL2/GABRB2/GABRG3/GPR156/PLCL1/GABRB1/GABRA2/GABRB3/GABRA4	9
GO:0006816	calcium ion transport	35/545	445/18870	9.07661139969311e-08	3.41033044681196e-05	2.98181884546856e-05	TRPM1/CDH23/SCN11A/JPH1/CLIC2/OPRM1/NOS1/CAMK2A/ATP2C2/EDN1/CAMK2B/MCUB/CABP1/GRIN1/HTR2A/PLCB4/HTR2C/RGS4/SCN8A/CACNG8/PRKD1/EPB41/NALF1/JPH4/CACNA1B/GPM6A/GRIN2B/PLCB1/CACNA2D3/CACNB2/PLP1/TRPC5/DIAPH1/SLC8A3/SLC24A2	35
GO:0070588	calcium ion transmembrane transport	30/545	352/18870	1.36988334925001e-07	4.64613794399491e-05	4.06234583308532e-05	TRPM1/SCN11A/JPH1/CLIC2/OPRM1/NOS1/ATP2C2/EDN1/MCUB/CABP1/GRIN1/HTR2A/PLCB4/HTR2C/SCN8A/CACNG8/PRKD1/NALF1/JPH4/CACNA1B/GPM6A/GRIN2B/PLCB1/CACNA2D3/CACNB2/PLP1/TRPC5/DIAPH1/SLC8A3/SLC24A2	30
GO:0006813	potassium ion transport	24/545	241/18870	1.46140317619003e-07	4.64613794399491e-05	4.06234583308532e-05	KCNQ3/KCNAB2/NOS1/ATP1A3/KCNK6/KCNB2/HTR2A/RGS7/KCNT1/RGS4/KCNB1/NETO1/KCNMA1/SLC17A7/KCNS3/KCNJ6/KCNC2/KCND2/HCN1/KCNT2/KCND3/KCNH8/KCNH7/SLC24A2	24
GO:0031345	negative regulation of cell projection organization	21/545	192/18870	1.82700810151431e-07	5.39358891682761e-05	4.71587880638995e-05	STMN2/LIMK2/FSTL4/DCC/FGF13/PTPN9/PRAG1/PRKCD/LRRK2/MAP2/EPHB2/RTN4RL1/KIAA0319/PTPRG/GRIN2B/SPOCK1/SEMA6A/TRPC5/LPAR1/PTPRO/PAQR3	21
GO:0034329	cell junction assembly	34/545	446/18870	2.89932241603043e-07	7.8227858137067e-05	6.83984456262307e-05	GAP43/SDK2/EPHA3/LINGO2/IL1RAPL2/ACTN1/SDCBP/ADD2/GABRB2/FGF13/PKP2/NPTX1/CDH18/EPHB2/FARP1/GRID2/DSCAM/CBLN2/LRFN5/ASIC2/GPM6A/GABRA2/CDH10/CNTN5/GABRB3/NRG3/CLDN11/CDH12/PTPRO/SDK1/CDH6/GRIA1/PTPRK/PTPRD	34
GO:0016358	dendrite development	23/545	233/18870	3.1101794622927e-07	7.8227858137067e-05	6.83984456262307e-05	CAMK2A/CSMD3/CAMK2B/MARK1/FSTL4/DCC/PAK3/LRP8/DCLK1/LRRK2/KNDC1/MAP2/EPHB2/HECW1/PRICKLE1/FARP1/DSCAM/KIAA0319/TRPC5/LPAR1/SDK1/MAP1A/PTPRD	23
GO:0007409	axonogenesis	34/545	448/18870	3.21769559237875e-07	7.8227858137067e-05	6.83984456262307e-05	PLXNC1/SCN11A/GAP43/SLIT3/EPHA3/EDN1/CCK/FSTL4/DCC/FGF13/SKIL/NPTX1/PAK3/UCHL1/CNTN4/SCN1B/DCLK1/PLXNA2/MAP2/EPHB2/PRICKLE1/UNC5D/CNTN1/DSCAM/KIAA0319/EPHA5/CNTN5/SEMA6A/TRPC5/PTPRO/NRP2/CNP/MAP1A/PLXNA4	34
GO:0071805	potassium ion transmembrane transport	22/545	217/18870	3.54427472655016e-07	8.13804858046212e-05	7.11549423172322e-05	KCNQ3/KCNAB2/ATP1A3/KCNK6/KCNB2/RGS7/KCNT1/RGS4/KCNB1/NETO1/KCNMA1/SLC17A7/KCNS3/KCNJ6/KCNC2/KCND2/HCN1/KCNT2/KCND3/KCNH8/KCNH7/SLC24A2	22
GO:1903522	regulation of blood circulation	24/545	258/18870	5.15115724300049e-07	0.000112051225712216	9.79718715524692e-05	BDKRB2/TMIGD3/CLIC2/NOS1/ATP1A3/TACR3/EDN1/HTR2A/FGF13/ADRA1B/PKP2/SCN1B/RGS4/CELF2/THRB/HEY2/SLC1A1/ASIC2/CACNB2/KCND2/CHRM2/KCND3/CTNNA3/SLC8A3	24
