ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0006935	chemotaxis	21/212	468/18870	7.80565837038618e-08	0.000134068960755133	0.000107311671664465	DUSP1/EDN1/SLIT3/NR4A1/NEDD9/IL6R/CXCR4/CMTM7/SEMA3D/FLT1/PLA2G7/PIK3CG/PIK3CD/ST6GAL1/SLIT1/HGF/ANOS1/PARVA/WNT5A/TRPM2/TGFB2	21
GO:0042330	taxis	21/212	470/18870	8.38717302190386e-08	0.000134068960755133	0.000107311671664465	DUSP1/EDN1/SLIT3/NR4A1/NEDD9/IL6R/CXCR4/CMTM7/SEMA3D/FLT1/PLA2G7/PIK3CG/PIK3CD/ST6GAL1/SLIT1/HGF/ANOS1/PARVA/WNT5A/TRPM2/TGFB2	21
GO:0032102	negative regulation of response to external stimulus	19/212	481/18870	2.24927758204675e-06	0.00239698014326782	0.00191859431647567	TFPI/SERPINB9/DUSP1/EDN1/SAMHD1/PHLDB2/RTN4RL1/ADAMTS18/SEMA3D/ST6GAL1/CD96/SLIT1/HGF/EPHA4/GPX1/WNT5A/PSMA1/IRAK3/PPARG	19
GO:0060326	cell chemotaxis	15/212	325/18870	4.30125560817319e-06	0.00310681174984085	0.00248675875865963	DUSP1/EDN1/NR4A1/NEDD9/IL6R/CXCR4/FLT1/PLA2G7/PIK3CG/PIK3CD/HGF/PARVA/WNT5A/TRPM2/TGFB2	15
GO:0045444	fat cell differentiation	13/212	248/18870	4.85894862346082e-06	0.00310681174984085	0.00248675875865963	ADGRF5/FOSL2/JAG1/NR4A3/NR4A1/JDP2/PLAC8/MAFB/RGS2/GRK5/GPX1/WNT5A/PPARG	13
GO:0031589	cell-substrate adhesion	15/212	356/18870	1.27955005426514e-05	0.00478564057766132	0.00383052935952938	JAG1/NID1/PHLDB2/NEDD9/ITGA11/COL26A1/PARVB/NPNT/PRKX/LAMC1/ST6GAL1/CD96/UTRN/PARVA/ITGB5	15
GO:0001822	kidney development	14/212	314/18870	1.33453815981285e-05	0.00478564057766132	0.00383052935952938	EGR1/JAG1/ALDH1A2/NID1/SOX4/IL6R/AQP1/BMP6/NPNT/PRKX/WNT2B/EPHA4/WNT5A/TGFB2	14
GO:0030198	extracellular matrix organization	14/212	321/18870	1.70730462029293e-05	0.00478564057766132	0.00383052935952938	B4GALT1/THSD4/NID1/PHLDB2/CTSV/PXDN/ADAMTS18/COL28A1/NPNT/COL23A1/LAMC1/CTSS/COL24A1/TGFB2	14
GO:0043062	extracellular structure organization	14/212	322/18870	1.76744118026823e-05	0.00478564057766132	0.00383052935952938	B4GALT1/THSD4/NID1/PHLDB2/CTSV/PXDN/ADAMTS18/COL28A1/NPNT/COL23A1/LAMC1/CTSS/COL24A1/TGFB2	14
GO:0030595	leukocyte chemotaxis	12/212	240/18870	1.81580499223176e-05	0.00478564057766132	0.00383052935952938	DUSP1/EDN1/NEDD9/IL6R/CXCR4/FLT1/PLA2G7/PIK3CG/PIK3CD/WNT5A/TRPM2/TGFB2	12
