ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0045602	negative regulation of endothelial cell differentiation	4/295	12/18870	2.62427470830564e-05	0.0479464089547351	0.0414789650604425	JAG1/NOTCH4/ZEB1/VEGFA	4
GO:0150063	visual system development	18/295	395/18870	5.39511738818717e-05	0.0479464089547351	0.0414789650604425	SLC17A7/JAG1/CDKN1C/CDON/NHS/ADAMTS18/PTPRM/FBN2/SMAD3/NKD1/MFSD2A/ZEB1/HCN1/FGF2/TMOD1/C1QA/VEGFA/FLT1	18
GO:0048880	sensory system development	18/295	401/18870	6.54572970786025e-05	0.0479464089547351	0.0414789650604425	SLC17A7/JAG1/CDKN1C/CDON/NHS/ADAMTS18/PTPRM/FBN2/SMAD3/NKD1/MFSD2A/ZEB1/HCN1/FGF2/TMOD1/C1QA/VEGFA/FLT1	18
GO:0030856	regulation of epithelial cell differentiation	11/295	171/18870	8.16257001235675e-05	0.0479464089547351	0.0414789650604425	JAG1/SERPINE1/CDKN1C/VCL/PRKX/NOTCH4/STAT1/PRLR/ZEB1/FGF2/VEGFA	11
GO:0002486	antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent	4/295	16/18870	9.18344316733084e-05	0.0479464089547351	0.0414789650604425	HLA-C/HLA-A/HLA-B/HLA-E	4
GO:0045185	maintenance of protein location	8/295	93/18870	0.000104615063277391	0.0479464089547351	0.0414789650604425	YWHAB/VPS13A/PTPRM/TMSB10/HK2/FBN2/HSPA5/TAF3	8
GO:0002476	antigen processing and presentation of endogenous peptide antigen via MHC class Ib	4/295	17/18870	0.000118617917663116	0.0479464089547351	0.0414789650604425	HLA-C/HLA-A/HLA-B/HLA-E	4
GO:0002484	antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway	4/295	17/18870	0.000118617917663116	0.0479464089547351	0.0414789650604425	HLA-C/HLA-A/HLA-B/HLA-E	4
GO:0002428	antigen processing and presentation of peptide antigen via MHC class Ib	4/295	18/18870	0.000150638725787733	0.0479464089547351	0.0414789650604425	HLA-C/HLA-A/HLA-B/HLA-E	4
GO:0045444	fat cell differentiation	13/295	248/18870	0.000151793388677818	0.0479464089547351	0.0414789650604425	ENPP1/JAG1/RGS2/PLAC8/FOSL2/DUSP10/ZNF516/CEBPD/SMAD3/ID2/GRK5/LPL/DHRS7B	13
GO:0001654	eye development	17/295	391/18870	0.000152836088974325	0.0479464089547351	0.0414789650604425	SLC17A7/JAG1/CDKN1C/CDON/NHS/ADAMTS18/PTPRM/FBN2/SMAD3/NKD1/MFSD2A/ZEB1/HCN1/FGF2/TMOD1/VEGFA/FLT1	17
GO:0031589	cell-substrate adhesion	16/295	356/18870	0.000163732756817536	0.0479464089547351	0.0414789650604425	JAG1/CD96/SERPINE1/VWF/SIGLEC1/ABI3BP/CASS4/VCL/COL26A1/PRKX/ITGA6/LAMC1/FAM107A/SMAD3/VEGFA/FGL1	16
GO:0050673	epithelial cell proliferation	19/295	480/18870	0.000212560641151133	0.0521590661298508	0.0451233810571276	DACH1/JAG1/EGFL7/CDKN1C/RUNX3/DUSP10/PRKX/LAMC1/PTPRM/STAT1/IGF1/SMAD3/ZEB1/NRP2/FGF2/ID2/VEGFA/FGL1/FLT1	19
GO:0048638	regulation of developmental growth	15/295	328/18870	0.000216651150796928	0.0521590661298508	0.0451233810571276	SLIT1/RGS2/NPY1R/PLAC8/FOSL2/PLXNA4/DUSP10/PLS1/BASP1/IGF1/NKD1/MFSD2A/FGF13/FGF2/VEGFA	15
GO:0006816	calcium ion transport	18/295	445/18870	0.000239483326183255	0.0521590661298508	0.0451233810571276	LHCGR/HOMER1/NOS1AP/SLC24A4/CDH23/CALM3/DIAPH1/CYSLTR1/MCUB/ANO6/CAMK2B/JPH1/CACNG8/ANXA2/FGF2/STIM1/AHNAK/CACNA1D	18
GO:0048592	eye morphogenesis	10/295	162/18870	0.000239545877658047	0.0521590661298508	0.0451233810571276	JAG1/CDON/PTPRM/FBN2/NKD1/MFSD2A/ZEB1/HCN1/FGF2/VEGFA	10
GO:0002716	negative regulation of natural killer cell mediated immunity	4/295	21/18870	0.000283936454852606	0.0521590661298508	0.0451233810571276	CD96/HLA-A/HLA-B/HLA-E	4
GO:0035633	maintenance of blood-brain barrier	5/295	38/18870	0.00029686434906005	0.0521590661298508	0.0451233810571276	VCL/LAMC1/SH3GL2/MFSD2A/VEGFA	5
GO:0048846	axon extension involved in axon guidance	5/295	38/18870	0.00029686434906005	0.0521590661298508	0.0451233810571276	SLIT1/SLIT3/PLXNA4/NRP2/VEGFA	5
GO:1902284	neuron projection extension involved in neuron projection guidance	5/295	38/18870	0.00029686434906005	0.0521590661298508	0.0451233810571276	SLIT1/SLIT3/PLXNA4/NRP2/VEGFA	5
GO:0043010	camera-type eye development	15/295	344/18870	0.000359777531449771	0.0602027735959283	0.0520820807432049	SLC17A7/JAG1/CDKN1C/CDON/NHS/PTPRM/FBN2/SMAD3/MFSD2A/ZEB1/HCN1/FGF2/TMOD1/VEGFA/FLT1	15
GO:0019885	antigen processing and presentation of endogenous peptide antigen via MHC class I	4/295	23/18870	0.000409877114189115	0.062731364109478	0.0542695921721153	HLA-C/HLA-A/HLA-B/HLA-E	4
GO:0051235	maintenance of location	15/295	350/18870	0.000431310748952791	0.062731364109478	0.0542695921721153	LHCGR/ENPP1/YWHAB/CALM3/VPS13A/DIAPH1/JPH1/PTPRM/TMSB10/HK2/FBN2/HSPA5/TAF3/FGF2/LPL	15
GO:0090596	sensory organ morphogenesis	13/295	277/18870	0.000442758475971836	0.062731364109478	0.0542695921721153	JAG1/CDON/CDH23/TTC39C/PLS1/PTPRM/FBN2/NKD1/MFSD2A/ZEB1/HCN1/FGF2/VEGFA	13
GO:0032757	positive regulation of interleukin-8 production	6/295	63/18870	0.000446295988257527	0.062731364109478	0.0542695921721153	SERPINE1/TLR7/NOD1/CD14/CD58/TLR5	6
GO:0030888	regulation of B cell proliferation	6/295	65/18870	0.000528594872725183	0.0714416301060113	0.0618049389647907	TNFRSF21/GPR183/IKZF3/TNFSF13B/PRLR/AHR	6
GO:0002475	antigen processing and presentation via MHC class Ib	4/295	25/18870	0.000571313742509726	0.0716998746849706	0.0620283491867703	HLA-C/HLA-A/HLA-B/HLA-E	4
GO:0002483	antigen processing and presentation of endogenous peptide antigen	4/295	25/18870	0.000571313742509726	0.0716998746849706	0.0620283491867703	HLA-C/HLA-A/HLA-B/HLA-E	4
GO:1903131	mononuclear cell differentiation	18/295	481/18870	0.000602997477733217	0.072353162004748	0.062593515223231	GPR183/IKZF3/SOX4/RUNX3/FOSL2/TNFSF13B/DUSP10/ZBTB46/NFATC1/HLA-B/LOXL3/ZEB1/GLI2/ID2/KLF6/EGR1/VEGFA/TMEM176B	18
GO:0045785	positive regulation of cell adhesion	18/295	482/18870	0.000617699163387148	0.072353162004748	0.062593515223231	ETS1/ABI3BP/SOX4/RUNX3/CASS4/TNFSF13B/COL26A1/DUSP10/ITGA6/LAMC1/HLA-A/HLA-E/IGF1/SMAD3/PTAFR/CYTH3/GLI2/VEGFA	18
GO:2001257	regulation of cation channel activity	8/295	123/18870	0.00070734587328222	0.0789704172472018	0.0683181754215974	HOMER1/NOS1AP/CALM3/JPH1/KCNE4/FGF13/STIM1/AHNAK	8
GO:0002704	negative regulation of leukocyte mediated immunity	6/295	69/18870	0.000728247355360158	0.0789704172472018	0.0683181754215974	CD96/HLA-A/HLA-B/HLA-E/BST2/AHR	6
GO:0010749	regulation of nitric oxide mediated signal transduction	3/295	12/18870	0.000749401623725469	0.0789704172472018	0.0683181754215974	NOS1AP/GUCY1A1/VEGFA	3
GO:0002698	negative regulation of immune effector process	8/295	125/18870	0.000786498562399781	0.0789704172472018	0.0683181754215974	CD96/DUSP10/HLA-A/HLA-B/HLA-E/LOXL3/BST2/AHR	8
GO:0022407	regulation of cell-cell adhesion	18/295	493/18870	0.000800934287853793	0.0789704172472018	0.0683181754215974	ETS1/JAG1/TNFRSF21/SOX4/RUNX3/ADAMTS18/TNFSF13B/DUSP10/HLA-A/NOTCH4/HLA-E/IGF1/PTAFR/LOXL3/RIPOR2/GLI2/VEGFA/FGL1	18
GO:0045601	regulation of endothelial cell differentiation	5/295	47/18870	0.000809031024729443	0.0789704172472018	0.0683181754215974	JAG1/VCL/NOTCH4/ZEB1/VEGFA	5
GO:0060993	kidney morphogenesis	7/295	98/18870	0.000874120756179982	0.0830178469517961	0.0718196513185715	SOX4/PRKX/BASP1/STAT1/HS3ST3A1/FGF2/VEGFA	7
GO:2001198	regulation of dendritic cell differentiation	3/295	13/18870	0.000962990037720746	0.089051236646071	0.0770392030176597	ZBTB46/HLA-B/TMEM176B	3
