ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0050804	modulation of chemical synaptic transmission	86/983	489/18870	9.20619813484952e-24	2.70942106435801e-20	2.18964589744115e-20	CX3CR1/CYFIP1/ABR/ARRB2/PLCL2/GUCY1A1/PRKAR2B/KCNQ3/GRM3/EPHA4/DISC1/RASGRF1/CHRM2/PXK/CNTN2/GPR158/BCHE/NLGN4Y/PLCL1/DCC/NLGN4X/WNT5A/NLGN1/CASK/DGKI/LRRC4C/SLC6A6/CACNA1A/CNTNAP4/DNM1/JAK2/SLC38A1/SLC12A2/STXBP1/GRM8/ERC2/OPHN1/DLGAP4/RIMS1/LARGE1/DTNBP1/RIMS2/SNAP25/RGS4/SLC4A8/GRM7/RASGRF2/EPHA7/FRRS1L/ROR2/NGF/CSPG5/NTNG1/KIT/GRIA2/PLPPR4/GRM5/EIF4A3/SLC1A1/ADCY1/SHISA6/CACNB4/CNTN4/LRP8/GRIK2/GFAP/TMEM108/TSHZ3/PRKCE/TNR/GRIN2B/CPLX2/MCTP1/KCNMB4/NRXN1/PLCB1/DLGAP1/SYN3/SORCS3/SHISA9/MAP1A/CACNG3/GRIK1/NRG3/HIP1/CA2	86
GO:0099177	regulation of trans-synaptic signaling	86/983	490/18870	1.06293490167046e-23	2.70942106435801e-20	2.18964589744115e-20	CX3CR1/CYFIP1/ABR/ARRB2/PLCL2/GUCY1A1/PRKAR2B/KCNQ3/GRM3/EPHA4/DISC1/RASGRF1/CHRM2/PXK/CNTN2/GPR158/BCHE/NLGN4Y/PLCL1/DCC/NLGN4X/WNT5A/NLGN1/CASK/DGKI/LRRC4C/SLC6A6/CACNA1A/CNTNAP4/DNM1/JAK2/SLC38A1/SLC12A2/STXBP1/GRM8/ERC2/OPHN1/DLGAP4/RIMS1/LARGE1/DTNBP1/RIMS2/SNAP25/RGS4/SLC4A8/GRM7/RASGRF2/EPHA7/FRRS1L/ROR2/NGF/CSPG5/NTNG1/KIT/GRIA2/PLPPR4/GRM5/EIF4A3/SLC1A1/ADCY1/SHISA6/CACNB4/CNTN4/LRP8/GRIK2/GFAP/TMEM108/TSHZ3/PRKCE/TNR/GRIN2B/CPLX2/MCTP1/KCNMB4/NRXN1/PLCB1/DLGAP1/SYN3/SORCS3/SHISA9/MAP1A/CACNG3/GRIK1/NRG3/HIP1/CA2	86
GO:0010975	regulation of neuron projection development	74/983	453/18870	1.13849870600616e-18	1.93468880107313e-15	1.56353822291512e-15	ARHGAP4/PLXNC1/CYFIP1/DAB2/LYN/EPHA4/DISC1/EFNA5/RAPGEF1/UST/CNTN2/STMN2/SEMA5A/ATP8A2/ATP1B2/PRAG1/DCC/CTNNA2/WNT5A/NLGN1/CSMD3/RIT2/LRRC4C/SLIT2/B2M/BMPR2/DAB1/SLIT1/PRKD1/EEF2K/MAP2/LPAR1/ROR1/DTNBP1/PTPN9/SNAP25/CDH4/EPHA7/ROR2/NGF/RTN4RL1/CAMK1D/ELAVL4/NTNG1/KIF13B/SEMA3E/LRRC7/NTN1/HECW1/TNIK/LRP8/PLXNA4/SEMA3D/DSCAM/CNTN1/DDR2/NTRK3/ZNF804A/GFAP/PAK3/PRRX1/TNR/DGKG/SKIL/PTPRO/IGF1R/NRCAM/SPP1/PTPRG/MFSD2A/ALK/PLPPR5/TOX/RGS2	74
GO:0050808	synapse organization	76/983	483/18870	3.48496281746634e-18	4.44158511086085e-15	3.58951170199033e-15	CX3CR1/C3/PLXNC1/CYFIP1/C1QB/GABRA2/EPHA4/DISC1/NEDD9/SRGAP2/EFNA5/COL4A5/C1QA/SDCBP/CNTN2/GPR158/LHFPL4/NOS1AP/IL10RA/CDH6/ADD2/NLGN4Y/NLGN4X/CTNNA2/WNT5A/NLGN1/LRRC4C/SLIT1/EEF2K/ARHGAP22/ZC4H2/ERC2/OPHN1/ADGRL3/KIRREL3/LARGE1/SDK2/DTNBP1/ANK3/SNAP25/CNKSR2/EPHA7/GDNF/FRRS1L/ROR2/CNTN5/NTNG1/SEMA3E/GRM5/SLC1A1/PTPRT/IL1RAP/NTN1/SHISA6/CACNB4/LRP8/PLXNA4/DSCAM/ZNF804A/PAK3/SEPTIN11/TMEM108/TNR/CDH8/GRIN2B/NRXN1/CTNND2/IL1RAPL2/PTPRO/IGF1R/NRCAM/SEZ6L/PCLO/NRG3/SPTBN4/FILIP1	76
GO:0007409	axonogenesis	64/983	448/18870	1.77941844441703e-13	1.8142950459276e-10	1.46624079819963e-10	ARHGAP4/PLXNC1/CYFIP1/EPHA4/DISC1/EFNA5/UST/CNTN2/SEMA5A/ATP8A2/FOXG1/DCC/CTNNA2/WNT5A/HSP90AA1/S100A6/LRRC4C/SLIT2/BMPR2/DAB1/SLIT1/CNP/UNC5C/MAP2/STXBP1/OPHN1/ANK3/PTPRM/SNAP25/OLFM1/CDH4/EPHA7/GDNF/NGF/CNTN5/NTNG1/KIF13B/PLPPR4/PRICKLE1/ANOS1/SEMA3E/ADCY1/NTN1/CNTN4/PLXNA4/NFIB/SEMA3D/DSCAM/CNTN1/EDNRA/PAK3/TNR/CCK/CHL1/NRXN1/SKIL/PTPRO/IGF1R/NRCAM/SPP1/MAP1A/SPTBN4/VCL/PALLD	64
GO:0006935	chemotaxis	62/983	468/18870	1.19319710540596e-11	9.13137358164981e-09	7.37961144691982e-09	ALOX5/RIN3/CX3CR1/P2RY12/ST6GAL1/NCKAP1L/SYK/PIK3CD/ARRB2/DOCK2/CMTM7/LYN/MET/NEDD9/IL17RA/ENPP2/EFNA5/IL6R/HSPB1/CXCR4/TGFB1/PDGFRB/SERPINE1/PDGFD/ITGA2/SEMA5A/WNT5A/PLA2G7/MCU/SLIT2/BMPR2/SLIT1/PRKD1/ITGA9/UNC5C/C3AR1/SLC12A2/LPAR1/FGFR1/VAV3/FGF1/EPHA7/SMOC2/GDNF/CAMK1D/PARVA/CYRIB/ANO6/KIT/ANOS1/SEMA3E/NTN1/CMTM8/PLXNA4/SEMA3D/DSCAM/NTRK3/PADI2/PTPRO/PTPRJ/NRG3/DAPK2	62
GO:0031346	positive regulation of cell projection organization	52/983	355/18870	1.34127561502608e-11	9.13137358164981e-09	7.37961144691982e-09	P2RY12/PLXNC1/CYFIP1/LYN/EPHA4/DISC1/NEDD9/ENPP2/EFNA5/TGFBR1/CEP135/RAPGEF1/ITGA2/ANLN/STMN2/SEMA5A/ATP8A2/ATP1B2/CCP110/WNT5A/NLGN1/HSP90AA1/RIT2/SLIT2/BMPR2/PRKD1/EEF2K/ROR1/CDH4/ROR2/NGF/CAMK1D/EPS8/ELAVL4/KIT/LRRC7/NTN1/LRP8/PLXNA4/DSCAM/CNTN1/DDR2/NTRK3/DOCK11/ZNF804A/SKIL/IGF1R/ALK/TENM1/PLPPR5/TOX/RGS2	52
GO:0042330	taxis	62/983	470/18870	1.43293426153783e-11	9.13137358164981e-09	7.37961144691982e-09	ALOX5/RIN3/CX3CR1/P2RY12/ST6GAL1/NCKAP1L/SYK/PIK3CD/ARRB2/DOCK2/CMTM7/LYN/MET/NEDD9/IL17RA/ENPP2/EFNA5/IL6R/HSPB1/CXCR4/TGFB1/PDGFRB/SERPINE1/PDGFD/ITGA2/SEMA5A/WNT5A/PLA2G7/MCU/SLIT2/BMPR2/SLIT1/PRKD1/ITGA9/UNC5C/C3AR1/SLC12A2/LPAR1/FGFR1/VAV3/FGF1/EPHA7/SMOC2/GDNF/CAMK1D/PARVA/CYRIB/ANO6/KIT/ANOS1/SEMA3E/NTN1/CMTM8/PLXNA4/SEMA3D/DSCAM/NTRK3/PADI2/PTPRO/PTPRJ/NRG3/DAPK2	62
GO:0050920	regulation of chemotaxis	40/983	232/18870	2.05923951203076e-11	1.16644478137031e-08	9.42674087729636e-09	RIN3/CX3CR1/P2RY12/ST6GAL1/NCKAP1L/LYN/MET/NEDD9/IL6R/HSPB1/CXCR4/TGFB1/PDGFRB/SERPINE1/PDGFD/ITGA2/SEMA5A/WNT5A/PLA2G7/MCU/SLIT2/BMPR2/SLIT1/PRKD1/C3AR1/LPAR1/FGFR1/FGF1/SMOC2/CAMK1D/CYRIB/ANO6/SEMA3E/PLXNA4/SEMA3D/DSCAM/NTRK3/PADI2/PTPRO/DAPK2	40
GO:0007626	locomotory behavior	36/983	201/18870	6.84751017465888e-11	3.4908606870411e-08	2.82117419195946e-08	ARRB2/ZFHX3/EPHA4/OPRD1/CDH23/CNTN2/OXR1/GPR37/NAV2/DAB1/CNP/LARGE1/HPGDS/PAK5/SNAP25/GDNF/EPS8/FGF12/KLHL1/ELAVL4/ASTN1/GRM5/SLC1A1/SCN1A/CACNB4/DSCAM/CNTN1/VPS13A/PRKCE/TNR/CHL1/KCND2/ALK/MEIS1/SPTBN4/PREX2	36
