"motif_id","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","motif_name","ic_score"
"MA0161.3",4.16062862323888e-37,9.02487917765837,0.974,0.614,2.86667312141159e-34,"NFIC",10.4960837516708
"MA0670.2",3.31855532273204e-36,7.95782902482053,0.974,0.693,2.28648461736237e-33,"NFIA",11.9971740074589
"MA0510.3",1.05798893585981e-34,6.52499916909593,0.979,0.574,7.28954376807406e-32,"RFX5",20.0938139356332
"MA0600.3",9.78140327681814e-33,6.62113999876994,0.979,0.624,6.7393868577277e-30,"RFX2",19.8974428872707
"MA0509.3",4.27805559013404e-31,5.604261414361,0.969,0.634,2.94758030160235e-28,"RFX1",23.0829503576261
"MA0798.3",1.12490043313081e-30,5.39986735972269,0.969,0.634,7.75056398427129e-28,"RFX3",23.0650314778116
"MA1151.2",2.02980257677653e-30,4.02723847133098,0.958,0.574,1.39853397539903e-27,"RORC",9.68774554894153
"MA1150.2",7.4428006429024e-29,4.08580545910228,0.963,0.535,5.12808964295975e-26,"RORB",9.24838735164769
"MA0502.3",9.35789556023916e-29,8.52368038246992,0.874,0.287,6.44759004100478e-26,"NFYB",11.913947478345
"MA0642.3",2.96981611644275e-28,4.03993164403043,0.979,0.594,2.04620330422905e-25,"EN2",8.94449959601543
"MA1643.2",4.90083924409917e-28,6.27107995268181,0.916,0.545,3.37667823918433e-25,"NFIB",18.713070779743
"MA0072.2",3.02139979717532e-26,3.83082354947629,0.958,0.564,2.08174446025379e-23,"RORA",13.3277480112458
"MA1528.2",5.62466935514213e-26,5.71542697526992,0.921,0.495,3.87539718569293e-23,"NFIX",15.6339547236602
"MA0799.3",6.47867459218285e-24,4.42405831041639,0.906,0.545,4.46380679401398e-21,"RFX4",19.7814434222408
"MA1527.2",2.05498413270503e-22,5.25807196499005,0.901,0.584,1.41588406743376e-19,"NFIC",18.1313327409363
"MA0793.2",6.61168543731226e-22,3.1669991286458,0.958,0.733,4.55545126630815e-19,"POU6F2",11.3980408932753
"MA0156.4",7.94705988765416e-22,4.24798114658562,0.89,0.455,5.47552426259372e-19,"FEV",14.3980730958755
"MA1549.2",1.14691807845788e-21,2.9786335422239,0.953,0.683,7.90226556057482e-19,"POU6F1",10.4362204804577
"MA1116.2",1.23055568987499e-21,3.39170147317156,0.921,0.535,8.47852870323866e-19,"RBPJ",10.9587211780118
"MA0625.3",1.74824965219304e-21,3.02183126654833,0.921,0.663,1.204544010361e-18,"NFATC3",8.1135616638204
"MA1979.2",7.32652282519646e-21,4.6901362640315,0.848,0.406,5.04797422656036e-18,"ZNF416",12.5107809195263
"MA0658.2",1.47720908387008e-20,2.65694432541487,0.948,0.782,1.01779705878648e-17,"LHX6",10.5323192813071
"MA0068.2",2.38270440505981e-20,2.6197822317081,0.942,0.802,1.64168333508621e-17,"PAX4",9.22181960132683
"MA0759.3",7.94341590357757e-20,4.25770623860302,0.869,0.446,5.47301355756494e-17,"ELK3",13.9828090379325
"MA0028.3",8.4951594224188e-20,3.75506687207128,0.89,0.465,5.85316484204655e-17,"ELK1",14.2190690852248
"MA0765.4",8.84421175898536e-20,3.83370621849482,0.885,0.465,6.09366190194091e-17,"ETV5",14.1392543325267
"MA1721.2",1.03878933644256e-19,-3.07839426200763,0.482,0.911,7.15725852808925e-17,"ZNF93",15.4652515602927
"MA0119.1",1.2097739827936e-18,3.75000142030098,0.885,0.515,8.33534274144787e-16,"NFIC::TLX1",12.5082117681093
"MA0666.3",1.56844715306547e-18,2.35795225118834,0.963,0.624,1.08066008846211e-15,"MSX1",9.99817607912978
"MA0700.3",1.56844715306547e-18,2.35795225118834,0.963,0.624,1.08066008846211e-15,"LHX2",10.0484003644397
"MA0708.3",1.56844715306547e-18,2.35795225118834,0.963,0.624,1.08066008846211e-15,"MSX2",9.70419290504437
"MA0718.2",1.56844715306547e-18,2.35795225118834,0.963,0.624,1.08066008846211e-15,"RAX",9.02559840086168
"MA0875.2",1.56844715306547e-18,2.35795225118834,0.963,0.624,1.08066008846211e-15,"BARX1",8.73670989920316
"MA0876.2",1.56844715306547e-18,2.35795225118834,0.963,0.624,1.08066008846211e-15,"BSX",8.28580322293493
"MA0879.3",1.56844715306547e-18,2.35795225118834,0.963,0.624,1.08066008846211e-15,"DLX1",8.1059122708504
