"motif_id","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","motif_name","ic_score"
"MA1463.2",2.63723627633255e-21,-5.20772017537342,0.5,0.963,1.81705579439312e-18,"ARGFX",11.7883575472015
"MA0670.2",2.0376919847058e-20,-5.85259863692821,0.404,0.974,1.4039697774623e-17,"NFIA",11.9971740074589
"MA0658.2",6.10763618097461e-20,-4.55874199271644,0.481,0.948,4.20816132869151e-17,"LHX6",10.5323192813071
"MA0113.4",1.3858543442501e-19,-5.57135852204972,0.365,0.953,9.5485364318832e-17,"NR3C1",18.9274296574016
"MA0161.3",1.53447193794793e-19,-5.42185025880794,0.385,0.974,1.05725116524612e-16,"NFIC",10.4960837516708
"MA1643.2",3.05767122456253e-19,-6.15001471359165,0.327,0.916,2.10673547372358e-16,"NFIB",18.713070779743
"MA0674.2",5.16071777806308e-19,-4.50882152450298,0.442,0.953,3.55573454908546e-16,"NKX6-1",9.0729287051786
"MA0702.3",5.16071777806308e-19,-4.50882152450298,0.442,0.953,3.55573454908546e-16,"LMX1A",12.2333612382993
"MA0727.2",6.05850501900319e-19,-4.80179975196135,0.385,0.932,4.1743099580932e-16,"NR3C2",18.7648721119741
"MA1528.2",7.40019920824406e-19,-6.14770406000269,0.308,0.921,5.09873725448016e-16,"NFIX",15.6339547236602
"MA0068.2",1.67194256091297e-18,-4.35816247512226,0.481,0.942,1.15196842446904e-15,"PAX4",9.22181960132683
"MA0075.4",1.99731137443008e-18,-4.23463935037611,0.462,0.963,1.37614753698233e-15,"PRRX2",10.956430321608
"MA0618.2",1.99731137443008e-18,-4.23463935037611,0.462,0.963,1.37614753698233e-15,"LBX1",9.82867646137221
"MA0644.3",1.99731137443008e-18,-4.23463935037611,0.462,0.963,1.37614753698233e-15,"ESX1",9.96807764722104
"MA0661.2",1.99731137443008e-18,-4.23463935037611,0.462,0.963,1.37614753698233e-15,"MEOX1",9.3444348988704
"MA0701.3",1.99731137443008e-18,-4.23463935037611,0.462,0.963,1.37614753698233e-15,"LHX9",10.8381566870076
"MA0710.2",1.99731137443008e-18,-4.23463935037611,0.462,0.963,1.37614753698233e-15,"NOTO",9.38291224693657
"MA0725.2",1.99731137443008e-18,-4.23463935037611,0.462,0.963,1.37614753698233e-15,"VSX1",8.06102162725241
"MA0726.2",1.99731137443008e-18,-4.23463935037611,0.462,0.963,1.37614753698233e-15,"VSX2",9.15835253481659
"MA0889.2",1.99731137443008e-18,-4.23463935037611,0.462,0.963,1.37614753698233e-15,"GBX1",10.4176480985704
