"motif_id","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","motif_name","ic_score"
"MA1513.2",1.18784207774605e-05,-2.67695579806916,0.5,0.844,0.00818423191567029,"KLF15",13.621901522179
"MA0655.1",1.52849245123279e-05,-3.8549084217433,0.596,0.812,0.010531312988994,"JDP2",15.0056446982471
"MA0490.3",3.4681753149073e-05,-4.06175409145773,0.538,0.781,0.0238957279197113,"JUNB",12.5542430617509
"MA0516.3",6.27672365157785e-05,-2.37852113130448,0.538,0.875,0.0432466259593714,"SP2",13.5320578677407
"MA1101.3",6.27672365157785e-05,-3.05624747561475,0.519,0.844,0.0432466259593714,"BACH2",16.3526041491268
"MA1128.2",6.27672365157785e-05,-3.33202190837837,0.538,0.938,0.0432466259593714,"FOSL1::JUN",11.9749141367931
"MA0607.2",0.000111547877154018,-2.75321845789998,0.423,0.812,0.0768564873591182,"BHLHA15",13.7181894570574
"MA0818.2",0.000144978060060319,-2.81217682090844,0.481,0.844,0.09988988338156,"BHLHE22",13.3804921499021
"MA1137.2",0.000174408447505724,-2.84566807181359,0.5,0.812,0.120167420331444,"FOSL1::JUNB",8.96341915556972
"MA1583.2",0.000187684708178132,-3.1167391631026,0.481,0.812,0.129314763934733,"ZFP57",11.2683769388972
"MA0491.3",0.00020190659557502,-3.74847459872768,0.5,0.75,0.139113644351189,"JUND",12.7290332825706
"MA1141.2",0.00020190659557502,-3.06358722705269,0.558,0.906,0.139113644351189,"FOS::JUND",12.9558526121084
"MA1633.2",0.00021713629456385,-3.78401293535588,0.519,0.812,0.149606906954493,"BACH1",14.1078254777869
"MA0099.4",0.000225149512290118,-3.06669608792897,0.538,0.844,0.155128013967892,"FOS::JUN",11.5322378306675
"MA0477.3",0.000250886551282599,-3.04890448990307,0.596,0.844,0.172860833833711,"FOSL1",12.4980687346343
"MA2328.1",0.000250886551282599,-1.87588687832363,0.538,0.938,0.172860833833711,"ZBED4",11.6005324514036
"MA0076.3",0.000260061700676746,-1.81339254869551,0.5,0.812,0.179182511766278,"ELK4",12.675392372354
