"motif_id","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","motif_name","ic_score"
"MA1935.2",1.73423113683835e-27,-8.47813746884169,0.346,1,1.19488525328163e-24,"ERF::FOXI1",9.35420611899294
"MA0645.2",3.03135872199609e-27,-9.03459970997495,0.404,1,2.08860615945531e-24,"ETV6",12.1577632482671
"MA1942.2",9.19016695680628e-27,-7.02843960372022,0.385,1,6.33202503323953e-24,"ETV2::FOXI1",12.245140091582
"MA0081.3",1.37203911539132e-26,-7.4068629597594,0.212,0.995,9.45334950504617e-24,"SPIB",14.2784107721116
"MA0687.2",1.47888139630725e-26,-6.51061998758118,0.327,1,1.0189492820557e-23,"SPIC",12.657940501666
"MA0640.3",2.09717889004949e-26,-5.19070976900578,0.308,1,1.4449562552441e-23,"ELF3",11.2970437859535
"MA0598.4",2.25987191710864e-26,-5.82372617075743,0.346,1,1.55705175088785e-23,"EHF",11.3558358512277
"MA0062.4",2.37522327025862e-26,-5.13277211358287,0.462,1,1.63652883320819e-23,"GABPA",11.6638628499349
"MA1952.2",2.37522327025862e-26,-5.41204312154098,0.365,1,1.63652883320819e-23,"FOXJ2::ELF1",11.8691427125191
"MA2332.1",2.43506894007145e-26,-5.21254907003424,0.308,1,1.67776249970923e-23,"ZNF175",10.9939778405997
"MA0761.3",2.49640911380024e-26,-5.00508224760173,0.308,1,1.72002587940837e-23,"ETV1",11.605431147837
"MA1708.2",2.82685412491626e-26,-7.17270676408213,0.442,1,1.94770249206731e-23,"ETV7",10.920188911961
"MA0473.4",8.39247448247992e-26,-4.27260956526392,0.385,1,5.78241491842867e-23,"ELF1",12.3511127544198
"MA1946.2",8.81585364441665e-26,-8.66289314901537,0.346,0.989,6.07412316100307e-23,"ETV5::FOXI1",13.7425547482307
"MA0517.2",1.04713190579181e-25,-5.53780437522446,0.385,1,7.21473883090554e-23,"STAT1::STAT2",15.5108895007969
"MA1955.2",1.33835433088508e-25,-6.09897342633982,0.346,1,9.22126133979823e-23,"FOXO1::ELK3",14.3995561957123
"MA1954.2",2.65295897949521e-25,-5.98261361992248,0.5,1,1.8278887368722e-22,"FOXO1::ELK1",14.9456837396786
"MA0750.3",2.71837702654121e-25,-5.78744578343037,0.462,1,1.87296177128689e-22,"ZBTB7A",11.1338201685803
"MA2326.1",4.31392271345869e-25,-7.76227202542973,0.423,0.984,2.97229274957304e-22,"IKZF2",11.2215930161247
"MA1508.2",4.63941802120539e-25,-5.60772811005094,0.481,0.989,3.19655901661051e-22,"IKZF1",10.9245348478138
"MA0653.1",7.34607510008844e-25,-5.84673230563679,0.365,1,5.06144574396093e-22,"IRF9",24.7480896572174
"MA0641.1",8.90929267752663e-25,-5.06772240956233,0.5,0.995,6.13850265481585e-22,"ELF4",16.089777596487
"MA1484.2",1.18917658653436e-24,-6.32236982890998,0.365,0.995,8.19342668122173e-22,"ETS2",13.2539906227187
"MA1950.2",3.02341112097259e-24,-5.49225560487127,0.442,0.989,2.08313026235011e-21,"FLI1::FOXI1",12.8920599498983
"MA0076.3",3.17091137023587e-24,-5.32362030659021,0.5,1,2.18475793409251e-21,"ELK4",12.675392372354
"MA2329.1",3.92789810874463e-24,-5.55836225927593,0.558,1,2.70632179692505e-21,"ZBTB11",12.4741848636609
"MA0762.2",4.52939097656093e-24,-5.75087440817249,0.423,0.989,3.12075038285048e-21,"ETV2",14.0077319896532
"MA1959.2",5.22198751155671e-24,-4.47332784366107,0.442,0.995,3.59794939546257e-21,"KLF7",12.346188848151
"MA1652.2",2.19458075281366e-23,-6.46517455901141,0.481,0.984,1.51206613868861e-20,"ZKSCAN5",13.0001294029522
"MA1419.2",4.21369820240603e-23,-5.68257204018378,0.385,0.978,2.90323806145775e-20,"IRF4",22.94400312787
"MA0098.4",7.01437857758945e-23,-4.55293913925058,0.481,1,4.83290683995913e-20,"ETS1",11.9659740164377
"MA1956.2",9.25207117509019e-23,-5.56087403714003,0.404,0.978,6.37467703963714e-20,"FOXO1::FLI1",17.4060509860029
"MA1953.2",3.33416307572618e-22,-4.15906944275947,0.481,0.984,2.29723835917534e-19,"FOXO1::ELF1",13.037607963472
"MA1418.2",3.73544782593874e-22,-5.08719982560398,0.5,1,2.57372355207179e-19,"IRF3",23.1758682470605
"MA0652.2",3.90902791312249e-22,-4.87991937065974,0.462,0.984,2.6933202321414e-19,"IRF8",22.3213427919537
"MA1513.2",4.58180962156072e-22,-3.72314018700863,0.5,0.995,3.15686682925534e-19,"KLF15",13.621901522179
"MA0760.2",9.43785186769331e-22,-4.48909998514806,0.519,0.989,6.50267993684069e-19,"ERF",12.1472276124472
"MA1515.2",1.05607681108223e-21,-4.06280219122523,0.442,0.989,7.27636922835656e-19,"KLF2",9.67702060054813
"MA1936.2",1.08007277456202e-21,-5.25406578013288,0.481,0.989,7.44170141673229e-19,"ERF::FOXO1",12.6208450789964
"MA0759.3",2.21039008141822e-21,-4.54966386917055,0.481,0.995,1.52295876609715e-18,"ELK3",13.9828090379325
"MA0742.2",2.31115233401431e-21,-3.54063918200557,0.481,1,1.59238395813586e-18,"KLF12",14.312954472609
"MA0746.3",3.22648976168055e-21,-3.9749210357601,0.519,0.989,2.2230514457979e-18,"SP3",14.6415666885141
"MA0028.3",4.70242159139681e-21,-3.8579002235072,0.442,0.989,3.2399684764724e-18,"ELK1",14.2190690852248
"MA1483.3",6.12906653123984e-21,-5.93011473415904,0.481,0.995,4.22292684002425e-18,"ELF2",12.9337726694878
"MA0516.3",7.98239597056012e-21,-3.34119577536699,0.538,0.995,5.49987082371592e-18,"SP2",13.5320578677407
"MA0764.4",9.10704639535254e-21,-3.9885243571169,0.404,0.989,6.2747549663979e-18,"ETV4",11.4972908368204
"MA1516.2",1.23772170156519e-20,-4.33246534851033,0.423,0.978,8.52790252378414e-18,"KLF3",14.0852514845375
"MA0156.4",1.75528328638502e-20,-3.94484372327197,0.5,0.995,1.20939018431928e-17,"FEV",14.3980730958755
"MA0475.3",2.08923269649518e-20,-4.08948267040302,0.481,0.989,1.43948132788518e-17,"FLI1",13.1531679112959
"MA0765.4",2.95679366020479e-20,-3.92091884004249,0.423,0.995,2.0372308318811e-17,"ETV5",14.1392543325267
"MA1564.2",6.29075184372445e-20,-2.82414956719732,0.519,0.978,4.33432802032614e-17,"SP9",11.2284340210256
"MA0051.2",2.45989925263786e-19,-3.30048600607471,0.423,0.984,1.69487058506748e-16,"IRF2",11.4681951896206
"MA1957.1",5.13773469575001e-19,-4.31902932373607,0.558,0.984,3.53989920537175e-16,"HOXB2::ELK1",17.0760897765522
"MA0772.2",3.11565703105854e-18,-4.42134108045776,0.481,0.962,2.14668769439933e-15,"IRF7",17.2547935514417
"MA0763.2",1.19040418705033e-17,-3.6565104131496,0.519,0.995,8.20188484877675e-15,"ETV3",11.0181752480161
"MA1511.2",3.79276875198453e-17,-3.63268740383116,0.5,0.951,2.61321767011734e-14,"KLF10",13.8754218202365
"MA1958.2",6.33914753796849e-17,-4.68843838826366,0.385,0.945,4.36767265366029e-14,"HOXD12::ELK1",20.1430180598099
"MA1933.2",1.6851055958503e-16,-4.02646574014099,0.5,0.956,1.16103775554086e-13,"ELK1::SREBF2",18.153789921418
"MA0493.3",2.00650702261611e-16,-4.60541550028641,0.423,0.912,1.3824833385825e-13,"KLF1",12.7858197783526
"MA2328.1",5.45518117792212e-16,-2.24919430562504,0.538,0.995,3.75861983158834e-13,"ZBED4",11.6005324514036
"MA1932.2",1.06085187921548e-15,-3.44039389636756,0.615,0.978,7.30926944779466e-13,"ELK1::HOXB13",18.867506842948
"MA1420.1",2.42527204603705e-15,-3.17287631829613,0.481,0.929,1.67101243971953e-12,"IRF5",14.8449760349389
"MA1125.2",4.91246694963389e-15,-3.87376855502658,0.327,0.901,3.38468972829775e-12,"ZNF384",12.6727551614488
"MA0732.2",5.48776917732593e-15,-3.22300201267739,0.5,0.945,3.78107296317756e-12,"EGR3",17.5906181997587
"MA0838.1",8.68764873084273e-15,-3.54168275580279,0.423,0.907,5.98578997555064e-12,"CEBPG",14.6521426798431
"MA0102.5",1.52857627222038e-14,-3.82936416374983,0.327,0.896,1.05318905155984e-11,"CEBPA",12.1449053434989
"MA0079.5",1.55655989667207e-14,-2.27026356507281,0.538,0.967,1.07246976880706e-11,"SP1",14.163556667763
"MA1512.2",1.8321900822652e-14,-3.34982707321435,0.481,0.918,1.26237896668073e-11,"KLF11",13.1163348691033
"MA1931.1",1.93432999309741e-14,-2.92298431259301,0.519,0.978,1.33275336524411e-11,"ELK1::HOXA1",15.5207962734268
"MA0740.2",4.82919878945914e-14,-3.8712604465788,0.423,0.901,3.32731796593734e-11,"KLF14",13.4455405969179
"MA1971.2",6.08414623401062e-14,-3.16270440966955,0.442,0.929,4.19197675523332e-11,"ZBED2",10.3391926098457
"MA0162.5",1.22889681715961e-12,-2.95944272776584,0.423,0.901,8.46709907022968e-10,"EGR1",11.5089480128741
"MA0747.2",3.33780476332461e-12,-5.53974922169647,0.404,0.863,2.29974748193066e-09,"SP8",11.2993818648605
"MA1509.1",3.62450930313987e-12,-2.23747568785838,0.462,0.918,2.49728690986337e-09,"IRF6",14.0438890637499
"MA0686.2",3.7458331997862e-12,-2.54690748537461,0.615,0.907,2.58087907465269e-09,"SPDEF",14.2960631863227
"MA0685.2",4.13419431358577e-12,-3.63544031836248,0.423,0.863,2.8484598820606e-09,"SP4",14.1600293222843
"MA0748.3",4.13419431358577e-12,-2.35095504668768,0.462,0.896,2.8484598820606e-09,"YY2",10.3673965372019
"MA0039.5",4.34291234573587e-12,-3.68554332275912,0.462,0.857,2.99226660621201e-09,"KLF4",10.7988142134128
