"motif_id","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","motif_name","ic_score"
"MA0500.3",1.23007991816314e-09,-2.77810847288109,0.596,0.901,8.47525063614403e-07,"MYOG",11.599180360759
"MA1100.3",1.23007991816314e-09,-2.77810847288109,0.596,0.901,8.47525063614403e-07,"ASCL1",9.27984313594012
"MA0048.3",3.36512616568942e-07,-2.37112230111316,0.577,0.891,0.000231857192816001,"NHLH1",12.842267112459
"MA0508.4",3.36512616568942e-07,-4.1933479588896,0.346,0.772,0.000231857192816001,"PRDM1",11.1557533778696
"MA0674.2",2.30934198496776e-06,-1.93332942907315,0.442,0.851,0.00159113662764279,"NKX6-1",9.0729287051786
"MA0702.3",2.30934198496776e-06,-1.93332942907315,0.442,0.851,0.00159113662764279,"LMX1A",12.2333612382993
"MA1463.2",1.00483130745279e-05,-2.56054299727332,0.5,0.762,0.00692328770834971,"ARGFX",11.7883575472015
"MA1635.2",1.04123873325145e-05,-1.69501356054935,0.5,0.832,0.00717413487210249,"BHLHE22",11.7815393405961
"MA0113.4",1.17884187758394e-05,-2.81698476721296,0.365,0.673,0.00812222053655332,"NR3C1",18.9274296574016
"MA1721.2",1.22124107992138e-05,-0.959750122085492,0.635,0.911,0.00841435104065834,"ZNF93",15.4652515602927
"MA1946.2",1.26509321514205e-05,-4.06498334252877,0.346,0.634,0.00871649225232871,"ETV5::FOXI1",13.7425547482307
"MA2120.1",1.92330582691209e-05,-2.66987687584,0.442,0.723,0.0132515771474243,"ZNF184",12.5727918117006
"MA0149.1",3.26418671843391e-05,-2.51753734650965,0.481,0.792,0.0224902464900096,"EWSR1-FLI1",30.0530883980234
"MA0081.3",4.33750686008879e-05,2.77119234805276,0.212,0.535,0.0298854222660118,"SPIB",14.2784107721116
"MA0727.2",4.63481405663707e-05,-1.93664243296301,0.385,0.653,0.0319338688502294,"NR3C2",18.7648721119741
"MA0027.3",4.79061729511204e-05,-1.52822248694587,0.519,0.782,0.0330073531633219,"EN1",9.05281989131869
"MA0132.3",4.79061729511204e-05,-1.52822248694587,0.519,0.782,0.0330073531633219,"PDX1",9.66370727614026
"MA0612.3",4.79061729511204e-05,-1.52822248694587,0.519,0.782,0.0330073531633219,"EMX1",10.2257750313434
"MA0628.2",4.79061729511204e-05,-1.52822248694587,0.519,0.782,0.0330073531633219,"POU6F1",9.25283046857042
"MA0654.2",4.79061729511204e-05,-1.52822248694587,0.519,0.782,0.0330073531633219,"ISX",10.2735945000118
"MA0707.3",4.79061729511204e-05,-1.52822248694587,0.519,0.782,0.0330073531633219,"MNX1",9.00272300794655
"MA0716.2",4.79061729511204e-05,-1.52822248694587,0.519,0.782,0.0330073531633219,"PRRX1",8.04796319969512
"MA0886.2",4.79061729511204e-05,-1.52822248694587,0.519,0.782,0.0330073531633219,"EMX2",9.86399754064554
"MA0900.3",4.79061729511204e-05,-1.52822248694587,0.519,0.782,0.0330073531633219,"HOXA2",10.5243152509132
"MA0902.3",4.79061729511204e-05,-1.52822248694587,0.519,0.782,0.0330073531633219,"HOXB2",9.16236268772219
"MA0904.3",4.79061729511204e-05,-1.52822248694587,0.519,0.782,0.0330073531633219,"HOXB5",9.02825642655971
"MA1481.2",4.79061729511204e-05,-1.52822248694587,0.519,0.782,0.0330073531633219,"DRGX",8.95370402330545
"MA1495.2",4.79061729511204e-05,-1.52822248694587,0.519,0.782,0.0330073531633219,"HOXA1",8.24121815786303
"MA1577.2",4.79061729511204e-05,-1.52822248694587,0.519,0.782,0.0330073531633219,"TLX2",10.3201510286161
"MA2326.1",5.74020269692263e-05,-4.55628378675253,0.423,0.644,0.0395499965817969,"IKZF2",11.2215930161247
"MA0681.3",7.93989652689935e-05,-1.68868056882354,0.404,0.752,0.0547058870703365,"PHOX2B",14.4019919193493
"MA1583.2",9.02573136153021e-05,-2.118209861952,0.481,0.792,0.0621872890809432,"ZFP57",11.2683769388972
"MA0658.2",0.000100894975620338,-1.90179766730157,0.481,0.782,0.0695166382024128,"LHX6",10.5323192813071
"MA0791.2",0.000116316217413942,-2.20606818981787,0.5,0.762,0.0801418737982059,"POU4F3",13.0962493066989
"MA0808.1",0.000118160699295398,3.86861127559981,0.673,0.416,0.0814127218145294,"TEAD3",11.4970557999564
