"motif_id","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","motif_name","ic_score"
"MA0640.3",4.59411927065187e-62,9.50705798133529,1,0.482,3.16534817747914e-59,"ELF3",11.2970437859535
"MA2332.1",6.74783250872136e-62,9.53014663500558,1,0.419,4.64925659850902e-59,"ZNF175",10.9939778405997
"MA0598.4",6.85671427548701e-62,9.64594465383131,1,0.581,4.72427613581055e-59,"EHF",11.3558358512277
"MA1942.2",1.05599664885654e-61,9.93984244527786,1,0.33,7.27581691062155e-59,"ETV2::FOXI1",12.245140091582
"MA1935.2",1.32066975070244e-61,8.43653351140378,1,0.524,9.09941458233979e-59,"ERF::FOXI1",9.35420611899294
"MA0687.2",1.3635271681108e-61,9.38766823327858,1,0.518,9.39470218828343e-59,"SPIC",12.657940501666
"MA0761.3",1.62524127814154e-61,8.57232911908428,1,0.487,1.11979124063952e-58,"ETV1",11.605431147837
"MA0062.4",1.87616734139091e-61,7.6846720057877,1,0.534,1.29267929821834e-58,"GABPA",11.6638628499349
"MA1954.2",8.77511438437737e-61,11.883596110888,1,0.293,6.04605381083601e-58,"FOXO1::ELK1",14.9456837396786
"MA0081.3",1.32494155712453e-60,9.85309173033246,0.995,0.508,9.12884732858804e-58,"SPIB",14.2784107721116
"MA0645.2",1.38939817859898e-60,7.75830148770586,1,0.649,9.57295345054694e-58,"ETV6",12.1577632482671
"MA1508.2",1.62767405629624e-60,11.0517003453974,0.989,0.403,1.12146742478811e-57,"IKZF1",10.9245348478138
"MA1952.2",2.30492303347487e-60,7.81987786940051,1,0.565,1.58809197006418e-57,"FOXJ2::ELF1",11.8691427125191
"MA1708.2",4.26600061745879e-60,8.26626072321992,1,0.649,2.93927442542911e-57,"ETV7",10.920188911961
"MA0473.4",4.56533026056804e-59,6.28890754739956,1,0.639,3.14551254953138e-56,"ELF1",12.3511127544198
"MA1955.2",8.88346212753926e-58,6.80663689302657,1,0.414,6.12070540587455e-55,"FOXO1::ELK3",14.3995561957123
"MA1950.2",1.84692187529186e-55,5.82581505329895,0.989,0.492,1.27252917207609e-52,"FLI1::FOXI1",12.8920599498983
"MA1946.2",2.3172891637252e-55,6.551373031498,0.989,0.372,1.59661223380667e-52,"ETV5::FOXI1",13.7425547482307
"MA0641.1",8.86653462763355e-55,6.2634588564756,0.995,0.77,6.10904235843951e-52,"ELF4",16.089777596487
"MA1953.2",1.17004222870294e-52,6.5901035254128,0.984,0.387,8.06159095576326e-50,"FOXO1::ELF1",13.037607963472
"MA1959.2",4.20175604305019e-52,4.17171404498615,0.995,0.455,2.89500991366158e-49,"KLF7",12.346188848151
"MA0750.3",9.67305327021603e-52,5.35792243330136,1,0.759,6.66473370317884e-49,"ZBTB7A",11.1338201685803
"MA1515.2",1.11933974191788e-51,5.82667898594083,0.989,0.335,7.71225082181422e-49,"KLF2",9.67702060054813
"MA1652.2",1.61169610634699e-51,6.84940177537106,0.984,0.403,1.11045861727308e-48,"ZKSCAN5",13.0001294029522
"MA1936.2",2.92677906295135e-51,6.03969829625377,0.989,0.382,2.01655077437348e-48,"ERF::FOXO1",12.6208450789964
"MA1151.2",1.2460739971102e-50,-5.80703886856969,0.379,0.958,8.5854498400893e-48,"RORC",9.68774554894153
"MA0653.1",2.96358587453005e-49,4.60497961877781,1,0.665,2.0419106675512e-46,"IRF9",24.7480896572174
"MA1419.2",6.02318480382772e-48,5.12273416999643,0.978,0.628,4.1499743298373e-45,"IRF4",22.94400312787
"MA0076.3",1.51862595861468e-47,4.86683326116791,1,0.77,1.04633328548551e-44,"ELK4",12.675392372354
"MA0072.2",2.06509227469017e-47,-6.17664985149843,0.379,0.958,1.42284857726153e-44,"RORA",13.3277480112458
"MA0910.3",6.11873044198802e-47,-10.0371448401059,0.231,0.932,4.21580527452975e-44,"HOXD8",9.64493574982883
"MA1502.2",6.11873044198802e-47,-10.0371448401059,0.231,0.932,4.21580527452975e-44,"HOXB8",9.59482153901614
"MA1956.2",2.37627534120645e-46,4.66765350715129,0.978,0.508,1.63725371009124e-43,"FOXO1::FLI1",17.4060509860029
"MA0652.2",4.06745360130119e-46,4.38085377827844,0.984,0.644,2.80247553129652e-43,"IRF8",22.3213427919537
"MA0746.3",2.10741541735889e-45,3.76646782641308,0.989,0.56,1.45200922256027e-42,"SP3",14.6415666885141
"MA2326.1",2.35057660375138e-45,3.44852457752465,0.984,0.634,1.6195472799847e-42,"IKZF2",11.2215930161247
"MA0762.2",2.80662490442121e-45,4.44254044012005,0.989,0.78,1.93376455914622e-42,"ETV2",14.0077319896532
"MA2329.1",3.00459293229319e-45,4.48185292857343,1,0.801,2.07016453035001e-42,"ZBTB11",12.4741848636609
"MA0517.2",1.03463298194808e-44,3.6774851495188,1,0.869,7.12862124562228e-42,"STAT1::STAT2",15.5108895007969
