"motif_id","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","motif_name","ic_score"
"MA0640.3",2.65377706556535e-19,9.86719344911361,1,0.469,1.82845239817453e-16,"ELF3",11.2970437859535
"MA0687.2",2.80737777719873e-19,10.2069456168391,1,0.375,1.93428328848992e-16,"SPIC",12.657940501666
"MA0598.4",2.96975637688339e-19,9.67823122448268,1,0.469,2.04616214367266e-16,"EHF",11.3558358512277
"MA0081.3",4.91767767654015e-19,11.0730187239224,0.995,0.406,3.38827991913617e-16,"SPIB",14.2784107721116
"MA2332.1",4.91767767654015e-19,8.64707017204575,1,0.406,3.38827991913617e-16,"ZNF175",10.9939778405997
"MA0761.3",8.58171258058646e-19,7.91731776269797,1,0.438,5.91279996802407e-16,"ETV1",11.605431147837
"MA0517.2",1.13204583365485e-18,6.99889059450845,1,0.406,7.79979579388194e-16,"STAT1::STAT2",15.5108895007969
"MA0645.2",1.53358585323755e-18,7.99354796089713,1,0.594,1.05664065288067e-15,"ETV6",12.1577632482671
"MA0473.4",1.5764102397912e-18,6.74307881533593,1,0.625,1.08614665521613e-15,"ELF1",12.3511127544198
"MA0062.4",2.72915917022905e-18,6.51041424839198,1,0.344,1.88039066828782e-15,"GABPA",11.6638628499349
"MA1508.2",3.78665086373093e-18,7.0464400763286,0.989,0.469,2.60900244511061e-15,"IKZF1",10.9245348478138
"MA1942.2",6.00799219499942e-18,5.66965317621566,1,0.469,4.1395066223546e-15,"ETV2::FOXI1",12.245140091582
"MA1952.2",6.51604131752734e-18,6.05694217301929,1,0.562,4.48955246777633e-15,"FOXJ2::ELF1",11.8691427125191
"MA1935.2",8.30855109509481e-18,5.30226014277689,1,0.562,5.72459170452032e-15,"ERF::FOXI1",9.35420611899294
"MA1954.2",9.00807110231008e-18,6.14066719616513,1,0.469,6.20656098949165e-15,"FOXO1::ELK1",14.9456837396786
"MA1950.2",1.85748826857058e-17,5.9660957548619,0.989,0.469,1.27980941704513e-14,"FLI1::FOXI1",12.8920599498983
"MA1708.2",3.90568443227313e-17,6.83022792295413,1,0.594,2.69101657383619e-14,"ETV7",10.920188911961
"MA2326.1",1.4456545266317e-16,4.7163689394487,0.984,0.562,9.96055968849244e-14,"IKZF2",11.2215930161247
"MA1955.2",3.65538325553493e-16,4.54363294313948,1,0.375,2.51855906306357e-13,"FOXO1::ELK3",14.3995561957123
"MA0641.1",4.60064582896391e-16,5.76888499537039,0.995,0.719,3.16984497615613e-13,"ELF4",16.089777596487
"MA1418.2",8.68031450928508e-16,5.46630852665271,1,0.625,5.98073669689742e-13,"IRF3",23.1758682470605
"MA0653.1",1.0358015584508e-15,4.72699438832866,1,0.594,7.13667273772598e-13,"IRF9",24.7480896572174
"MA1936.2",1.43635701997075e-15,5.8231366010399,0.989,0.5,9.89649986759845e-13,"ERF::FOXO1",12.6208450789964
"MA1419.2",7.55168490520958e-15,4.90608872577917,0.978,0.531,5.2031108996894e-12,"IRF4",22.94400312787
"MA1956.2",1.01203523110142e-14,4.56926099420184,0.978,0.406,6.97292274228879e-12,"FOXO1::FLI1",17.4060509860029
