"motif_id","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","motif_name","ic_score"
"MA0640.3",7.13284510638772e-44,9.84353735802161,1,0.406,4.91453027830114e-41,"ELF3",11.2970437859535
"MA1708.2",8.09854764889336e-44,11.0135505124023,1,0.386,5.57989933008752e-41,"ETV7",10.920188911961
"MA0645.2",8.44852016916809e-44,10.7881067015449,1,0.396,5.82103039655681e-41,"ETV6",12.1577632482671
"MA0598.4",1.06601642542939e-43,10.3001275016529,1,0.396,7.34485317120849e-41,"EHF",11.3558358512277
"MA2332.1",2.47720882912339e-43,8.45782092132052,1,0.515,1.70679688326601e-40,"ZNF175",10.9939778405997
"MA0761.3",2.69460485874025e-43,8.45859180366562,1,0.515,1.85658274767203e-40,"ETV1",11.605431147837
"MA1952.2",4.85039854348562e-43,8.51682387553018,1,0.446,3.34192459646159e-40,"FOXJ2::ELF1",11.8691427125191
"MA1935.2",5.27451785361587e-43,7.61691646292988,1,0.624,3.63414280114134e-40,"ERF::FOXI1",9.35420611899294
"MA0081.3",5.73551233326781e-43,10.1780553078122,0.995,0.535,3.95176799762152e-40,"SPIB",14.2784107721116
"MA0687.2",6.64072538458498e-43,8.46813963240358,1,0.594,4.57545978997905e-40,"SPIC",12.657940501666
"MA0473.4",8.35849533209578e-43,7.53777334445436,1,0.505,5.75900328381399e-40,"ELF1",12.3511127544198
"MA0641.1",1.11973634380437e-42,8.869626830169,0.995,0.386,7.7149834088121e-40,"ELF4",16.089777596487
"MA0062.4",1.14334915188546e-42,6.81490707492689,1,0.564,7.8776756564908e-40,"GABPA",11.6638628499349
"MA1942.2",1.77122833853625e-42,7.13689405242805,1,0.505,1.22037632525148e-39,"ETV2::FOXI1",12.245140091582
"MA0076.3",1.88536450118503e-42,8.39531370167757,1,0.416,1.29901614131649e-39,"ELK4",12.675392372354
"MA0750.3",3.51650698554009e-42,7.7261105377427,1,0.465,2.42287331303712e-39,"ZBTB7A",11.1338201685803
"MA2329.1",1.6220221122804e-41,7.19775549647035,1,0.436,1.1175732353612e-38,"ZBTB11",12.4741848636609
"MA1954.2",2.075922733231e-41,7.22550354390732,1,0.465,1.43031076319616e-38,"FOXO1::ELK1",14.9456837396786
"MA0517.2",1.18066922699314e-40,5.43140638392142,1,0.653,8.13481097398273e-38,"STAT1::STAT2",15.5108895007969
"MA1483.3",1.53799057720851e-40,9.23085814529091,0.995,0.485,1.05967550769666e-37,"ELF2",12.9337726694878
"MA0098.4",3.32380227842827e-40,6.12663951865171,1,0.554,2.29009976983708e-37,"ETS1",11.9659740164377
"MA1959.2",7.30522174849955e-40,6.03558894705214,0.995,0.406,5.03329778471619e-37,"KLF7",12.346188848151
