"motif_id","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","motif_name","ic_score"
"MA0161.3",5.05943399853292e-101,-11.6572130695549,0.247,0.974,3.48595002498918e-98,"NFIC",10.4960837516708
"MA0670.2",8.30718561242187e-101,-16.9003670890653,0.226,0.974,5.72365088695867e-98,"NFIA",11.9971740074589
"MA1151.2",3.31410047335802e-94,-8.6115039971442,0.307,0.958,2.28341522614367e-91,"RORC",9.68774554894153
"MA0793.2",1.33136902234842e-92,-7.93855172022026,0.328,0.958,9.17313256398061e-90,"POU6F2",11.3980408932753
"MA0642.3",1.52002897721772e-91,-7.80158236352465,0.326,0.979,1.04729996530301e-88,"EN2",8.94449959601543
"MA1150.2",9.42643728110983e-90,-7.06304982015946,0.338,0.963,6.49481528668467e-87,"RORB",9.24838735164769
"MA0075.4",1.43893363023999e-89,-7.17175210643771,0.331,0.963,9.91425271235355e-87,"PRRX2",10.956430321608
"MA0618.2",1.43893363023999e-89,-7.17175210643771,0.331,0.963,9.91425271235355e-87,"LBX1",9.82867646137221
"MA0644.3",1.43893363023999e-89,-7.17175210643771,0.331,0.963,9.91425271235355e-87,"ESX1",9.96807764722104
"MA0661.2",1.43893363023999e-89,-7.17175210643771,0.331,0.963,9.91425271235355e-87,"MEOX1",9.3444348988704
"MA0701.3",1.43893363023999e-89,-7.17175210643771,0.331,0.963,9.91425271235355e-87,"LHX9",10.8381566870076
"MA0710.2",1.43893363023999e-89,-7.17175210643771,0.331,0.963,9.91425271235355e-87,"NOTO",9.38291224693657
"MA0725.2",1.43893363023999e-89,-7.17175210643771,0.331,0.963,9.91425271235355e-87,"VSX1",8.06102162725241
"MA0726.2",1.43893363023999e-89,-7.17175210643771,0.331,0.963,9.91425271235355e-87,"VSX2",9.15835253481659
"MA0889.2",1.43893363023999e-89,-7.17175210643771,0.331,0.963,9.91425271235355e-87,"GBX1",10.4176480985704
"MA1463.2",2.33319544621913e-89,-6.76042960028378,0.336,0.963,1.60757166244498e-86,"ARGFX",11.7883575472015
"MA0068.2",2.69926392122659e-88,-6.72634842693993,0.338,0.942,1.85979284172512e-85,"PAX4",9.22181960132683
"MA0658.2",6.7343818997959e-87,-6.20956741293403,0.345,0.948,4.63998912895937e-84,"LHX6",10.5323192813071
"MA0674.2",1.95210043325427e-86,-6.97522135640104,0.348,0.953,1.3449971985122e-83,"NKX6-1",9.0729287051786
"MA0702.3",1.95210043325427e-86,-6.97522135640104,0.348,0.953,1.3449971985122e-83,"LMX1A",12.2333612382993
"MA0666.3",1.11564596802283e-85,-6.55659106517739,0.351,0.963,7.68680071967731e-83,"MSX1",9.99817607912978
"MA0700.3",1.11564596802283e-85,-6.55659106517739,0.351,0.963,7.68680071967731e-83,"LHX2",10.0484003644397
"MA0708.3",1.11564596802283e-85,-6.55659106517739,0.351,0.963,7.68680071967731e-83,"MSX2",9.70419290504437
"MA0718.2",1.11564596802283e-85,-6.55659106517739,0.351,0.963,7.68680071967731e-83,"RAX",9.02559840086168
"MA0875.2",1.11564596802283e-85,-6.55659106517739,0.351,0.963,7.68680071967731e-83,"BARX1",8.73670989920316
"MA0876.2",1.11564596802283e-85,-6.55659106517739,0.351,0.963,7.68680071967731e-83,"BSX",8.28580322293493
