"motif_id","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","motif_name","ic_score"
"MA1650.2",5.35314760806681e-12,-5.03478083046929,0.364,0.906,3.68831870195803e-09,"ZBTB14",11.1965003647953
"MA1721.2",8.21018475569369e-11,-4.21551106698361,0.414,0.844,5.65681729667295e-08,"ZNF93",15.4652515602927
"MA1554.2",1.64742456894149e-10,-4.86538752216627,0.371,0.844,1.13507552800069e-07,"RFX7",8.80106067345412
"MA0698.2",1.25332339497124e-09,4.52243386213009,0.781,0.25,8.63539819135187e-07,"ZBTB18",15.3216582236687
"MA0632.3",6.57739208722586e-09,-5.13230938026024,0.362,0.812,4.53182314809861e-06,"TCFL5",11.1221890321959
"MA1562.2",7.55965372779746e-09,5.60787555618126,0.697,0.25,5.20860141845245e-06,"SOX14",12.3099961122559
"MA0655.1",9.14034560571884e-09,-3.78289785591523,0.492,0.812,6.29769812234028e-06,"JDP2",15.0056446982471
"MA0527.2",1.93888397788544e-08,-3.48568367306499,0.374,0.781,1.33589106076307e-05,"ZBTB33",12.9290556983456
"MA0162.5",2.7212476986524e-08,-5.01467020054112,0.379,0.812,1.8749396643715e-05,"EGR1",11.5089480128741
"MA0499.3",2.8103701141033e-08,4.36788138836037,0.713,0.219,1.93634500861718e-05,"MYOD1",11.6357234812185
"MA1644.2",8.07752507618673e-08,-3.88171848636905,0.346,0.781,5.56541477749266e-05,"NFYC",10.0428742578523
"MA0799.3",8.84727980537886e-08,-4.31797866499907,0.338,0.781,6.09577578590604e-05,"RFX4",19.7814434222408
"MA0732.2",8.93232114008716e-08,-6.74724153798811,0.359,0.688,6.15436926552005e-05,"EGR3",17.5906181997587
"MA0490.3",9.48203861929981e-08,-4.30862663873045,0.508,0.781,6.53312460869757e-05,"JUNB",12.5542430617509
"MA1101.3",1.199855114981e-07,-2.98491814319206,0.518,0.844,8.26700174221908e-05,"BACH2",16.3526041491268
"MA1128.2",1.94698549408521e-07,-3.61657937408039,0.524,0.938,0.000134147300542471,"FOSL1::JUN",11.9749141367931
"MA0477.3",2.18211008340103e-07,-3.507881976763,0.505,0.844,0.000150347384746331,"FOSL1",12.4980687346343
"MA1931.1",2.8076343904627e-07,-7.7465511210911,0.303,0.656,0.00019344600950288,"ELK1::HOXA1",15.5207962734268
"MA1641.2",2.93309079058854e-07,4.26025490671537,0.724,0.281,0.00020208995547155,"MYF5",11.6793198354008
"MA0259.2",3.35812876573701e-07,-3.19059132646885,0.443,0.812,0.00023137507195928,"ARNT::HIF1A",8.13530385380971
"MA1727.2",3.48327824079722e-07,-3.77445206178945,0.388,0.781,0.000239997870790928,"ZNF417",12.8630211396864
"MA0491.3",4.25624881087095e-07,-4.1405113789338,0.517,0.75,0.000293255543069008,"JUND",12.7290332825706
"MA0639.2",4.26591874278713e-07,-5.10598458099883,0.37,0.719,0.000293921801378033,"DBP",13.6522550670605
"MA1583.2",4.61804243232576e-07,-3.11198646332533,0.444,0.812,0.000318183123587245,"ZFP57",11.2683769388972
"MA0471.3",4.71302444859192e-07,-4.05296258499207,0.38,0.781,0.000324727384507984,"E2F6",11.2746994080866
"MA0060.4",5.2404638767242e-07,-3.71320429216732,0.355,0.75,0.000361067961106297,"NFYA",11.5337602931118
"MA0748.3",6.01039930737791e-07,-4.87614961471666,0.327,0.656,0.000414116512278338,"YY2",10.3673965372019
"MA1633.2",8.77547971361665e-07,-4.1362858599972,0.507,0.812,0.000604630552268187,"BACH1",14.1078254777869
