"motif_id","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","motif_name","ic_score"
"MA0868.3",1.51486551072691e-08,2.75785684385063,0.747,0.385,1.04374233689084e-05,"SOX8",9.53346770724304
"MA1638.2",2.74984086549104e-08,1.91886090225826,0.791,0.404,1.89464035632333e-05,"HAND2",11.0586189303396
"MA1123.3",2.99920680152437e-08,2.25548215832896,0.738,0.365,2.06645348625029e-05,"TWIST1",11.0879681488237
"MA1152.2",5.61916366642803e-08,2.52808114303986,0.706,0.385,3.87160376616891e-05,"SOX15",8.94305838467198
"MA0442.3",4.73133606335312e-07,3.25249266089094,0.673,0.385,0.00032598905476503,"SOX10",10.6409603017789
"MA0797.1",5.40732952768183e-07,1.33124272928949,0.641,0.288,0.000372565004457278,"TGIF2",18.364672485988
"MA0077.2",7.62144555738555e-07,1.78048287106079,0.719,0.442,0.000525117598903865,"SOX9",8.03011998540528
"MA0143.5",1.68751494241258e-06,1.97609168403706,0.788,0.5,0.00116269779532226,"SOX2",9.81325340512393
"MA1120.2",1.68751494241258e-06,1.97609168403706,0.788,0.5,0.00116269779532226,"SOX13",9.97079120221925
"MA1931.1",2.69405413621708e-06,-7.41921477780592,0.303,0.519,0.00185620329985357,"ELK1::HOXA1",15.5207962734268
"MA1562.2",2.93005179447719e-06,2.13077246511834,0.697,0.385,0.00201880568639478,"SOX14",12.3099961122559
"MA2341.1",4.22266814733222e-06,5.58410950083969,0.644,0.404,0.0029094183535119,"FEZF2",10.3026228669435
"MA1949.2",5.38553734880412e-06,-3.13120732346474,0.373,0.615,0.00371063523332604,"FLI1::DRGX",13.8671280340017
"MA0698.2",5.43756364053007e-06,1.46698697259377,0.781,0.519,0.00374648134832522,"ZBTB18",15.3216582236687
"MA0499.3",9.90101865069575e-06,1.46080312068508,0.713,0.404,0.00682180185032937,"MYOD1",11.6357234812185
"MA0796.1",1.43540358377123e-05,0.943652743591757,0.617,0.346,0.00988993069218375,"TGIF1",22.2578641533435
"MA0867.3",1.63971775061714e-05,1.47319326721199,0.692,0.462,0.0112976553017521,"SOX4",10.8880496651914
"MA0811.2",1.97935757865702e-05,1.20800936065663,0.515,0.25,0.0136377737169469,"TFAP2B",10.5606646774567
"MA0131.3",2.58975481213259e-05,-2.34654869704606,0.409,0.596,0.0178434106555936,"HINFP",11.8334580556276
"MA0639.2",3.22100595655558e-05,-2.77835222151963,0.37,0.596,0.022192731040668,"DBP",13.6522550670605
"MA1108.3",3.35181828778353e-05,1.61334572713345,0.665,0.5,0.0230940280028285,"MXI1",10.7291644188551
"MA0712.3",3.52891187079759e-05,3.50912423570088,0.601,0.385,0.0243142027897954,"OTX2",10.3475344512397
"MA0610.2",3.73670225165333e-05,2.67519437786928,0.612,0.365,0.0257458785138914,"DMRT3",10.3741213602338
"MA0154.5",5.68856152961866e-05,3.37114206604762,0.563,0.346,0.0391941889390726,"EBF1",12.8633163748724
"MA0524.3",6.11913145971443e-05,1.61112512045538,0.511,0.288,0.0421608157574324,"TFAP2C",10.1551429512139
"MA0783.1",6.22483459454798e-05,0.599662240789018,0.677,0.462,0.0428891103564356,"PKNOX2",21.0332083927309
"MA1932.2",6.89625933177463e-05,-3.70238563141043,0.337,0.615,0.0475152267959272,"ELK1::HOXB13",18.867506842948
"MA0799.3",7.79904780660841e-05,-3.16515126956135,0.338,0.596,0.0537354393875319,"RFX4",19.7814434222408
"MA1957.1",8.81278973864805e-05,-8.89373796208526,0.294,0.558,0.0607201212992851,"HOXB2::ELK1",17.0760897765522
"MA0830.3",9.59648931234422e-05,1.68244482124661,0.708,0.481,0.0661198113620517,"TCF4",10.6002685555989
"MA2098.1",9.84003598175264e-05,-2.37407634215206,0.412,0.692,0.0677978479142757,"ZNF766",12.9269925160593
"MA0758.1",0.000101597318063322,-3.30242245279034,0.357,0.558,0.0700005521456286,"E2F7",23.8964206861673
"MA1587.1",0.000103734841390476,2.11633815760509,0.602,0.346,0.0714733057180381,"ZNF135",17.7722356572165
"MA0808.1",0.000104746812739061,-2.33179522700332,0.461,0.673,0.0721705539772133,"TEAD3",11.4970557999564
