"motif_id","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","motif_name","ic_score"
"MA1942.2",8.31861266532399e-106,-11.9081877692818,0.309,1,5.73152412640823e-103,"ETV2::FOXI1",12.245140091582
"MA1954.2",1.25187386236438e-103,-9.98440585602305,0.336,1,8.62541091169056e-101,"FOXO1::ELK1",14.9456837396786
"MA0653.1",5.20213006927551e-101,-9.35671815885195,0.318,1,3.58426761773082e-98,"IRF9",24.7480896572174
"MA1950.2",1.02599195868886e-99,-8.41866419286644,0.342,0.989,7.06908459536626e-97,"FLI1::FOXI1",12.8920599498983
"MA1955.2",4.89570226279327e-98,-6.75048868627962,0.378,1,3.37313885906456e-95,"FOXO1::ELK3",14.3995561957123
"MA1419.2",5.2497343026871e-96,-8.474474677801,0.344,0.978,3.61706693455141e-93,"IRF4",22.94400312787
"MA1946.2",5.99740558949355e-96,-7.28324288284819,0.368,0.989,4.13221245116106e-93,"ETV5::FOXI1",13.7425547482307
"MA1957.1",3.22001537842819e-95,-13.2127672858213,0.294,0.984,2.21859059573702e-92,"HOXB2::ELK1",17.0760897765522
"MA0051.2",3.29952911478004e-94,-11.1967233783378,0.298,0.984,2.27337556008345e-91,"IRF2",11.4681951896206
"MA0746.3",1.96092170163379e-93,-7.40328842651524,0.366,0.989,1.35107505242568e-90,"SP3",14.6415666885141
"MA0652.2",1.14450743401902e-92,-7.24368119591989,0.332,0.984,7.88565622039107e-90,"IRF8",22.3213427919537
"MA1956.2",7.09616165779809e-90,-6.67911414644829,0.359,0.978,4.88925538222289e-87,"FOXO1::FLI1",17.4060509860029
"MA1931.1",2.30515615948698e-89,-10.3421990903989,0.303,0.978,1.58825259388653e-86,"ELK1::HOXA1",15.5207962734268
"MA1515.2",8.90262255344491e-89,-6.10327456284431,0.398,0.989,6.13390693932354e-86,"KLF2",9.67702060054813
"MA1652.2",1.16989457542187e-88,-7.02560390441952,0.403,0.984,8.06057362465665e-86,"ZKSCAN5",13.0001294029522
"MA1932.2",3.23013821899845e-87,-7.14277952777798,0.337,0.978,2.22556523288993e-84,"ELK1::HOXB13",18.867506842948
"MA1936.2",4.44232919820398e-87,-6.09925882131409,0.399,0.989,3.06076481756254e-84,"ERF::FOXO1",12.6208450789964
"MA1953.2",4.99087735012833e-87,-6.02468765378991,0.404,0.984,3.43871449423842e-84,"FOXO1::ELF1",13.037607963472
"MA1933.2",8.86995849239441e-85,-9.71556589949689,0.318,0.956,6.11140140125975e-82,"ELK1::SREBF2",18.153789921418
"MA1516.2",1.25787938949986e-82,-4.86210198930501,0.462,0.978,8.66678899365406e-80,"KLF3",14.0852514845375
"MA0772.2",1.4533736952992e-77,-5.80153841263389,0.338,0.962,1.00137447606115e-74,"IRF7",17.2547935514417
"MA0732.2",8.0293838562141e-73,-7.28098277123857,0.359,0.945,5.53224547693151e-70,"EGR3",17.5906181997587
"MA1949.2",7.66115454855329e-71,-6.62318531875055,0.373,0.934,5.27853548395322e-68,"FLI1::DRGX",13.8671280340017
"MA1958.2",2.95697141396064e-68,-5.23037762686151,0.396,0.945,2.03735330421888e-65,"HOXD12::ELK1",20.1430180598099
"MA1971.2",7.27444398239636e-68,-4.84788174818682,0.367,0.929,5.01209190387109e-65,"ZBED2",10.3391926098457
"MA0686.2",1.66055933519486e-67,-5.74358316597807,0.365,0.907,1.14412538194926e-64,"SPDEF",14.2960631863227
"MA0748.3",1.86795725610391e-64,-6.46267810022776,0.327,0.896,1.28702254945559e-61,"YY2",10.3673965372019
"MA1420.1",5.32178564570449e-64,-4.415520918482,0.384,0.929,3.6667103098904e-61,"IRF5",14.8449760349389
"MA1125.2",4.33828606931998e-62,-5.72028165602828,0.368,0.901,2.98907910176146e-59,"ZNF384",12.6727551614488
"MA0162.5",2.67128644094744e-58,-4.88933455800356,0.379,0.901,1.84051635781278e-55,"EGR1",11.5089480128741
"MA1509.1",2.98671007326958e-58,-4.128507622078,0.39,0.918,2.05784324048274e-55,"IRF6",14.0438890637499
"MA1512.2",2.52967236757716e-57,-4.24545822737839,0.426,0.918,1.74294426126067e-54,"KLF11",13.1163348691033
"MA1122.2",9.80640933043285e-57,-4.7392272523345,0.385,0.89,6.75661602866824e-54,"TFDP1",10.896731821216
"MA0472.2",1.55645851236042e-56,-4.40795174918543,0.392,0.896,1.07239991501633e-53,"EGR2",15.2128058772618
"MA0740.2",3.05672539465832e-56,-5.96315036387896,0.38,0.901,2.10608379691958e-53,"KLF14",13.4455405969179
"MA0102.5",7.19580742008612e-56,-4.13559439745578,0.425,0.896,4.95791131243934e-53,"CEBPA",12.1449053434989
"MA0838.1",7.07266832204401e-53,-4.21376491373613,0.447,0.907,4.87306847388832e-50,"CEBPG",14.6521426798431
"MA1944.2",1.18933129373323e-52,-4.26236038294071,0.379,0.879,8.19449261382197e-50,"ETV5::DRGX",12.932217302222
"MA1650.2",1.88482588367829e-52,-4.85043325548285,0.364,0.852,1.29864503385434e-49,"ZBTB14",11.1965003647953
"MA1937.2",3.03129853018476e-51,-4.04413153087834,0.411,0.874,2.0885646872973e-48,"ERF::HOXB13",11.813850455823
"MA0497.2",4.11410343673135e-51,-3.99789195184854,0.428,0.89,2.8346172679079e-48,"MEF2C",13.2879652589088
"MA0493.3",2.38352490990621e-50,-3.20696608307468,0.467,0.912,1.64224866292538e-47,"KLF1",12.7858197783526
"MA0052.5",1.74749569890825e-49,-3.76368695948879,0.432,0.868,1.20402453654779e-46,"MEF2A",11.8401982960044
"MA0741.1",4.94029789531825e-49,-5.78603607534191,0.362,0.868,3.40386524987427e-46,"KLF16",13.0854883701205
"MA1948.2",3.10268280412815e-46,-3.65161842733327,0.426,0.852,2.1377484520443e-43,"ETV5::HOXA2",13.7177387806954
"MA0060.4",7.85978945059809e-46,-4.80488637836986,0.355,0.808,5.41539493146208e-43,"NFYA",11.5337602931118
"MA0733.2",1.98272122613869e-45,-3.79533021361441,0.416,0.879,1.36609492480956e-42,"EGR4",13.1794430621695
"MA0527.2",2.70336812015939e-44,-3.81924880720296,0.374,0.852,1.86262063478982e-41,"ZBTB33",12.9290556983456
"MA1475.2",4.3656775080444e-44,-3.8558248637876,0.408,0.857,3.00795180304259e-41,"CREB3L4",10.5559268353076
"MA1644.2",6.97433780829925e-44,-4.59032348755482,0.346,0.802,4.80531874991819e-41,"NFYC",10.0428742578523
"MA1940.2",3.77443787098673e-42,-3.56966068530707,0.399,0.835,2.60058769310986e-39,"ETV2::DRGX",13.9437846953249
"MA0511.2",5.22764575097204e-42,-3.31078529489228,0.421,0.83,3.60184792241974e-39,"RUNX2",11.5274224688972
"MA0259.2",8.47195826727644e-42,-3.14614393757595,0.443,0.874,5.83717924615347e-39,"ARNT::HIF1A",8.13530385380971
"MA0471.3",3.92000702347038e-41,-4.18360395618507,0.38,0.841,2.70088483917109e-38,"E2F6",11.2746994080866
"MA2120.1",1.62506974182933e-40,-3.53241063139032,0.413,0.868,1.11967305212041e-37,"ZNF184",12.5727918117006
"MA0747.2",4.73032281095927e-40,-3.81935125500686,0.403,0.863,3.25919241675093e-37,"SP8",11.2993818648605
"MA0131.3",6.5111479789913e-40,-3.74264653433344,0.409,0.835,4.486180957525e-37,"HINFP",11.8334580556276
"MA0632.3",1.38709716788057e-39,-4.00071541648003,0.362,0.802,9.55709948669712e-37,"TCFL5",11.1221890321959
"MA0694.2",1.75523629811853e-39,-3.72614548605747,0.401,0.824,1.20935780940367e-36,"ZBTB7B",13.4150783895048
"MA2096.1",6.72091991561142e-38,-2.89437626527049,0.457,0.841,4.63071382185627e-35,"ZNF524",12.0660511080213
"MA1939.2",1.16554723714065e-36,-3.48435629869846,0.409,0.824,8.03062046389911e-34,"ERF::SREBF2",20.3149948587476
"MA0039.5",2.32571800626931e-36,-2.53763837033407,0.463,0.857,1.60241970631955e-33,"KLF4",10.7988142134128
"MA0657.2",3.37074853484379e-35,-3.51554674692293,0.426,0.819,2.32244574050737e-32,"KLF13",20.1556814406472
"MA1711.2",3.79541175998828e-34,-3.07141777382094,0.388,0.819,2.61503870263192e-31,"ZNF343",19.2556711053775
"MA1709.2",1.02814671296156e-33,-3.51569621426352,0.405,0.775,7.08393085230513e-31,"ZIM3",15.0471177801386
"MA0837.3",1.57511521698469e-33,-3.11370966552968,0.45,0.83,1.08525438450245e-30,"CEBPE",15.856819151134
"MA0773.1",7.36617721983108e-33,-3.15314343797763,0.474,0.83,5.07529610446362e-30,"MEF2D",18.4567052008793
"MA0862.1",4.3631129431122e-32,-4.45779469368137,0.413,0.802,3.0061848178043e-29,"GMEB2",9.52467562921646
"MA0635.2",2.74134903261449e-31,-3.68791374059479,0.389,0.764,1.88878948347138e-28,"BARHL2",8.02506856168212
"MA0877.4",2.74134903261449e-31,-3.68791374059479,0.389,0.764,1.88878948347138e-28,"BARHL1",9.6805199479539
"MA0865.3",4.27613788821245e-31,-2.89064242624378,0.421,0.813,2.94625900497838e-28,"E2F8",10.5389796738411
"MA1721.2",8.45985639695355e-31,-3.39894517949136,0.414,0.824,5.828841057501e-28,"ZNF93",15.4652515602927
"MA0660.1",8.52806429114691e-31,-3.22446093165992,0.474,0.824,5.87583629660022e-28,"MEF2B",18.2988363206411
"MA0864.3",1.46187708310339e-30,-2.8123147591581,0.437,0.813,1.00723331025824e-27,"E2F2",12.6707917888778
"MA0470.3",1.84681607388229e-30,-3.12929407846384,0.394,0.791,1.2724562749049e-27,"E2F4",14.5348930472404
