"motif_id","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","motif_name","ic_score"
"MA1721.2",1.3370669415491e-31,-3.9521818380596,0.414,0.911,9.21239122727327e-29,"ZNF93",15.4652515602927
"MA0698.2",4.57537451523074e-26,4.89175652031706,0.781,0.297,3.15243304099398e-23,"ZBTB18",15.3216582236687
"MA0674.2",8.89630020301857e-26,-4.39972926097121,0.348,0.851,6.1295508398798e-23,"NKX6-1",9.0729287051786
"MA0702.3",8.89630020301857e-26,-4.39972926097121,0.348,0.851,6.1295508398798e-23,"LMX1A",12.2333612382993
"MA0670.2",3.29172022186794e-24,-8.94253806424476,0.226,0.693,2.26799523286701e-21,"NFIA",11.9971740074589
"MA0027.3",4.4072744961171e-23,-4.22293380633039,0.353,0.782,3.03661212782469e-20,"EN1",9.05281989131869
"MA0132.3",4.4072744961171e-23,-4.22293380633039,0.353,0.782,3.03661212782469e-20,"PDX1",9.66370727614026
"MA0612.3",4.4072744961171e-23,-4.22293380633039,0.353,0.782,3.03661212782469e-20,"EMX1",10.2257750313434
"MA0628.2",4.4072744961171e-23,-4.22293380633039,0.353,0.782,3.03661212782469e-20,"POU6F1",9.25283046857042
"MA0654.2",4.4072744961171e-23,-4.22293380633039,0.353,0.782,3.03661212782469e-20,"ISX",10.2735945000118
"MA0707.3",4.4072744961171e-23,-4.22293380633039,0.353,0.782,3.03661212782469e-20,"MNX1",9.00272300794655
"MA0716.2",4.4072744961171e-23,-4.22293380633039,0.353,0.782,3.03661212782469e-20,"PRRX1",8.04796319969512
"MA0886.2",4.4072744961171e-23,-4.22293380633039,0.353,0.782,3.03661212782469e-20,"EMX2",9.86399754064554
"MA0900.3",4.4072744961171e-23,-4.22293380633039,0.353,0.782,3.03661212782469e-20,"HOXA2",10.5243152509132
"MA0902.3",4.4072744961171e-23,-4.22293380633039,0.353,0.782,3.03661212782469e-20,"HOXB2",9.16236268772219
"MA0904.3",4.4072744961171e-23,-4.22293380633039,0.353,0.782,3.03661212782469e-20,"HOXB5",9.02825642655971
"MA1481.2",4.4072744961171e-23,-4.22293380633039,0.353,0.782,3.03661212782469e-20,"DRGX",8.95370402330545
"MA1495.2",4.4072744961171e-23,-4.22293380633039,0.353,0.782,3.03661212782469e-20,"HOXA1",8.24121815786303
"MA1577.2",4.4072744961171e-23,-4.22293380633039,0.353,0.782,3.03661212782469e-20,"TLX2",10.3201510286161
"MA1463.2",1.18734316479089e-21,-4.11325242218369,0.336,0.762,8.1807944054092e-19,"ARGFX",11.7883575472015
"MA0068.2",1.40740207236573e-21,-4.10656619523184,0.338,0.802,9.69700027859987e-19,"PAX4",9.22181960132683
"MA0075.4",4.53582215347593e-21,-4.52319577261725,0.331,0.723,3.12518146374492e-18,"PRRX2",10.956430321608
"MA0618.2",4.53582215347593e-21,-4.52319577261725,0.331,0.723,3.12518146374492e-18,"LBX1",9.82867646137221
"MA0644.3",4.53582215347593e-21,-4.52319577261725,0.331,0.723,3.12518146374492e-18,"ESX1",9.96807764722104
"MA0661.2",4.53582215347593e-21,-4.52319577261725,0.331,0.723,3.12518146374492e-18,"MEOX1",9.3444348988704
"MA0701.3",4.53582215347593e-21,-4.52319577261725,0.331,0.723,3.12518146374492e-18,"LHX9",10.8381566870076
"MA0710.2",4.53582215347593e-21,-4.52319577261725,0.331,0.723,3.12518146374492e-18,"NOTO",9.38291224693657
"MA0725.2",4.53582215347593e-21,-4.52319577261725,0.331,0.723,3.12518146374492e-18,"VSX1",8.06102162725241
"MA0726.2",4.53582215347593e-21,-4.52319577261725,0.331,0.723,3.12518146374492e-18,"VSX2",9.15835253481659
"MA0889.2",4.53582215347593e-21,-4.52319577261725,0.331,0.723,3.12518146374492e-18,"GBX1",10.4176480985704
"MA1650.2",3.59680142837875e-20,-4.06027003385956,0.364,0.762,2.47819618415296e-17,"ZBTB14",11.1965003647953
"MA0793.2",1.10258720889694e-19,-4.77155259157445,0.328,0.733,7.59682586929991e-17,"POU6F2",11.3980408932753
"MA0658.2",7.50130656036493e-19,-3.55262308751916,0.345,0.782,5.16840022009144e-16,"LHX6",10.5323192813071
"MA0797.1",8.22279497043019e-19,5.71355521875918,0.641,0.248,5.6655057346264e-16,"TGIF2",18.364672485988
"MA0051.2",1.03072443071372e-18,-8.04055990503636,0.298,0.693,7.1016913276175e-16,"IRF2",11.4681951896206
"MA0161.3",1.47577166944654e-18,-2.63233389189655,0.247,0.614,1.01680668024866e-15,"NFIC",10.4960837516708
"MA1123.3",6.01527392763434e-18,3.0976406279169,0.738,0.356,4.14452373614006e-15,"TWIST1",11.0879681488237
"MA0830.3",1.85881150288352e-17,4.92657080101597,0.708,0.327,1.28072112548674e-14,"TCF4",10.6002685555989
"MA0783.1",2.99923005933402e-17,2.31661692958919,0.677,0.287,2.06646951088114e-14,"PKNOX2",21.0332083927309
"MA0910.3",4.51253822711997e-17,-3.9187031443474,0.34,0.703,3.10913883848566e-14,"HOXD8",9.64493574982883
"MA1502.2",4.51253822711997e-17,-3.9187031443474,0.34,0.703,3.10913883848566e-14,"HOXB8",9.59482153901614
"MA1419.2",5.16820703696966e-17,-3.82299454436372,0.344,0.683,3.5608946484721e-14,"IRF4",22.94400312787
"MA0149.1",1.05398385133184e-16,-3.34111058595703,0.406,0.792,7.26194873567636e-14,"EWSR1-FLI1",30.0530883980234
"MA0508.4",1.77448287475378e-16,-3.33574185287519,0.392,0.772,1.22261870070535e-13,"PRDM1",11.1557533778696
"MA0652.2",2.05548830948193e-16,-3.0815775536135,0.332,0.683,1.41623144523305e-13,"IRF8",22.3213427919537
"MA1572.1",3.7185812020246e-16,3.16885161964424,0.632,0.248,2.56210244819495e-13,"TGIF2LY",12.5842044365458
"MA1499.2",4.79087208212636e-16,-3.1642036487381,0.402,0.762,3.30091086458506e-13,"HOXB4",9.88628135866956
"MA1504.2",4.79087208212636e-16,-3.1642036487381,0.402,0.762,3.30091086458506e-13,"HOXC4",9.31205440082388
"MA1507.2",4.79087208212636e-16,-3.1642036487381,0.402,0.762,3.30091086458506e-13,"HOXD4",9.55404444640025
"MA1930.2",8.55502809231572e-16,4.36669718332103,0.69,0.337,5.89441435560553e-13,"CTCF",20.6439501863088
"MA0703.3",1.25090695601086e-15,-2.70653335266765,0.382,0.733,8.6187489269148e-13,"LMX1B",13.4447160924471
"MA0635.2",1.2777850353165e-15,-2.48089755993492,0.389,0.762,8.80393889333068e-13,"BARHL2",8.02506856168212
"MA0877.4",1.2777850353165e-15,-2.48089755993492,0.389,0.762,8.80393889333068e-13,"BARHL1",9.6805199479539
"MA0801.1",1.95207882972176e-15,5.62935819052555,0.564,0.228,1.34498231367829e-12,"MGA",10.8283507912016
"MA0803.1",1.95207882972176e-15,5.62935819052555,0.564,0.228,1.34498231367829e-12,"TBX15",13.2937444914944
"MA1638.2",9.31924206533837e-15,2.04982028538887,0.791,0.515,6.42095778301813e-12,"HAND2",11.0586189303396
"MA0772.2",2.07164169671005e-14,-3.7324673677151,0.338,0.644,1.42736112903322e-11,"IRF7",17.2547935514417
"MA0522.4",2.56660210870521e-14,3.38976013145733,0.679,0.347,1.76838885289789e-11,"TCF3",10.1095259319981
"MA1558.2",2.56660210870521e-14,3.38976013145733,0.679,0.347,1.76838885289789e-11,"SNAI1",10.7116753721016
"MA1648.2",2.56660210870521e-14,3.38976013145733,0.679,0.347,1.76838885289789e-11,"TCF12",9.53116470001698
"MA0471.3",1.44243080488696e-13,-3.26785960498606,0.38,0.693,9.93834824567118e-11,"E2F6",11.2746994080866
"MA1632.2",1.64656317915895e-13,5.20361554212035,0.623,0.327,1.13448203044052e-10,"ATF2",13.7129682956295
"MA0653.1",1.83269120891841e-13,-4.66494662549652,0.318,0.663,1.26272424294478e-10,"IRF9",24.7480896572174
"MA1583.2",3.89088239907545e-13,-2.11345716217474,0.444,0.792,2.68081797296298e-10,"ZFP57",11.2683769388972
