"motif_id","motif_name","ic_score"
"MA0069.1","PAX6",11.6466819108626
"MA0071.1","RORA",9.57425754552089
"MA0074.1","RXRA::VDR",10.4662179160218
"MA0107.1","RELA",9.69235710983811
"MA0115.1","NR1H2::RXRA",20.2722266432133
"MA0119.1","NFIC::TLX1",12.5082117681093
"MA0149.1","EWSR1-FLI1",30.0530883980234
"MA0155.1","INSM1",10.6184217895633
"MA0159.1","RARA::RXRA",11.5841149067717
"MA0163.1","PLAG1",12.7751697345102
"MA0468.1","DUX4",15.0044690247947
"MA0258.2","ESR2",13.1025045698485
"MA0595.1","SREBF1",11.4945367553235
"MA0596.1","SREBF2",11.2145344481635
"MA0599.1","KLF5",12.843026815284
"MA0613.1","FOXG1",13.1850778170682
"MA0636.1","BHLHE41",15.4530497569842
"MA0641.1","ELF4",16.089777596487
"MA0042.2","FOXI1",11.5934007918726
"MA0033.2","FOXL1",10.5988680191531
"MA0153.2","HNF1B",16.2376040191889
"MA0486.2","HSF1",18.6103250823677
"MA0653.1","IRF9",24.7480896572174
"MA0655.1","JDP2",15.0056446982471
"MA0660.1","MEF2B",18.2988363206411
"MA0663.1","MLX",14.2859988179401
"MA0665.1","MSC",13.1873156699473
"MA0667.1","MYF6",14.2655628999294
"MA0669.1","NEUROG2",14.1462818187763
"MA0678.1","OLIG2",12.8750300095305
"MA0068.2","PAX4",9.22181960132683
"MA0083.3","SRF",20.8371511567039
"MA0009.2","TBXT",18.9310253032463
"MA0689.1","TBX20",13.6330822816549
"MA0691.1","TFAP4",14.1010169335163
"MA0696.1","ZIC1",18.7668938563859
"MA0713.1","PHOX2A",12.0579961572048
"MA0715.1","PROP1",14.8803738425941
"MA0724.1","VENTX",11.0390280027628
"MA0729.1","RARA",27.6189653346936
"MA0730.1","RARA",22.6111580460369
"MA0731.1","BCL6B",28.4560671328694
"MA0472.2","EGR2",15.2128058772618
"MA0736.1","GLIS2",16.7204772881984
"MA0737.1","GLIS3",20.4098418845371
"MA0741.1","KLF16",13.0854883701205
"MA0088.2","ZNF143",21.9016502759138
"MA0758.1","E2F7",23.8964206861673
"MA0770.1","HSF2",17.1661147172974
"MA0771.1","HSF4",13.6187541131283
"MA0773.1","MEF2D",18.4567052008793
"MA0774.1","MEIS2",10.8769570973789
"MA0776.1","MYBL1",15.2125410267056
"MA0777.1","MYBL2",16.6594107009053
"MA0105.4","NFKB1",20.5025861295807
"MA0780.1","PAX3",15.4060193557624
"MA0783.1","PKNOX2",21.0332083927309
"MA0787.1","POU3F2",13.6856954414513
"MA0788.1","POU3F3",13.4076028191331
"MA0789.1","POU3F4",13.3671898287405
"MA0792.1","POU5F1B",10.5499480121323
"MA0794.1","PROX1",16.8866246501176
"MA0795.1","SMAD3",15.5666700286229
"MA0796.1","TGIF1",22.2578641533435
"MA0797.1","TGIF2",18.364672485988
"MA0511.2","RUNX2",11.5274224688972
"MA0801.1","MGA",10.8283507912016
"MA0803.1","TBX15",13.2937444914944
"MA0805.1","TBX1",12.8109898020376
"MA0806.1","TBX4",9.88563774716676
"MA0807.1","TBX5",8.43665291313441
"MA0808.1","TEAD3",11.4970557999564
"MA0813.1","TFAP2B",14.1899512920293
"MA0815.1","TFAP2C",14.4064808946102
"MA0822.1","HES7",19.6626166593926
"MA0823.1","HEY1",12.2279711027242
"MA0826.1","OLIG1",14.6475083930651
"MA0827.1","OLIG3",11.3877601475502
"MA0838.1","CEBPG",14.6521426798431
"MA0845.1","FOXB1",12.2257555806231
"MA0032.2","FOXC1",11.86908595709
"MA0848.1","FOXO4",10.6413992094746
"MA0849.1","FOXO6",11.9683854721416
"MA0850.1","FOXP3",8.22299096935607
"MA0855.1","RXRB",23.0533368338816
"MA0856.1","RXRG",22.3234828792239
"MA0525.2","TP63",24.229711485245
"MA0106.3","TP53",20.64952660919
"MA0862.1","GMEB2",9.52467562921646
"MA0863.1","MTF1",17.9609146326499
"MA0024.3","E2F1",12.8766243673134
"MA0866.1","SOX21",23.3481679568641
"MA0872.1","TFAP2A",13.9802862584299
"MA1124.1","ZNF24",17.3892622181318
"MA1155.1","ZSCAN4",20.9819606369796
"MA1127.1","FOSB::JUN",12.7379814025813
"MA1129.1","FOSL1::JUN",10.1855091342689
"MA1136.1","FOSB::JUNB",11.0720265778947
"MA1420.1","IRF5",14.8449760349389
"MA1421.1","TCF7L1",15.8815808268455
"MA1468.1","ATOH7",10.6782972148152
"MA1485.1","FERD3L",18.0549295940594
"MA1489.1","FOXN3",14.0980948216733
"MA1493.1","HES6",13.8666261946872
"MA1509.1","IRF6",14.0438890637499
"MA1538.1","NR2F1",18.3406879211824
"MA1539.1","NR2F6",20.5334500919716
"MA1555.1","RXRB",16.2454764579152
"MA1556.1","RXRG",17.8352284674549
"MA1557.1","SMAD5",13.5178042819937
"MA1570.1","TFAP4",10.2397126153373
"MA1571.1","TGIF2LX",13.8906059982232
"MA1572.1","TGIF2LY",12.5842044365458
"MA1580.1","ZBTB32",14.6530694235306
"MA1587.1","ZNF135",17.7722356572165
"MA1588.1","ZNF136",17.8520161373295
"MA1594.1","ZNF382",26.1704324971851
"MA1596.1","ZNF460",20.2578051430695
"MA1597.1","ZNF528",21.5522572741105
"MA0158.2","HOXA5",10.1206966392475
"MA0912.2","HOXD3",11.7241471049509
"MA0623.2","NEUROG1",13.7283627233698
"MA2093.1","HOXB1",9.19810812631025
"MA2094.1","PAX8",16.0421380985403
"MA2096.1","ZNF524",12.0660511080213
"MA1715.1","ZNF707",20.4002096492258
"MA2097.1","ZNF75A",16.4146630820165
"MA2098.1","ZNF766",12.9269925160593
"MA2099.1","ZNF770",11.5479768918658
"MA1718.1","ZNF8",25.0792232042271
"MA2100.1","ZSCAN16",31.0022113751436
"MA2101.1","ZNF677",13.699148872033
"MA2102.1","ZBTB17",9.47097286523376
"MA1931.1","ELK1::HOXA1",15.5207962734268
"MA1957.1","HOXB2::ELK1",17.0760897765522
"MA1962.1","POU2F1::SOX2",19.9644439991034
"MA1972.1","ZFP14",15.0204495012652
"MA1980.1","ZNF418",17.5499429240643
"MA1985.1","ZNF669",15.7260204473211
"MA2117.1","FOXP4",9.48716720203484
